ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN3N-31504	Enzymatic-Reactions	AET4Gv20145000	-	-	RXN-4731	-
ENZRXN3N-1913	Enzymatic-Reactions	AET3Gv20822400	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3N-1912	Enzymatic-Reactions	AET3Gv20822400	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3N-1911	Enzymatic-Reactions	AET3Gv20822400	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3N-1910	Enzymatic-Reactions	AET3Gv20822400	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3N-1909	Enzymatic-Reactions	AET3Gv20822400	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3N-1908	Enzymatic-Reactions	AET3Gv20822400	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3N-1907	Enzymatic-Reactions	AET3Gv20822400	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3N-63160	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-63159	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-63158	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-63157	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-46310	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-44568	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-44567	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-42060	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-39674	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-29080	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-16378	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-8543	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-2131	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-1583	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-1582	Enzymatic-Reactions	AET7Gv20138000	-	-	RXN-1022	-
ENZRXN3N-72855	Enzymatic-Reactions	AET2Gv20050000	-	-	RXN-15439	-
ENZRXN3N-72847	Enzymatic-Reactions	AET2Gv20050000	-	-	RXN-15439	-
ENZRXN3N-70232	Enzymatic-Reactions	AET2Gv20050000	-	-	RXN-15439	-
ENZRXN3N-65969	Enzymatic-Reactions	AET2Gv20050000	-	-	RXN-15439	-
ENZRXN3N-58259	Enzymatic-Reactions	AET2Gv20050000	-	-	RXN-15439	-
ENZRXN3N-58251	Enzymatic-Reactions	AET2Gv20050000	-	-	RXN-15439	-
ENZRXN3N-42437	Enzymatic-Reactions	AET2Gv20050000	-	-	RXN-15439	-
ENZRXN3N-42429	Enzymatic-Reactions	AET2Gv20050000	-	-	RXN-15439	-
ENZRXN3N-39652	Enzymatic-Reactions	AET2Gv20050000	-	-	RXN-15439	-
ENZRXN3N-39644	Enzymatic-Reactions	AET2Gv20050000	-	-	RXN-15439	-
ENZRXN3N-39636	Enzymatic-Reactions	AET2Gv20050000	-	-	RXN-15439	-
