ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXN-15462	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3N-63584; ENZRXN3N-58678; ENZRXN3N-58303; ENZRXN3N-58298; ENZRXN3N-58103; ENZRXN3N-58097; ENZRXN3N-58092; ENZRXN3N-58087; ENZRXN3N-54259; ENZRXN3N-47936; ENZRXN3N-47927; ENZRXN3N-47920; ENZRXN3N-27185; ENZRXN3N-18727; ENZRXN3N-16753; ENZRXN3N-14938; ENZRXN3N-14933; ENZRXN3N-14928; ENZRXN3N-2466	(CPD-4751; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-16719; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXNQT-4398	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-634; CPD-12575)	(CPDQT-522; UDP; PROTON)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3N-71828; ENZRXN3N-71824; ENZRXN3N-19264; ENZRXN3N-18637	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-16401	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-17640; CO-A; ATP)	(CPD-17641; PPI; AMP)	-	-
RXN-12195	Chemical-Reactions; Small-Molecule-Reactions	-	-	(WATER; CTP)	(PROTON; Pi; CDP)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3N-45448; ENZRXN3N-45447; ENZRXN3N-45446; ENZRXN3N-45445; ENZRXN3N-45444; ENZRXN3N-37180; ENZRXN3N-37179; ENZRXN3N-37178; ENZRXN3N-37177; ENZRXN3N-37176; ENZRXN3N-37175; ENZRXN3N-36452; ENZRXN3N-36451; ENZRXN3N-36450; ENZRXN3N-36449; ENZRXN3N-36448; ENZRXN3N-36447; ENZRXN3N-36446; ENZRXN3N-36445; ENZRXN3N-36444; ENZRXN3N-36443; ENZRXN3N-36442; ENZRXN3N-36441; ENZRXN3N-36440; ENZRXN3N-36439; ENZRXN3N-36438; ENZRXN3N-36437; ENZRXN3N-36436; ENZRXN3N-36435; ENZRXN3N-36434	(ACYL-COA=(R-2-METHYLACYL-COA; Trans-Delta-11-acyl-CoAs; S-2-METHYLACYL-COA; Cis-Delta-11-acyl-CoAs; CPD-17624; CPD-17633; CPD-17623); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE=(Phosphatidylcholines-40-3; Phosphatidylcholines-40-2; Phosphatidylcholines-38-6; Phosphatidylcholines-32-0; Phosphatidylcholines-38-5; Phosphatidylcholines-38-4; 2-arachidonoyl-PC; Phosphatidylcholines-38-3; 1-arachidonoyl-PC; Phosphatidylcholines-38-2; 1-Stearoyl-PC; 1-Oleoyl-PC; 1-Linoleoyl-PC; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC; phosphatidylcholine-30:0; Phosphatidylcholines-36-1; Phosphatidylcholines-40-5; Phosphatidylcholines-34-4; Phosphatidylcholines-40-4); CO-A)	-	-
CYTIKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3N-563	(CYTIDINE; ATP)	(CMP; ADP; PROTON)	-	-
HOMOSERKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3N-9943; ENZRXN3N-9942; ENZRXN3N-1989; ENZRXN3N-1988; ENZRXN3N-1987	(HOMO-SER; ATP)	(PROTON; O-PHOSPHO-L-HOMOSERINE; ADP)	-	-
DIHYDROXYMETVALDEHYDRAT-RXN	Chemical-Reactions; Small-Molecule-Reactions	2,3-Dihydroxy-3-methylvalerate dehydratase	-	(1-KETO-2-METHYLVALERATE)	(2-KETO-3-METHYL-VALERATE; WATER)	-	-
