ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXNQT-4398	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-634; CPD-12575)	(CPDQT-522; UDP; PROTON)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6U-22637; ENZRXN6U-12165; ENZRXN6U-6	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-9663	Protein-Modification-Reactions	<i>trans</i> hexadecenoyl-[acp] reductase	-	(Palmitoyl-ACPs; NAD)	(2-Hexadecenoyl-ACPs; NADH; PROTON)	-	-
RXN-12195	Chemical-Reactions; Small-Molecule-Reactions	-	-	(WATER; CTP)	(PROTON; Pi; CDP)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-9518	Protein-Modification-Reactions	3-hydroxyhexanoyl-[acyl-carrier protein] reductase	-	(R-3-hydroxyhexanoyl-ACPs; NADP)	(3-oxo-hexanoyl-ACPs; NADPH; PROTON)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6U-23575; ENZRXN6U-23574; ENZRXN6U-23573; ENZRXN6U-23572; ENZRXN6U-23571; ENZRXN6U-23570; ENZRXN6U-18631; ENZRXN6U-12345; ENZRXN6U-12344; ENZRXN6U-12343; ENZRXN6U-12342; ENZRXN6U-12341; ENZRXN6U-12340; ENZRXN6U-12339; ENZRXN6U-12338; ENZRXN6U-12337; ENZRXN6U-12336; ENZRXN6U-12335; ENZRXN6U-12334; ENZRXN6U-12296; ENZRXN6U-12295; ENZRXN6U-12294; ENZRXN6U-12293; ENZRXN6U-12292; ENZRXN6U-12291; ENZRXN6U-12290; ENZRXN6U-12289	(ACYL-COA=(R-2-METHYLACYL-COA; S-2-METHYLACYL-COA; Trans-Delta-11-acyl-CoAs; Cis-Delta-11-acyl-CoAs; CPD-17633; CPD-17623; CPD-17624); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE=(1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC; Phosphatidylcholines-34-4; Phosphatidylcholines-38-6; 2-arachidonoyl-PC; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; 1-arachidonoyl-PC; phosphatidylcholine-30:0; 1-Oleoyl-PC; 1-Stearoyl-PC; Phosphatidylcholines-32-0; Phosphatidylcholines-40-3; Phosphatidylcholines-38-3; Phosphatidylcholines-38-5; 1-Linoleoyl-PC; Phosphatidylcholines-38-4; Phosphatidylcholines-40-2; Phosphatidylcholines-40-5; Phosphatidylcholines-38-2; Phosphatidylcholines-36-1; Phosphatidylcholines-40-4); CO-A)	-	-
CYTIKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CYTIDINE; ATP)	(CMP; ADP; PROTON)	-	-
HOMOSERKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6U-26082; ENZRXN6U-19966	(HOMO-SER; ATP)	(PROTON; O-PHOSPHO-L-HOMOSERINE; ADP)	-	-
2.7.7.60-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6U-26108; ENZRXN6U-26107; ENZRXN6U-26106; ENZRXN6U-26105; ENZRXN6U-8703; ENZRXN6U-8702; ENZRXN6U-8701; ENZRXN6U-8700; ENZRXN6U-8699; ENZRXN6U-8698; ENZRXN6U-8697; ENZRXN6U-8696; ENZRXN6U-8695; ENZRXN6U-8694; ENZRXN6U-8693; ENZRXN6U-8692; ENZRXN6U-1605; ENZRXN6U-1604; ENZRXN6U-1603; ENZRXN6U-1602; ENZRXN6U-1601; ENZRXN6U-1600; ENZRXN6U-1599; ENZRXN6U-1598; ENZRXN6U-1597; ENZRXN6U-1596; ENZRXN6U-1595; ENZRXN6U-1594; ENZRXN6U-1593; ENZRXN6U-1592; ENZRXN6U-1591; ENZRXN6U-1590; ENZRXN6U-1589; ENZRXN6U-1588; ENZRXN6U-1587; ENZRXN6U-1586; ENZRXN6U-1585	(PROTON; 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE; CTP)	(4-CYTIDINE-5-DIPHOSPHO-2-C; PPI)	4-diphosphocytidyl-2-methylerithritol synthase (sugar nucleotide phosphorylase family)	-
