ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN4D-11883	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4D-11879	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4D-11875	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4D-11853	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4D-11849	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4D-11845	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4D-8002	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4D-7998	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4D-6591	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4D-6587	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4D-10709	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN4D-10699	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN4D-9378	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN4D-8347	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN4D-8346	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
