ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
CPD-12400	-	-	CPD-19475	-	(E)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-&omega-(methylsulfanyl)heptan-1-imine	-	(C 13);(H 25);(N 3);(O 4);(S 2)	(PUBCHEM 90657155 NIL |kothari| 3641818092 NIL NIL); (PUBCHEM 46173082 NIL |taltman| 3497976212 NIL NIL)	CSCCCCCCC(/SC[C@H]([NH3+])C(=O)NCC([O-])=O)=N\O	7-(methylthio)heptylhydroximoyl-cysteinylglycine	['-']
WATER	-	-	Compounds	-	H2O	-	(H 2);(O 1)	(BIGG h2o NIL |kothari| 3661824226 NIL NIL); (HMDB HMDB02111 NIL |kothari| 3608597114 NIL NIL); (METABOLIGHTS MTBLC15377 NIL |kothari| 3608991478 NIL NIL); (CHEMSPIDER 937 NIL |kothari| 3563632863 NIL NIL); (BIGG 33474 NIL |kothari| 3584718837 NIL NIL); (PUBCHEM 962 NIL |taltman| 3448034169 NIL NIL); (CHEBI 15377 NIL |taltman| 3452438148 NIL NIL); (CHEBI 15377); (LIGAND-CPD C00001); (PUBCHEM 962); (LIGAND-CPD C00001 NIL |kr| 3346617699 NIL NIL); (CAS 7732-18-5)	O	H20; H2O; H20; hydrogen oxide; water	['-']
CPDQT-408	-	-	S-Substituted-L-Cysteines	-	(E)-1-(L-cystein-S-yl)-N-hydroxy-&omega-(methylsulfanyl)heptan-1-imine	-	(C 11);(H 22);(N 2);(O 3);(S 2)	(PUBCHEM 134820483 NIL |kothari| 3760047716 NIL NIL); (PUBCHEM 90659046 NIL |kothari| 3641818092 NIL NIL); (PUBCHEM 44237355 NIL |taltman| 3466375284 NIL NIL)	CSCCCCCCC(/SC[C@H]([NH3+])C([O-])=O)=N\O	['-']	['-']
GLY	Amino-Acids-20	-	Amino-Acids-20; Non-polar-amino-acids; Neutral-Amino-Acids; Uncharged-polar-amino-acids	-	glycine	gly	(C 2);(H 5);(N 1);(O 2)	(REFMET Glycine NIL |midford| 3697479617 NIL NIL); (CHEBI 57305 NIL |kothari| 3716218713 NIL NIL); (BIGG gly NIL |kothari| 3661824225 NIL NIL); (PUBCHEM 5257127 NIL |taltman| 3451921010 NIL NIL); (METABOLIGHTS MTBLC15428 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00123 NIL |kothari| 3594494366 NIL NIL); (DRUGBANK DB00145 NIL |kothari| 3594430386 NIL NIL); (BIGG 33610 NIL |kothari| 3584718837 NIL NIL); (CHEMSPIDER 730 NIL |kothari| 3563634664 NIL NIL); (PUBCHEM 5257127 NIL |taltman| 3466375285 NIL NIL); (CHEBI 15428 NIL |kothari| 3466264019 NIL NIL); (KNAPSACK C00001361 NIL |achi1| 3445698168 NIL NIL); (LIGAND-CPD C00037 NIL |kaipa| 3311532639 NIL NIL); (CAS 56-40-6)	C([NH3+])C([O-])=O	G; aminoacetic acid; gly	['-']
MYRICETIN	-	-	3prime-Hydroxy-Flavonoids; Flavonols	-	myricetin	-	(C 15);(H 9);(O 8)	(REFMET Myricetin NIL |midford| 3701443689 NIL NIL); (HMDB HMDB02755 NIL |kothari| 3608601974 NIL NIL); (CHEBI 58395 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 25201643 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C10107 NIL |kr| 3410284649 NIL NIL)	C3(/C(/O)=C(C(/O)=C\C(\C1(\OC2(/C=C(/C=C(C(\C(=O)C(/[O-])=1)=2)/O)/O)))=3)/O)	myricitin; cannabiscetin; myricetol	['-']
CPD-12575	-	-	NDP-alpha-D-glucoses; NDP-glucoses; UDP-sugar	-	UDP-&alpha-D-glucose	-	(C 15);(H 22);(N 2);(O 17);(P 2)	(BIGG udpg NIL |kothari| 3661824226 NIL NIL); (PUBCHEM 16667346 NIL |ong| 3523387880 NIL NIL); (BIGG 33576 NIL |kr| 3618349750 NIL NIL); (LIGAND-CPD C00029 NIL |kr| 3618349505 NIL NIL); (PUBCHEM 16667346 NIL |kothari| 3599486668 NIL NIL); (CHEMSPIDER 10239191 NIL |kothari| 3563631831 NIL NIL); (CHEBI 58885 NIL |ong| 3523630741 NIL NIL)	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=C/C(=O)NC(=O)3)))([O-])=O)	UDPG; UDP-glucose; UDP-D-glucose	['-']
CPD-14843	-	-	Flavonol-3-O-B-D-Glucosides	-	myricetin 3-O-&beta-D-glucoside	-	(C 21);(H 20);(O 13)	(PUBCHEM 5318606 NIL |kothari| 3619398666 NIL NIL); (METABOLIGHTS MTBLC75813 NIL |kothari| 3608997016 NIL NIL); (CHEBI 75813 NIL |kothari| 3608052289 NIL NIL)	C4(/C(/O)=C(C(/O)=C\C(\C2(\OC3(/C=C(/C=C(C(\C(=O)C(/O[C@H]1([C@@H]([C@H]([C@H](O)[C@H](O1)CO)O)O))=2)=3)/O)/O)))=4)/O)	['-']	['-']
UDP	-	-	Pyrimidines	-	UDP	-	(C 9);(H 11);(N 2);(O 12);(P 2)	(REFMET UDP NIL |midford| 3701443689 NIL NIL); (BIGG udp NIL |kothari| 3661824226 NIL NIL); (PUBCHEM 20056717 NIL |taltman| 3466375284 NIL NIL); (METABOLIGHTS MTBLC58223 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00295 NIL |kothari| 3608602966 NIL NIL); (BIGG 33518 NIL |kothari| 3584718837 NIL NIL); (CHEMSPIDER 16739715 NIL |kothari| 3563631820 NIL NIL); (PUBCHEM 20056717 NIL |taltman| 3451921010 NIL NIL); (CHEBI 58223 NIL |ong| 3523630741 NIL NIL); (KNAPSACK C00007313 NIL |achi1| 3445698173 NIL NIL); (LIGAND-CPD C00015 NIL |kr| 3346617699 NIL NIL); (CAS 58-98-0)	C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=C/C(=O)NC(=O)2))	UDP; uridine-diphosphate; uridine-5'-diphosphate	['-']
CPD-2187	-	Glycerolipids	Monogalactosyldiacylglycerols-34-1	Monohexosyldiacylglycerol	1-18:1-2-16:0-monogalactosyldiacylglycerol	18:1-16:0-MGDG	(C 43);(H 80);(O 10)	(CHEBI 90507 NIL |kothari| 3716218713 NIL NIL); (PUBCHEM 44593354 NIL |kothari| 3641818093 NIL NIL); (PUBCHEM 25245178 NIL |taltman| 3466375284 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCCCCCCCCCCCC)=O)=O	18:1-16:0-MGDG; 1-(9Z-octadecenoyl)-2-hexadecanoyl-3-O-beta-D-galactosyl-sn-glycerol	['-']
OXYGEN-MOLECULE	-	-	Inorganic-Compounds	-	oxygen	O<SUB>2</SUB>	(O 2)	(BIGG o2 NIL |kothari| 3661824225 NIL NIL); (PUBCHEM 977 NIL |taltman| 3448034169 NIL NIL); (METABOLIGHTS MTBLC15379 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01377 NIL |kothari| 3604149734 NIL NIL); (BIGG 33493 NIL |kothari| 3584718837 NIL NIL); (CHEMSPIDER 952 NIL |kothari| 3563632861 NIL NIL); (PUBCHEM 977 NIL |taltman| 3466375284 NIL NIL); (CHEBI 15379 NIL |taltman| 3452438148 NIL NIL); (LIGAND-CPD C00007 NIL |kr| 3346617701 NIL NIL); (CAS 7782-44-7)	O=O	oxygen; oxygen molecule	O2
