ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN-21039	Enzymatic-Reactions	myricetin 3-<i>O</i>-glucosyltransferase	-	-	RXN-13822	-
ENZRXNQT-15731	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXNQT-15729	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXNQT-15727	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXNQT-15725	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXNQT-15254	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXNQT-15077	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXNQT-14759	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXNQT0613-1897	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN-2251	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXNQT-13593	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNQT-13492	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNQT-13476	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNQT-12049	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNQT-11432	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNQT-11335	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNQT-11228	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNQT-11028	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNQT0613-2379	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNQT-9804	Enzymatic-Reactions	-	-	-	RXN-11202	-
ENZRXNQT-5714	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN-6391	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN-6384	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXNQT-9516	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN-13190	Enzymatic-Reactions	1-18:2-2-16:2-monogalactosyldiacylglycerol desaturase	-	-	RXN-8306	-
ENZRXN-13183	Enzymatic-Reactions	1-18:2-2-16:2-monogalactosyldiacylglycerol desaturase	-	-	RXN-8306	-
ENZRXN-10987	Enzymatic-Reactions	myo-inositol-1,2,3,4,6-heptakisphosphate 5-kinase	-	-	RXN-7186	-
