ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN1YLI-6469	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN1YLI-5824	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN1YLI-3865	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN1YLI-2643	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN1YLI-2520	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN1YLI-2347	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN1YLI-2343	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN1YLI-1210	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN1YLI-714	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN1YLI-520	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN1YLI-10009	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-9236	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-9235	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-6016	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-5924	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-5923	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-5014	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-4411	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-4234	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-4155	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-3438	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-3117	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-3116	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-2931	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-2285	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-2142	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-1308	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-4	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN1YLI-9150	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN1YLI-8957	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN1YLI-6248	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN1YLI-4919	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN1YLI-9988	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN1YLI-9755	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN1YLI-9013	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN1YLI-8252	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
