ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXN-11937	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12912; FERROCYTOCHROME-B5; OXYGEN-MOLECULE; PROTON)	(CPD-12914; FERRICYTOCHROME-B5; WATER)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-22748; ENZRXN4H-16217; ENZRXN4H-8737; ENZRXN4H-3847	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-9663	Protein-Modification-Reactions	<i>trans</i> hexadecenoyl-[acp] reductase	ENZRXN-15253; ENZRXN4H-31175	(Palmitoyl-ACPs; NAD)	(2-Hexadecenoyl-ACPs; NADH; PROTON)	-	-
RXN-19831	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-30187; ENZRXN4H-8259; ENZRXN4H-7164; ENZRXN4H-4299	(OBTUSIFOLIOL; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CPD-21438; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-9518	Protein-Modification-Reactions	3-hydroxyhexanoyl-[acyl-carrier protein] reductase	-	(R-3-hydroxyhexanoyl-ACPs; NADP)	(3-oxo-hexanoyl-ACPs; NADPH; PROTON)	-	-
RXN-1726	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-26756; ENZRXN4H-15916	(CPD-2184; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2185; WATER; Oxidized-ferredoxins)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-32100; ENZRXN4H-31654; ENZRXN4H-24423; ENZRXN4H-21256; ENZRXN4H-20866; ENZRXN4H-17436; ENZRXN4H-13999; ENZRXN4H-13816; ENZRXN4H-12413; ENZRXN4H-7689; ENZRXN4H-6567; ENZRXN4H-6396; ENZRXN4H-5823; ENZRXN4H-5625; ENZRXN4H-4770; ENZRXN4H-211	(ACYL-COA=(Trans-Delta-11-acyl-CoAs; S-2-METHYLACYL-COA; Cis-Delta-11-acyl-CoAs; R-2-METHYLACYL-COA; CPD-17623; CPD-17624; CPD-17633); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE=(2-arachidonoyl-PC; Phosphatidylcholines-38-4; 1-arachidonoyl-PC; Phosphatidylcholines-32-0; Phosphatidylcholines-38-2; 1-Stearoyl-PC; Phosphatidylcholines-40-3; 1-Oleoyl-PC; 1-Linoleoyl-PC; Phosphatidylcholines-36-1; Phosphatidylcholines-40-2; Phosphatidylcholines-40-5; Phosphatidylcholines-38-5; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; Phosphatidylcholines-38-3; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC; Phosphatidylcholines-38-6; Phosphatidylcholines-40-4; phosphatidylcholine-30:0; Phosphatidylcholines-34-4); CO-A)	-	-
2.7.7.60-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-21348; ENZRXN4H-18563	(PROTON; 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE; CTP)	(4-CYTIDINE-5-DIPHOSPHO-2-C; PPI)	4-diphosphocytidyl-2-methylerithritol synthase (sugar nucleotide phosphorylase family)	-
RXN-1725	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-31774; ENZRXN4H-30629; ENZRXN4H-28928; ENZRXN4H-25851; ENZRXN4H-23922; ENZRXN4H-23918; ENZRXN4H-2639	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2184; WATER; Oxidized-ferredoxins)	-	-
RXN-7738	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CHLOROPHYLL-A; WATER)	(PROTON; CHLOROPHYLLIDE-A; PHYTOL)	-	-
RXN-8303	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8077; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8079; WATER; Oxidized-ferredoxins)	-	-
RXN-7763	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-7025; Nucleoside-Triphosphates))	(PHYTYL-PYROPHOSPHATE; Nucleoside-Diphosphates))	-	-
RXN-8316	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-26764; ENZRXN4H-15924	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8086; WATER; Oxidized-ferredoxins)	-	-
1.14.13.36-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-29001; ENZRXN4H-28163; ENZRXN4H-26142; ENZRXN4H-26046; ENZRXN4H-14178; ENZRXN4H-12263; ENZRXN4H-3826; ENZRXN4H-3417	(4-COUMAROYLQUINATE; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CAFFEOYLQUINATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-8082	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-12918	(CPD-6948; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-7608; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
3.1.1.82-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-30168; ENZRXN4H-29619; ENZRXN4H-15637; ENZRXN4H-14678; ENZRXN4H-9631; ENZRXN4H-7408; ENZRXN4H-32	(CPD-7061; WATER; PROTON)	(CPD-10296; METOH; CARBON-DIOXIDE)	-	RXN-13938; RXN-13939
TRANS-RXN-229	Small-Molecule-Reactions; Transport-Reactions	-	-	(L-ORNITHINE)	(L-ORNITHINE)	-	-
RXN-11925	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12865; FERROCYTOCHROME-B5; OXYGEN-MOLECULE; PROTON)	(CPD-12866; FERRICYTOCHROME-B5; WATER)	-	-
RXN-9524	Protein-Modification-Reactions	3-oxo-octanoyl-[acyl-carrier protein] reductase	-	(3-Hydroxy-octanoyl-ACPs; NADP)	(3-Oxo-octanoyl-ACPs; NADPH; PROTON)	-	-
RXN-9246	Chemical-Reactions; Small-Molecule-Reactions	-	-	(ISOEUGENOL; ACET; NADP)	(CPD-9875; NADPH)	-	-
RIBULP3EPIM-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-28141; ENZRXN4H-24840; ENZRXN4H-23805; ENZRXN4H-18083; ENZRXN4H-12885; ENZRXN4H-12132; ENZRXN4H-859	(RIBULOSE-5P)	(XYLULOSE-5-PHOSPHATE)	-	-
UDPACYLGLCNACDEACETYL-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-6034; ENZRXN4H-1201	(UDP-OHMYR-ACETYLGLUCOSAMINE; WATER)	(UDP-OHMYR-GLUCOSAMINE; ACET)	-	-
TRANS-CINNAMATE-4-MONOOXYGENASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-23531; ENZRXN4H-22183; ENZRXN4H-22017; ENZRXN4H-18393; ENZRXN4H-18392; ENZRXN4H-1980; ENZRXN4H-1979; ENZRXN4H-1103; ENZRXN4H-1102; ENZRXN4H-65	(CPD-674; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(COUMARATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
2.1.1.71-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-26381; ENZRXN4H-18042; ENZRXN4H-17467	(S-ADENOSYLMETHIONINE; CPD-405)	(CPD-160; PROTON; ADENOSYL-HOMO-CYS)	-	-
RXN-9244	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-27818; ENZRXN4H-27816; ENZRXN4H-27623; ENZRXN4H-25104; ENZRXN4H-25102; ENZRXN4H-25100; ENZRXN4H-24129; ENZRXN4H-17450; ENZRXN4H-4560; ENZRXN4H-3390; ENZRXN4H-1366	(CONIFERYL-ALCOHOL; ACETYL-COA)	(CPD-9875; CO-A)	-	-
RXN-5641	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; SER)	(ETHANOL-AMINE; CARBON-DIOXIDE)	-	-
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4H-30600; ENZRXN4H-30597; ENZRXN4H-30305; ENZRXN4H-28903; ENZRXN4H-27874; ENZRXN4H-23274; ENZRXN4H-23092; ENZRXN4H-21805; ENZRXN4H-15235; ENZRXN4H-15232; ENZRXN4H-14928; ENZRXN4H-14927; ENZRXN4H-14041; ENZRXN4H-13874; ENZRXN4H-11615; ENZRXN4H-8848; ENZRXN4H-6601; ENZRXN4H-6600; ENZRXN4H-6246; ENZRXN4H-3539; ENZRXN4H-3352; ENZRXN4H-1200	(S-ADENOSYLMETHIONINE; CAFFEOYL-COA)	(PROTON; FERULOYL-COA; ADENOSYL-HOMO-CYS)	-	-
