ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
CPD-2187	-	Glycerolipids	Monogalactosyldiacylglycerols-34-1	Monohexosyldiacylglycerol	1-18:1-2-16:0-monogalactosyldiacylglycerol	18:1-16:0-MGDG	(C 43);(H 80);(O 10)	(CHEBI 90507 NIL |kothari| 3716218713 NIL NIL); (PUBCHEM 44593354 NIL |kothari| 3641818093 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCCCCCCCCCCCC)=O)=O	18:1-16:0-MGDG; 1-(9Z-octadecenoyl)-2-hexadecanoyl-3-O-beta-D-galactosyl-sn-glycerol	['-']
OXYGEN-MOLECULE	-	-	Inorganic-Compounds	-	oxygen	O<SUB>2</SUB>	(O 2)	(BIGG 33493 NIL |kothari| 3584718837 NIL NIL); (BIGG o2 NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC15379 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01377 NIL |kothari| 3604149734 NIL NIL); (CHEMSPIDER 952 NIL |kothari| 3563632861 NIL NIL); (PUBCHEM 977 NIL |taltman| 3466375284 NIL NIL); (CHEBI 15379 NIL |taltman| 3452438148 NIL NIL); (LIGAND-CPD C00007 NIL |kr| 3346617701 NIL NIL); (CAS 7782-44-7)	O=O	oxygen molecule	O2
Reduced-ferredoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
PROTON	-	-	Monovalent-Inorganic-Cations; Subatomic-Particles	-	H+	-	(H 1)	(BIGG 33778 NIL |kothari| 3584718837 NIL NIL); (BIGG h NIL |kothari| 3661824225 NIL NIL); (HMDB HMDB59597 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 1010 NIL |kothari| 3563632849 NIL NIL); (PUBCHEM 1038 NIL |taltman| 3466375285 NIL NIL); (CHEBI 15378 NIL |taltman| 3452438078 NIL NIL); (CAS 12408-02-5 NIL |kr| 3346617700 NIL NIL); (LIGAND-CPD C00080 NIL |kr| 3346617700 NIL NIL)	[H+]	hydrogen ion; proton; H	['-']
CPD-2188	-	Glycerolipids	Monogalactosyldiacylglycerols-34-2	Monohexosyldiacylglycerol	1-18:1-2-16:1-monogalactosyldiacylglycerol	18:1-16:1-MGDG	(C 43);(H 78);(O 10)	(PUBCHEM 90658678 NIL |kothari| 3641818093 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/CCCCCCCC)=O)=O	18:1-16:1-MGDG; 1-(9Z-octadecenoyl)-2-(7Z-hexadecenoyl)-3-O-beta-D-galactosyl-sn-glycerol,	['-']
WATER	-	-	Compounds	-	H2O	-	(H 2);(O 1)	(BIGG 33474 NIL |kothari| 3584718837 NIL NIL); (BIGG h2o NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC15377 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB02111 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 937 NIL |kothari| 3563632863 NIL NIL); (CHEBI 15377 NIL |taltman| 3452438148 NIL NIL); (PUBCHEM 962 NIL |taltman| 3448034169 NIL NIL); (LIGAND-CPD C00001 NIL |kr| 3346617699 NIL NIL); (CAS 7732-18-5)	O	H2O; hydrogen oxide; water	['-']
Oxidized-ferredoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
1-O-SINAPOYL-BETA-D-GLUCOSE	-	-	Phenylpropanoids	-	1-O-sinapoyl-&beta-D-glucose	-	(C 17);(H 22);(O 10)	(METABOLIGHTS MTBLC16546 NIL |kothari| 3608991478 NIL NIL); (CHEMSPIDER 4444086 NIL |kothari| 3563632139 NIL NIL); (PUBCHEM 5280406 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C01175 NIL |taltman| 3452530589 NIL NIL); (CHEBI 16546 NIL |taltman| 3452363520 NIL NIL)	COC2(\C(\O)=C(C=C(/C=C/C(=O)O[C@H]1([C@H](O)[C@H]([C@@H]([C@H](O1)CO)O)O))/C=2)\OC)	1-O-sinapoyl &beta-D-glucoside	['-']
12-BIS-O-SINAPOYL-BETA-D-GLUCOSIDE	-	-	Compounds	-	1,2-di-O-sinapoyl-&beta-D-glucose	-	(C 28);(H 32);(O 14)	(CHEMSPIDER 4444262 NIL |kothari| 3563632126 NIL NIL); (PUBCHEM 5280665 NIL |taltman| 3466375284 NIL NIL); (CHEBI 27993 NIL |taltman| 3452363454 NIL NIL); (LIGAND-CPD C04275 NIL |kr| 3410284649 NIL NIL)	COC1(\C(\O)=C(C=C(/C=1)/C=C/C(O[C@H]3([C@H](OC(/C=C/C2(/C=C(C(\O)=C(C=2)\OC)/OC))=O)O[C@H](CO)[C@H]([C@@H]3O)O))=O)\OC)	1,2-bis-O-sinapoyl-&beta-D-glucoside	['-']
Glucopyranose	SUPER	-	D-Glucose; D-aldopyranoses	-	D-glucopyranose	-	(C 6);(H 12);(O 6)	(CHEBI 4167 NIL |caspi| 3573407755 NIL NIL)	C([C@@H]1([C@H]([C@@H]([C@H](C(O1)O)O)O)O))O	6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetraol	['-']
GLC	Glucopyranose	-	Glucopyranose	-	&beta-D-glucopyranose	-	(C 6);(H 12);(O 6)	(BIGG 33582 NIL |kothari| 3584718837 NIL NIL); (BIGG glc__D NIL |kothari| 3661871748 NIL NIL); (METABOLIGHTS MTBLC15903 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00516 NIL |kothari| 3608597114 NIL NIL); (DRUGBANK DB02379 NIL |kothari| 3594430420 NIL NIL); (CHEMSPIDER 18802415 NIL |kothari| 3563632415 NIL NIL); (CAS 50-99-7 NIL |taltman| 3458663425 NIL NIL); (CHEBI 15903 NIL |taltman| 3458663425 NIL NIL); (LIGAND-CPD C00221 NIL |taltman| 3458663425 NIL NIL); (PUBCHEM 64689 NIL |taltman| 3458663073 NIL NIL)	C(O)[C@H]1(O[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)1)	&beta-D-glucose; &beta-glucose	['-']
