ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXN-11937	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12912; FERROCYTOCHROME-B5; OXYGEN-MOLECULE; PROTON)	(CPD-12914; FERRICYTOCHROME-B5; WATER)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-14803; ENZRXN4J-4596	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-9663	Protein-Modification-Reactions	<i>trans</i> hexadecenoyl-[acp] reductase	ENZRXN4J-10312	(Palmitoyl-ACPs; NAD)	(2-Hexadecenoyl-ACPs; NADH; PROTON)	-	-
RXN-19831	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-4520	(OBTUSIFOLIOL; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CPD-21438; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-9518	Protein-Modification-Reactions	3-hydroxyhexanoyl-[acyl-carrier protein] reductase	-	(R-3-hydroxyhexanoyl-ACPs; NADP)	(3-oxo-hexanoyl-ACPs; NADPH; PROTON)	-	-
RXN-1726	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-13275	(CPD-2184; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2185; WATER; Oxidized-ferredoxins)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-16085; ENZRXN4J-15014; ENZRXN4J-14671; ENZRXN4J-14294; ENZRXN4J-13233; ENZRXN4J-11643; ENZRXN4J-9875; ENZRXN4J-4144; ENZRXN4J-1542	(ACYL-COA=(S-2-METHYLACYL-COA; Cis-Delta-11-acyl-CoAs; R-2-METHYLACYL-COA; Trans-Delta-11-acyl-CoAs; CPD-17624; CPD-17623; CPD-17633); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE=(1-Stearoyl-PC; Phosphatidylcholines-40-5; Phosphatidylcholines-38-2; Phosphatidylcholines-38-6; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC; Phosphatidylcholines-36-1; 1-Oleoyl-PC; Phosphatidylcholines-40-4; Phosphatidylcholines-38-5; 2-arachidonoyl-PC; Phosphatidylcholines-38-3; 1-Linoleoyl-PC; Phosphatidylcholines-40-3; Phosphatidylcholines-34-4; 1-arachidonoyl-PC; phosphatidylcholine-30:0; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; Phosphatidylcholines-40-2; Phosphatidylcholines-32-0; Phosphatidylcholines-38-4); CO-A)	-	-
HOMOSERKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-18227; ENZRXN4J-17800; ENZRXN4J-14330; ENZRXN4J-7715	(HOMO-SER; ATP)	(PROTON; O-PHOSPHO-L-HOMOSERINE; ADP)	-	-
2.7.7.60-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-12572	(PROTON; 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE; CTP)	(4-CYTIDINE-5-DIPHOSPHO-2-C; PPI)	4-diphosphocytidyl-2-methylerithritol synthase (sugar nucleotide phosphorylase family)	-
DIHYDROXYMETVALDEHYDRAT-RXN	Chemical-Reactions; Small-Molecule-Reactions	2,3-Dihydroxy-3-methylvalerate dehydratase	-	(1-KETO-2-METHYLVALERATE)	(2-KETO-3-METHYL-VALERATE; WATER)	-	-
RXN-1725	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-9644; ENZRXN4J-7349; ENZRXN4J-6764; ENZRXN4J-4925; ENZRXN4J-3536; ENZRXN4J-2727	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2184; WATER; Oxidized-ferredoxins)	-	-
PHOSPHOGLUCMUT-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-13478; ENZRXN4J-11250; ENZRXN4J-9841; ENZRXN4J-7272; ENZRXN4J-6789; ENZRXN4J-1063	(GLC-1-P)	(D-glucopyranose-6-phosphate=(GLC-6-P; ALPHA-GLC-6-P))	-	RXN-16997; RXN-16998
RXN-8303	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8077; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8079; WATER; Oxidized-ferredoxins)	-	-
RXN-7763	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-7025; Nucleoside-Triphosphates))	(PHYTYL-PYROPHOSPHATE; Nucleoside-Diphosphates))	-	-
RXN-8316	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-13283	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8086; WATER; Oxidized-ferredoxins)	-	-
1.14.13.36-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-17915; ENZRXN4J-15573; ENZRXN4J-14826; ENZRXN4J-11111	(4-COUMAROYLQUINATE; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CAFFEOYLQUINATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
TOCOPHEROL-O-METHYLTRANSFERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-14308; ENZRXN4J-13592; ENZRXN4J-9096; ENZRXN4J-3739; ENZRXN4J-2878	(S-ADENOSYLMETHIONINE; GAMA-TOCOPHEROL)	(ADENOSYL-HOMO-CYS; ALPHA-TOCOPHEROL; PROTON)	-	-
RXN-8082	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-676	(CPD-6948; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-7608; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
TRANS-RXN-229	Small-Molecule-Reactions; Transport-Reactions	-	-	(L-ORNITHINE)	(L-ORNITHINE)	-	-
RXN-11925	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12865; FERROCYTOCHROME-B5; OXYGEN-MOLECULE; PROTON)	(CPD-12866; FERRICYTOCHROME-B5; WATER)	-	-
GLYCEROL-KIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-18678; ENZRXN4J-13521; ENZRXN4J-12290; ENZRXN4J-4170; ENZRXN4J-3128; ENZRXN4J-2625; ENZRXN4J-72	(GLYCEROL; ATP)	(PROTON; GLYCEROL-3P; ADP)	-	-
RXN-9524	Protein-Modification-Reactions	3-oxo-octanoyl-[acyl-carrier protein] reductase	-	(3-Hydroxy-octanoyl-ACPs; NADP)	(3-Oxo-octanoyl-ACPs; NADPH; PROTON)	-	-
RXN-9246	Chemical-Reactions; Small-Molecule-Reactions	-	-	(ISOEUGENOL; ACET; NADP)	(CPD-9875; NADPH)	-	-
RXN-3	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; CPD-501; UTP)	(UDP-D-GALACTURONATE; PPI)	-	-
RIBULP3EPIM-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-18245; ENZRXN4J-16882; ENZRXN4J-15964; ENZRXN4J-10108	(RIBULOSE-5P)	(XYLULOSE-5-PHOSPHATE)	-	-
UDPACYLGLCNACDEACETYL-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-8988	(UDP-OHMYR-ACETYLGLUCOSAMINE; WATER)	(UDP-OHMYR-GLUCOSAMINE; ACET)	-	-
TRANS-CINNAMATE-4-MONOOXYGENASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-17910; ENZRXN4J-16987; ENZRXN4J-14655; ENZRXN4J-10185; ENZRXN4J-8588	(CPD-674; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(COUMARATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
2.1.1.71-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-16531; ENZRXN4J-13131	(S-ADENOSYLMETHIONINE; CPD-405)	(CPD-160; PROTON; ADENOSYL-HOMO-CYS)	-	-
RXN-9244	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-17175; ENZRXN4J-16694; ENZRXN4J-15707; ENZRXN4J-12244; ENZRXN4J-980; ENZRXN4J-71	(CONIFERYL-ALCOHOL; ACETYL-COA)	(CPD-9875; CO-A)	-	-
RXN-5641	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; SER)	(ETHANOL-AMINE; CARBON-DIOXIDE)	-	-
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-17720; ENZRXN4J-17641; ENZRXN4J-16596; ENZRXN4J-14211; ENZRXN4J-11232; ENZRXN4J-10756; ENZRXN4J-8054; ENZRXN4J-7759; ENZRXN4J-6955; ENZRXN4J-6636; ENZRXN4J-6525; ENZRXN4J-5753	(S-ADENOSYLMETHIONINE; CAFFEOYL-COA)	(PROTON; FERULOYL-COA; ADENOSYL-HOMO-CYS)	-	-
RXN-11927	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12866; FERROCYTOCHROME-B5; OXYGEN-MOLECULE; PROTON)	(CPD-12867; FERRICYTOCHROME-B5; WATER)	-	-
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	Protein-Modification-Reactions	-	ENZRXN4J-5321	(R-3-hydroxymyristoyl-ACPs; UDP-OHMYR-GLUCOSAMINE)	(OH-MYRISTOYL; ACP; PROTON)	-	-
RXN-8313	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8083; WATER; Oxidized-ferredoxins)	-	-
ORNCARBAMTRANSFER-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-8955; ENZRXN4J-7244	(L-ORNITHINE; CARBAMOYL-P)	(PROTON; L-CITRULLINE; Pi)	-	-
RXN-9952	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-17315; ENZRXN4J-14013; ENZRXN4J-12118; ENZRXN4J-9766; ENZRXN4J-3815; ENZRXN4J-2372	(CPD-2961; NADP)	(RIBULOSE-5P; CARBON-DIOXIDE; NADPH)	-	-
RXN-7101	Protein-Modification-Reactions	-	-	(BCCP-biotin-L-lysine)	(biotin-L-lysine-in-BCCP-dimers)	-	-
THRESYN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-18714; ENZRXN4J-17195; ENZRXN4J-10011; ENZRXN4J-4885; ENZRXN4J-2015	(O-PHOSPHO-L-HOMOSERINE; WATER)	(Pi; THR)	-	-
RXN-8363	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-13284	(CPD-8160; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8161; WATER; Oxidized-ferredoxins)	-	-
CHORISMATE-SYNTHASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-1932	(3-ENOLPYRUVYL-SHIKIMATE-5P)	(Pi; CHORISMATE)	-	-
4.2.3.19-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-1707	(ENT-COPALYL-DIPHOSPHATE)	(PPI; CPD1F-128)	-	-
GLUC1PURIDYLTRANS-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-17699; ENZRXN4J-17691; ENZRXN4J-17031; ENZRXN4J-15514; ENZRXN4J-10863; ENZRXN4J-2800; ENZRXN4J-2667; ENZRXN4J-1671	(GLC-1-P; UTP; PROTON)	(CPD-12575; PPI)	-	-
TRIOSEPISOMERIZATION-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-18291; ENZRXN4J-16279; ENZRXN4J-12588; ENZRXN4J-11089; ENZRXN4J-6242; ENZRXN4J-4338	(GAP)	(DIHYDROXY-ACETONE-PHOSPHATE)	-	-
SINAPINE-ESTERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4J-17061; ENZRXN4J-14927; ENZRXN4J-12905; ENZRXN4J-8390; ENZRXN4J-6815; ENZRXN4J-6802; ENZRXN4J-5308; ENZRXN4J-4011; ENZRXN4J-2961; ENZRXN4J-2772; ENZRXN4J-2145; ENZRXN4J-1789; ENZRXN4J-1653	(WATER; O-SINAPOYLCHOLINE)	(PROTON; CHOLINE; SINAPATE)	-	-
RXN1F-161	Chemical-Reactions; Small-Molecule-Reactions	GA<sub>12</sub>-aldehyde monooxygenase	ENZRXN4J-12132; ENZRXN4J-10484; ENZRXN4J-10465; ENZRXN4J-8621; ENZRXN4J-8413	(CPD1F-138; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD1F-95; Ox-NADPH-Hemoprotein-Reductases; WATER; PROTON)	-	-
RXN-9721	Chemical-Reactions; Small-Molecule-Reactions	-	-	(D-Galactosyl-12-diacyl-glycerols=(Monogalactosyldiacylglycerols-38-4; CPD-17296; CPD-17297; Monogalactosyldiacylglycerols-36-3; Monogalactosyldiacylglycerols-38-6; Monogalactosyldiacylglycerols-38-3; Monogalactosyldiacylglycerols-36-2; Monogalactosyldiacylglycerols-36-1; CPD-17295; CPD-17298; Monogalactosyldiacylglycerols-38-5); CPD-10363)	(CPD-10364; DIACYLGLYCEROL=(1-Linoleoyl-2-Acyl-Glycerols; 1-Palmitoyl-2-Acyl-Glycerols; 1-Arachidonoyl-2-Acyl-Glycerols; 1-Oleoyl-2-Acyl-Glycerols; 1-acyl-2-oleoyl-glyceride; 1-Stearoyl-2-Acyl-Glycerols; 1-Acyl-2-Arachidonoyl-Glycerols; CPD-17375; CPD-13040))	-	-
RXN-16047	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-17294=(CPD-17296); Reduced-ferredoxins; OXYGEN-MOLECULE; PROTON)	(CPD-17293=(CPD-17297); Oxidized-ferredoxins; WATER)	-	-
RXN-1641	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PHOSPHATIDYLCHOLINE=(1-Stearoyl-PC; Phosphatidylcholines-40-5; Phosphatidylcholines-38-2; Phosphatidylcholines-38-6; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC; Phosphatidylcholines-36-1; 1-Oleoyl-PC; Phosphatidylcholines-40-4; Phosphatidylcholines-38-5; 2-arachidonoyl-PC; Phosphatidylcholines-38-3; 1-Linoleoyl-PC; Phosphatidylcholines-40-3; Phosphatidylcholines-34-4; 1-arachidonoyl-PC; phosphatidylcholine-30:0; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; Phosphatidylcholines-40-2; Phosphatidylcholines-32-0; Phosphatidylcholines-38-4); DIACYLGLYCEROL=(1-Linoleoyl-2-Acyl-Glycerols; 1-Palmitoyl-2-Acyl-Glycerols; 1-Arachidonoyl-2-Acyl-Glycerols; 1-Oleoyl-2-Acyl-Glycerols; 1-acyl-2-oleoyl-glyceride; 1-Stearoyl-2-Acyl-Glycerols; 1-Acyl-2-Arachidonoyl-Glycerols; CPD-17375; CPD-13040))	(Triacylglycerols=(TAG-18-3-38-3s; TAG-18-3-40-3s; TAG-18-3-40-2s; TAG-18-3-40-4s; TAG-18-3-38-2s; TAG-18-3-40-1s; TAG-18-3-38-0s; TAG-18-3-34-0s; TAG-18-3-38-1s; TAG-18-3-32-2s; TAG-18-3-36-1s; TAG-18-3-36-3s; TAG-18-3-36-4s; TAG-18-3-40-0s; TAG-18-3-38-5s; TAG-18-3-34-1; TAG-18-3-32-1s; TAG-18-3-36-0s; TAG-18-3-36-6s; TAG-18-3-34-3s; TAG-18-3-38-4s; TAG-18-3-34-2s; TAG-18-3-32-0s; TAG-18-3-36-5s; CPD-13014); 2-Lysophosphatidylcholines)	-	-
