ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXN-9663	Protein-Modification-Reactions	<i>trans</i> hexadecenoyl-[acp] reductase	-	(Palmitoyl-ACPs; NAD)	(2-Hexadecenoyl-ACPs; NADH; PROTON)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-9518	Protein-Modification-Reactions	3-hydroxyhexanoyl-[acyl-carrier protein] reductase	-	(R-3-hydroxyhexanoyl-ACPs; NADP)	(3-oxo-hexanoyl-ACPs; NADPH; PROTON)	-	-
RXN-1726	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN30-4074	(CPD-2184; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2185; WATER; Oxidized-ferredoxins)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN30-23608; ENZRXN30-23607; ENZRXN30-20410; ENZRXN30-13412; ENZRXN30-13411; ENZRXN30-13410; ENZRXN30-13409; ENZRXN30-5214; ENZRXN30-5213; ENZRXN30-2359; ENZRXN30-2357	(ACYL-COA=(CPD-17624; CPD-17633; CPD-17623); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE); CO-A)	-	-
HOMOSERKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN30-12266; ENZRXN30-11067; ENZRXN30-11066; ENZRXN30-11065; ENZRXN30-11064; ENZRXN30-5537; ENZRXN30-5536	(HOMO-SER; ATP)	(PROTON; O-PHOSPHO-L-HOMOSERINE; ADP)	-	-
2.7.7.60-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN30-23102	(PROTON; 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE; CTP)	(4-CYTIDINE-5-DIPHOSPHO-2-C; PPI)	4-diphosphocytidyl-2-methylerithritol synthase (sugar nucleotide phosphorylase family)	-
DIHYDROXYMETVALDEHYDRAT-RXN	Chemical-Reactions; Small-Molecule-Reactions	2,3-Dihydroxy-3-methylvalerate dehydratase	-	(1-KETO-2-METHYLVALERATE)	(2-KETO-3-METHYL-VALERATE; WATER)	-	-
RXN-1725	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN30-26668; ENZRXN30-19267; ENZRXN30-7377; ENZRXN30-7373; ENZRXN30-189	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2184; WATER; Oxidized-ferredoxins)	-	-
PHOSPHOGLUCMUT-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN30-24791; ENZRXN30-24789; ENZRXN30-24786; ENZRXN30-24784; ENZRXN30-24782; ENZRXN30-24780; ENZRXN30-24778; ENZRXN30-24776; ENZRXN30-24774; ENZRXN30-9221; ENZRXN30-9219; ENZRXN30-9217; ENZRXN30-9215; ENZRXN30-9213; ENZRXN30-9211; ENZRXN30-9209; ENZRXN30-6807; ENZRXN30-6806; ENZRXN30-6805; ENZRXN30-6804; ENZRXN30-6803; ENZRXN30-6802; ENZRXN30-6801; ENZRXN30-3915; ENZRXN30-3914; ENZRXN30-3913; ENZRXN30-3912; ENZRXN30-3911; ENZRXN30-3910; ENZRXN30-3909; ENZRXN30-1729; ENZRXN30-1728; ENZRXN30-1727; ENZRXN30-1726; ENZRXN30-1725; ENZRXN30-1724; ENZRXN30-1723; ENZRXN30-1722	(GLC-1-P)	(D-glucopyranose-6-phosphate=(ALPHA-GLC-6-P; GLC-6-P))	-	RXN-16997; RXN-16998
RXN-8303	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8077; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8079; WATER; Oxidized-ferredoxins)	-	-
RXN-7763	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-7025; Nucleoside-Triphosphates))	(PHYTYL-PYROPHOSPHATE; Nucleoside-Diphosphates))	-	-
RXN-8316	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN30-4082	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8086; WATER; Oxidized-ferredoxins)	-	-
1.14.13.36-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN30-21104; ENZRXN30-21101; ENZRXN30-17051; ENZRXN30-17048; ENZRXN30-16612; ENZRXN30-789	(4-COUMAROYLQUINATE; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CAFFEOYLQUINATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
