ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN8B-2556	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN8B-6747	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN8B-6734	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN8B-6720	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN8B-9805	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN8B-9804	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN8B-8414	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN8B-5946	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN8B-9326	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-9222	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-8807	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-8637	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-8263	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-8259	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-6703	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-3229	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-3185	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-3181	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-2335	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-2164	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-462	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8B-10440	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8B-10298	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8B-10529	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8B-9349	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8B-7700	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8B-7635	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8B-6423	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
