ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
MALATE-DEH-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN8D-26011; ENZRXN8D-26002; ENZRXN8D-25996; ENZRXN8D-24355; ENZRXN8D-24354; ENZRXN8D-24353; ENZRXN8D-23958; ENZRXN8D-23946; ENZRXN8D-23913; ENZRXN8D-23843; ENZRXN8D-23826; ENZRXN8D-23804; ENZRXN8D-23774; ENZRXN8D-23746; ENZRXN8D-22826; ENZRXN8D-21346; ENZRXN8D-20183; ENZRXN8D-20159; ENZRXN8D-20083; ENZRXN8D-19303; ENZRXN8D-19286; ENZRXN8D-19196; ENZRXN8D-19013; ENZRXN8D-15985; ENZRXN8D-15963; ENZRXN8D-15944; ENZRXN8D-15466; ENZRXN8D-15460; ENZRXN8D-15415; ENZRXN8D-14726; ENZRXN8D-14720; ENZRXN8D-14698; ENZRXN8D-12654; ENZRXN8D-12638; ENZRXN8D-12223; ENZRXN8D-11617; ENZRXN8D-10864; ENZRXN8D-10504; ENZRXN8D-10503; ENZRXN8D-10502; ENZRXN8D-10245; ENZRXN8D-10244; ENZRXN8D-10243; ENZRXN8D-10242; ENZRXN8D-8713; ENZRXN8D-8709; ENZRXN8D-8705; ENZRXN8D-8487; ENZRXN8D-8486; ENZRXN8D-8485; ENZRXN8D-8132; ENZRXN8D-8131; ENZRXN8D-8130; ENZRXN8D-7798; ENZRXN8D-7797; ENZRXN8D-7796; ENZRXN8D-7541; ENZRXN8D-7540; ENZRXN8D-7539; ENZRXN8D-7538; ENZRXN8D-5985; ENZRXN8D-5981; ENZRXN8D-5977; ENZRXN8D-5751; ENZRXN8D-5750; ENZRXN8D-5749; ENZRXN8D-5388; ENZRXN8D-5387; ENZRXN8D-5386; ENZRXN8D-5172; ENZRXN8D-5027; ENZRXN8D-4962; ENZRXN8D-4846; ENZRXN8D-3942; ENZRXN8D-3754; ENZRXN8D-3704; ENZRXN8D-3678; ENZRXN8D-3387; ENZRXN8D-3252; ENZRXN8D-3135; ENZRXN8D-3010; ENZRXN8D-2796; ENZRXN8D-1390; ENZRXN8D-1153; ENZRXN8D-864; ENZRXN8D-612; ENZRXN8D-530; ENZRXN8D-48	(MAL; NAD)	(OXALACETIC_ACID; NADH; PROTON)	malate dehydrogenation	-
4.1.1.32-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN8D-26007; ENZRXN8D-25999; ENZRXN8D-25991; ENZRXN8D-20017; ENZRXN8D-20015; ENZRXN8D-19971; ENZRXN8D-12409; ENZRXN8D-12203; ENZRXN8D-10552; ENZRXN8D-10550; ENZRXN8D-10548; ENZRXN8D-7846; ENZRXN8D-7844; ENZRXN8D-7842; ENZRXN8D-3835; ENZRXN8D-1139; ENZRXN8D-985; ENZRXN8D-149	(OXALACETIC_ACID; GTP)	(CARBON-DIOXIDE; PHOSPHO-ENOL-PYRUVATE; GDP)	-	-
RXN-13309	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD1G-277; NADP)	(CPD-14283; NADPH; PROTON)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN8D-25249; ENZRXN8D-25245; ENZRXN8D-25241; ENZRXN8D-19734; ENZRXN8D-19623; ENZRXN8D-19597; ENZRXN8D-11969; ENZRXN8D-10382; ENZRXN8D-10378; ENZRXN8D-10374; ENZRXN8D-7676; ENZRXN8D-7672; ENZRXN8D-7668; ENZRXN8D-4908; ENZRXN8D-2907	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-14899	Chemical-Reactions; Small-Molecule-Reactions	phosphatidylcholine phospholipase	-	(PHOSPHATIDYLCHOLINE=(phosphatidylcholine-30:0; Phosphatidylcholines-40-5; Phosphatidylcholines-40-4; Phosphatidylcholines-40-3; Phosphatidylcholines-40-2; Phosphatidylcholines-38-6; Phosphatidylcholines-38-5; Phosphatidylcholines-38-4; Phosphatidylcholines-38-3; Phosphatidylcholines-38-2; Phosphatidylcholines-36-6; Phosphatidylcholines-36-5; Phosphatidylcholines-36-4; Phosphatidylcholines-36-3; Phosphatidylcholines-36-2; Phosphatidylcholines-36-1; Phosphatidylcholines-34-4; Phosphatidylcholines-34-3; Phosphatidylcholines-34-2; Phosphatidylcholines-34-1; Phosphatidylcholines-32-0; CPD-17523; 2-arachidonoyl-PC; 1-arachidonoyl-PC; 1-Stearoyl-PC; 1-Oleoyl-PC; 1-Linoleoyl-PC; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC); WATER)	(L-1-GLYCERO-PHOSPHORYLCHOLINE; Carboxylates=(Retinoates); PROTON)	-	-
UDP-GLUCURONATE-4-EPIMERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(UDP-GLUCURONATE)	(UDP-D-GALACTURONATE)	-	-
RXN-14973	Protein-Modification-Reactions	-	-	(3-Oxo-octanoyl-ACPs; NADPH; PROTON)	(Octanoyl-ACPs; NADP; WATER)	-	-
BIOTIN-CARBOXYL-RXN	Protein-Modification-Reactions	-	ENZRXN8D-20967; ENZRXN8D-20964; ENZRXN8D-20953; ENZRXN8D-19397; ENZRXN8D-19263; ENZRXN8D-19245; ENZRXN8D-13778; ENZRXN8D-12699; ENZRXN8D-12102; ENZRXN8D-9243; ENZRXN8D-6516; ENZRXN8D-4875; ENZRXN8D-4811; ENZRXN8D-2869; ENZRXN8D-2726	(biotin-L-lysine-in-BCCP-dimers; HCO3; ATP)	(Pi; carboxybiotin-L-lysine-in-BCCP-dimers; ADP; PROTON)	-	-
5.5.1.13-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN8D-13255	(GERANYLGERANYL-PP)	(ENT-COPALYL-DIPHOSPHATE)	-	-
PSII-RXN	Electron-Transfer-Reactions; Small-Molecule-Reactions	-	ENZRXN8D-23859; ENZRXN8D-23854; ENZRXN8D-23580; ENZRXN8D-23291; ENZRXN8D-23200; ENZRXN8D-23102; ENZRXN8D-23100; ENZRXN8D-23090; ENZRXN8D-23073; ENZRXN8D-23070; ENZRXN8D-22855; ENZRXN8D-22825; ENZRXN8D-22824; ENZRXN8D-22793; ENZRXN8D-22791; ENZRXN8D-22788; ENZRXN8D-22785; ENZRXN8D-22778; ENZRXN8D-22735; ENZRXN8D-22699; ENZRXN8D-22692; ENZRXN8D-22467; ENZRXN8D-22349; ENZRXN8D-22184; ENZRXN8D-22146; ENZRXN8D-22101; ENZRXN8D-21845; ENZRXN8D-21843; ENZRXN8D-21637; ENZRXN8D-21634; ENZRXN8D-21406; ENZRXN8D-21405; ENZRXN8D-21287; ENZRXN8D-21284; ENZRXN8D-20607; ENZRXN8D-20498; ENZRXN8D-19362; ENZRXN8D-19240; ENZRXN8D-19234; ENZRXN8D-18925; ENZRXN8D-18869; ENZRXN8D-18867; ENZRXN8D-18832; ENZRXN8D-18808; ENZRXN8D-18739; ENZRXN8D-16812; ENZRXN8D-16803; ENZRXN8D-16547; ENZRXN8D-16378; ENZRXN8D-16341; ENZRXN8D-16337; ENZRXN8D-16333; ENZRXN8D-16316; ENZRXN8D-16296; ENZRXN8D-16259; ENZRXN8D-16257; ENZRXN8D-15894; ENZRXN8D-15873; ENZRXN8D-15836; ENZRXN8D-15834; ENZRXN8D-15828; ENZRXN8D-15809; ENZRXN8D-15805; ENZRXN8D-15351; ENZRXN8D-15317; ENZRXN8D-15316; ENZRXN8D-15247; ENZRXN8D-15245; ENZRXN8D-15214; ENZRXN8D-15213; ENZRXN8D-15016; ENZRXN8D-14916; ENZRXN8D-14897; ENZRXN8D-14851; ENZRXN8D-14849; ENZRXN8D-13200; ENZRXN8D-13102; ENZRXN8D-12974; ENZRXN8D-12851; ENZRXN8D-12717; ENZRXN8D-12601; ENZRXN8D-12500; ENZRXN8D-12431; ENZRXN8D-12313; ENZRXN8D-12100; ENZRXN8D-11796; ENZRXN8D-11706; ENZRXN8D-11620; ENZRXN8D-11487; ENZRXN8D-11486; ENZRXN8D-11284; ENZRXN8D-10974; ENZRXN8D-10147; ENZRXN8D-10146; ENZRXN8D-10145; ENZRXN8D-9974; ENZRXN8D-9973; ENZRXN8D-9972; ENZRXN8D-9035; ENZRXN8D-9034; ENZRXN8D-9033; ENZRXN8D-8833; ENZRXN8D-8832; ENZRXN8D-8831; ENZRXN8D-8830; ENZRXN8D-8829; ENZRXN8D-8828; ENZRXN8D-8827; ENZRXN8D-8826; ENZRXN8D-8716; ENZRXN8D-8628; ENZRXN8D-8627; ENZRXN8D-8626; ENZRXN8D-8600; ENZRXN8D-8599; ENZRXN8D-8598; ENZRXN8D-8443; ENZRXN8D-8442; ENZRXN8D-8441; ENZRXN8D-8335; ENZRXN8D-8334; ENZRXN8D-8333; ENZRXN8D-8332; ENZRXN8D-8331; ENZRXN8D-8238; ENZRXN8D-8237; ENZRXN8D-8236; ENZRXN8D-8235; ENZRXN8D-8234; ENZRXN8D-8233; ENZRXN8D-7429; ENZRXN8D-7428; ENZRXN8D-7427; ENZRXN8D-7256; ENZRXN8D-7255; ENZRXN8D-7254; ENZRXN8D-6306; ENZRXN8D-6305; ENZRXN8D-6304; ENZRXN8D-6105; ENZRXN8D-6104; ENZRXN8D-6103; ENZRXN8D-6102; ENZRXN8D-6101; ENZRXN8D-6100; ENZRXN8D-6099; ENZRXN8D-6098; ENZRXN8D-5988; ENZRXN8D-5872; ENZRXN8D-5871; ENZRXN8D-5870; ENZRXN8D-5707; ENZRXN8D-5706; ENZRXN8D-5705; ENZRXN8D-5593; ENZRXN8D-5592; ENZRXN8D-5591; ENZRXN8D-5590; ENZRXN8D-5589; ENZRXN8D-5493; ENZRXN8D-5492; ENZRXN8D-5491; ENZRXN8D-5490; ENZRXN8D-5489; ENZRXN8D-5488; ENZRXN8D-5166; ENZRXN8D-5151; ENZRXN8D-5017; ENZRXN8D-5003; ENZRXN8D-4972; ENZRXN8D-4285; ENZRXN8D-4229; ENZRXN8D-4127; ENZRXN8D-4071; ENZRXN8D-4024; ENZRXN8D-3920; ENZRXN8D-3809; ENZRXN8D-3592; ENZRXN8D-3441; ENZRXN8D-3416; ENZRXN8D-3382; ENZRXN8D-3367; ENZRXN8D-3288; ENZRXN8D-3191; ENZRXN8D-3177; ENZRXN8D-3145; ENZRXN8D-2733; ENZRXN8D-2592; ENZRXN8D-1816; ENZRXN8D-1680; ENZRXN8D-1505; ENZRXN8D-1393; ENZRXN8D-1312; ENZRXN8D-1107; ENZRXN8D-942; ENZRXN8D-907; ENZRXN8D-481; ENZRXN8D-222; ENZRXN8D-181; ENZRXN8D-105	(Plastoquinols=(CPD-12829); PROTON; OXYGEN-MOLECULE)	(Light; PLASTOQUINONE; PROTON; WATER)	-	RXN-15490; RXN-15447; RXN0-5265
