ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
ACYL-COA	SUPER	Fatty acyls	All-Coas	Acyl-Coenzyme A	acyl-CoA	-	['-']	(LIGAND-CPD C00040 NIL |kothari| 3458490026 NIL NIL); (CHEBI 17984 NIL |kothari| 3458490026 NIL NIL)	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]	fatty acyl thioester-CoA; acyl-CoA; RCH2CH2CO-CoA; acyl-Coenzyme A	['-']
S-2-METHYLACYL-COA	ACYL-COA	Fatty acyls	ACYL-COA	Acyl-Coenzyme A	(2S)-2-methylacyl-CoA	-	['-']	(CHEBI 15451 NIL |kothari| 3493153919 NIL NIL); (LIGAND-CPD C05232 NIL |kothari| 3493153919 NIL NIL)	C[C@@H]([R])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP(O)(=O)O)[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))O)O	['-']	['-']
Trans-Delta-11-acyl-CoAs	ACYL-COA	Fatty acyls	ACYL-COA	Acyl-Coenzyme A	(11E)-enoyl-CoA	-	['-']	-	C(/[R])=C\CCCCCCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O	trans &Delta11 acyl-CoA	['-']
Cis-Delta-11-acyl-CoAs	ACYL-COA	Fatty acyls	ACYL-COA	Acyl-Coenzyme A	(11Z)-enoyl-CoA	-	['-']	-	C(\[R])=C\CCCCCCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O	cis &Delta11 acyl-CoA	['-']
R-2-METHYLACYL-COA	ACYL-COA	Fatty acyls	ACYL-COA	Acyl-Coenzyme A	(2R)-2-methylacyl-CoA	-	['-']	(LIGAND-CPD C05329 NIL |paley| 3551465240 NIL NIL); (CHEBI 15450 NIL |kothari| 3493151888 NIL NIL)	C[C@H]([R])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP(O)(=O)O)[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))O)O	['-']	['-']
ACYL-SN-GLYCEROL-3P	SUPER	Glycerophospholipids	2-Lyso-phospholipids; Lysophosphatidates	Lysophosphatidic acid	2-lysophosphatidate	-	['-']	(CHEBI 16975 NIL |kothari| 3498845768 NIL NIL); (LIGAND-CPD C00681 NIL |kothari| 3498845728 NIL NIL)	C([C@@H](O)COP([O-])(=O)[O-])OC(=O)[R]	2-lysophosphatidate; acyl-sn-glycerol-3P; acyl-sn-glycerol-3 phosphate	['-']
CPD-17372	ACYL-SN-GLYCEROL-3P	Glycerophospholipids	ACYL-SN-GLYCEROL-3P	Lysophosphatidic acid	1-(18-hydroxyoleoyl)-sn-glycrol 3-phosphate	-	(C 21);(H 39);(O 8);(P 1)	(PUBCHEM 91820233 NIL |kothari| 3651883219 NIL NIL)	C(O)CCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP([O-])([O-])=O)O	1-(18-hydroxyoleoyl)-2-lyso-phosphatidate	['-']
L-PHOSPHATIDATE	SUPER	Glycerophospholipids	Phosphoglycerides	Phosphatidic acid	phosphatidate	-	['-']	(BIGG pa140 NIL |kothari| 3661824226 NIL NIL); (BIGG pa141 NIL |kothari| 3661824226 NIL NIL); (BIGG pa161 NIL |kothari| 3661824226 NIL NIL); (BIGG pa160 NIL |kothari| 3661824226 NIL NIL); (BIGG pa180 NIL |kothari| 3661824226 NIL NIL); (BIGG pa181 NIL |kothari| 3661824225 NIL NIL); (BIGG pa120 NIL |kothari| 3661824225 NIL NIL); (CHEBI 29089 NIL |caspi| 3658079873 NIL NIL); (|Wikipedia| Phosphatidate NIL |caspi| 3523026352 NIL NIL); (LIGAND-CPD C00416 NIL |kr| 3346617700 NIL NIL)	C(OC([R1])=O)[C@@H](OC(=O)[R2])COP([O-])(=O)[O-]	A 3-SN-phosphatidate; DGP; diacylglycerol phosphate; 3-sn-phosphatidate; diacyl-glycerol-3P; diacylglycerol-3-phosphate; phosphatidic acid; L-phosphatidate; phosphatidate; 1,2-diacylglycerol 3-phosphate	['-']
Phosphatidates-36-6	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	phosphatidate-36:6	phosphatidic acid-36:6; PA-36:6; PA36:6	['-']	-	['-']	phosphatidic acid-36:6; PA-36:6; PA36:6	['-']
1-Linoleoyl-2-Acyl-Glycerol-P	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	1-linoleoyl-2-acyl-sn-glycerol 3-phosphate	-	['-']	-	CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](OC(=O)[R])COP([O-])(=O)[O-]	['-']	['-']
