ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN6O-4090	Enzymatic-Reactions	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	-	-	RXN-1623	-
ENZRXN6O-3251	Enzymatic-Reactions	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	-	-	RXN-1623	-
ENZRXN6O-2836	Enzymatic-Reactions	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	-	-	RXN-1623	-
ENZRXN6O-3567	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN6O-4178	Enzymatic-Reactions	UTP&mdash;glucose-1-phosphate uridylyltransferase	-	-	GLUC1PURIDYLTRANS-RXN	-
ENZRXN6O-3810	Enzymatic-Reactions	UTP&mdash;glucose-1-phosphate uridylyltransferase	-	-	GLUC1PURIDYLTRANS-RXN	-
ENZRXN6O-3378	Enzymatic-Reactions	UTP&mdash;glucose-1-phosphate uridylyltransferase	-	-	GLUC1PURIDYLTRANS-RXN	-
ENZRXN6O-2256	Enzymatic-Reactions	UTP&mdash;glucose-1-phosphate uridylyltransferase	-	-	GLUC1PURIDYLTRANS-RXN	-
ENZRXN6O-877	Enzymatic-Reactions	UTP&mdash;glucose-1-phosphate uridylyltransferase	-	-	GLUC1PURIDYLTRANS-RXN	-
ENZRXN6O-2902	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN6O-887	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN6O-374	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN6O-256	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN6O-2296	Enzymatic-Reactions	transketolase	-	-	1TRANSKETO-RXN	-
ENZRXN6O-4231	Enzymatic-Reactions	malate dehydrogenase	-	-	MALIC-NADP-RXN	-
ENZRXN6O-4003	Enzymatic-Reactions	malate dehydrogenase	-	-	MALIC-NADP-RXN	-
ENZRXN6O-3341	Enzymatic-Reactions	malate dehydrogenase	-	-	MALIC-NADP-RXN	-
ENZRXN6O-3165	Enzymatic-Reactions	malate dehydrogenase	-	-	MALIC-NADP-RXN	-
ENZRXN6O-1094	Enzymatic-Reactions	malate dehydrogenase	-	-	MALIC-NADP-RXN	-
ENZRXN6O-227	Enzymatic-Reactions	malate dehydrogenase	-	-	MALIC-NADP-RXN	-
ENZRXN6O-3653	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN6O-2195	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN6O-1248	Enzymatic-Reactions	3-hydroxy-cerotoyl-CoA dehydratase	-	-	RXN-13305	-
ENZRXN6O-3022	Enzymatic-Reactions	carbamoyl phosphate synthetase	-	-	CARBPSYN-RXN	-
ENZRXN6O-1711	Enzymatic-Reactions	carbamoyl phosphate synthetase	-	-	CARBPSYN-RXN	-
