ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
CPD1F-132	-	-	Diterpenes	-	ent-kaur-16-en-19-oate	-	(C 20);(H 29);(O 2)	(ZINC ZINC000004102257 NIL |kothari| 3853422486 NIL NIL); (SEED cpd08672 NIL |kothari| 3788273830 NIL NIL); (METANETX MNXM1424 NIL |kothari| 3787514191 NIL NIL); (CHEBI 57297 NIL |kothari| 3608037945 NIL NIL); (LIPID_MAPS LMPR0104130004 NIL |kothari| 3594492088 NIL NIL); (PUBCHEM 25200785 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C11874 NIL |kr| 3410284650 NIL NIL)	C=C1([C@H]4(C[C@]3(C1)(CC[C@@H]2([C@@](C([O-])=O)(C)CCC[C@](C)2[C@@H]3CC4))))	ent-kaurenoate; ent-kaurenoic acid; ent-kaur-16-en-19-oic acid; ent-kaurenoic acid	['-']
Red-NADPH-Hemoprotein-Reductases	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
OXYGEN-MOLECULE	-	-	Inorganic-Compounds	-	dioxygen	O<sub>2</sub>	(O 2)	(SEED cpd00007 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM4 NIL |kothari| 3787514192 NIL NIL); (BIGG o2 NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC15379 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01377 NIL |kothari| 3604149734 NIL NIL); (CHEMSPIDER 952 NIL |kothari| 3563632861 NIL NIL); (PUBCHEM 977 NIL |taltman| 3466375284 NIL NIL); (CHEBI 15379 NIL |taltman| 3452438148 NIL NIL); (LIGAND-CPD C00007 NIL |kr| 3346617701 NIL NIL); (CAS 7782-44-7)	O=O	oxygen molecule; molecular oxygen; oxygen	dioxygen
CPD-14501	-	-	Diterpenes	-	steviol	-	(C 20);(H 29);(O 3)	(SEED cpd21445 NIL |kothari| 3788273828 NIL NIL); (HMDB HMDB36706 NIL |kothari| 3787939155 NIL NIL); (METANETX MNXM82766 NIL |kothari| 3787514192 NIL NIL); (CHEBI 145011 NIL |kothari| 3780943053 NIL NIL); (PUBCHEM 40619124 NIL |kothari| 3760047716 NIL NIL); (LIGAND-CPD C20212 NIL |kothari| 3587485073 NIL NIL); (CAS 471-80-7 NIL |hartmut| 3549729994 NIL NIL)	C=C1(C[C@@]24(C[C@@]1(O)CC[C@@H]([C@]3(C)(CCC[C@](C([O-])=O)(C)[C@@H](CC2)3))4))	hydroxydehydrostevic acid; kaur-16-en-18-oic acid; (14&alpha)-13-hydroxykaur-16-en-18-oic-acid	['-']
Ox-NADPH-Hemoprotein-Reductases	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
WATER	-	-	Compounds	-	H2O	-	(H 2);(O 1)	(BIGG h2o NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC15377 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB02111 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 937 NIL |kothari| 3563632863 NIL NIL); (CHEBI 15377 NIL |taltman| 3452438148 NIL NIL); (PUBCHEM 962 NIL |taltman| 3448034169 NIL NIL); (LIGAND-CPD C00001 NIL |kr| 3346617699 NIL NIL); (CAS 7732-18-5)	O	H2O; hydrogen oxide; water	['-']
CPD-2187	-	Glycerolipids	Monogalactosyldiacylglycerols-34-1	Monohexosyldiacylglycerol	1-18:1-2-16:0-monogalactosyldiacylglycerol	18:1-16:0-MGDG	(C 43);(H 80);(O 10)	(ZINC ZINC000049889301 NIL |kothari| 3853422528 NIL NIL); (SEED cpd24372 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM9557 NIL |kothari| 3787514189 NIL NIL); (CHEBI 90507 NIL |kothari| 3716218713 NIL NIL); (PUBCHEM 44593354 NIL |kothari| 3641818093 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCCCCCCCCCCCC)=O)=O	18:1-16:0-MGDG; 1-(9Z-octadecenoyl)-2-hexadecanoyl-3-O-beta-D-galactosyl-sn-glycerol	['-']
Reduced-ferredoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
PROTON	-	-	Monovalent-Inorganic-Cations; Subatomic-Particles	-	H+	-	(H 1)	(SEED cpd00067 NIL |kothari| 3788273827 NIL NIL); (METANETX MNXM1 NIL |kothari| 3787514192 NIL NIL); (BIGG h NIL |kothari| 3661824225 NIL NIL); (HMDB HMDB59597 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 1010 NIL |kothari| 3563632849 NIL NIL); (PUBCHEM 1038 NIL |taltman| 3466375285 NIL NIL); (CHEBI 15378 NIL |taltman| 3452438078 NIL NIL); (CAS 12408-02-5 NIL |kr| 3346617700 NIL NIL); (LIGAND-CPD C00080 NIL |kr| 3346617700 NIL NIL)	[H+]	hydrogen ion; proton; H	['-']
CPD-2188	-	Glycerolipids	Monogalactosyldiacylglycerols-34-2	Monohexosyldiacylglycerol	1-18:1-2-16:1-monogalactosyldiacylglycerol	18:1-16:1-MGDG	(C 43);(H 78);(O 10)	(ZINC ZINC000095661206 NIL |kothari| 3853422528 NIL NIL); (SEED cpd24373 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM7971 NIL |kothari| 3787514191 NIL NIL); (PUBCHEM 90658678 NIL |kothari| 3641818093 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/CCCCCCCC)=O)=O	18:1-16:1-MGDG; 1-(9Z-octadecenoyl)-2-(7Z-hexadecenoyl)-3-O-beta-D-galactosyl-sn-glycerol,	['-']
