ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXN-15462	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-6973	(CPD-4751; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-16719; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-9518	Protein-Modification-Reactions	3-hydroxyhexanoyl-[acyl-carrier protein] reductase	-	(R-3-hydroxyhexanoyl-ACPs; NADP)	(3-oxo-hexanoyl-ACPs; NADPH; PROTON)	-	-
RXN-1726	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2184; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2185; WATER; Oxidized-ferredoxins)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-16592; ENZRXN6F-16591; ENZRXN6F-16590; ENZRXN6F-16589; ENZRXN6F-16588; ENZRXN6F-16587; ENZRXN6F-16586; ENZRXN6F-16585; ENZRXN6F-16584; ENZRXN6F-6708; ENZRXN6F-4778; ENZRXN6F-4777; ENZRXN6F-3690; ENZRXN6F-3688; ENZRXN6F-3686; ENZRXN6F-3684	(ACYL-COA=(CPD-17623; CPD-17624; CPD-17633); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE); CO-A)	-	-
2.7.7.60-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-12145; ENZRXN6F-12144	(PROTON; 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE; CTP)	(4-CYTIDINE-5-DIPHOSPHO-2-C; PPI)	4-diphosphocytidyl-2-methylerithritol synthase (sugar nucleotide phosphorylase family)	-
RXN-1725	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-7404	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2184; WATER; Oxidized-ferredoxins)	-	-
PHOSPHOGLUCMUT-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-6335; ENZRXN6F-6333; ENZRXN6F-6049; ENZRXN6F-5059; ENZRXN6F-3230; ENZRXN6F-3119; ENZRXN6F-2773; ENZRXN6F-2772	(GLC-1-P)	(D-glucopyranose-6-phosphate=(ALPHA-GLC-6-P; GLC-6-P))	-	RXN-16997; RXN-16998
RXN-8303	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8077; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8079; WATER; Oxidized-ferredoxins)	-	-
RXN-8316	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8086; WATER; Oxidized-ferredoxins)	-	-
RXN-9524	Protein-Modification-Reactions	3-oxo-octanoyl-[acyl-carrier protein] reductase	-	(3-Hydroxy-octanoyl-ACPs; NADP)	(3-Oxo-octanoyl-ACPs; NADPH; PROTON)	-	-
GLYCEROL-KIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-16356	(GLYCEROL; ATP)	(PROTON; GLYCEROL-3P; ADP)	-	-
RXN-3	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; CPD-501; UTP)	(UDP-D-GALACTURONATE; PPI)	-	-
RIBULP3EPIM-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-10191; ENZRXN6F-10190; ENZRXN6F-10189; ENZRXN6F-10188; ENZRXN6F-10187; ENZRXN6F-3654; ENZRXN6F-3653	(RIBULOSE-5P)	(XYLULOSE-5-PHOSPHATE)	-	-
PHOSPHASERDECARB-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-14953; ENZRXN6F-14952; ENZRXN6F-14951; ENZRXN6F-14950; ENZRXN6F-14905; ENZRXN6F-14904; ENZRXN6F-2276; ENZRXN6F-2275; ENZRXN6F-2274; ENZRXN6F-2273; ENZRXN6F-2272; ENZRXN6F-2271; ENZRXN6F-2270; ENZRXN6F-2269; ENZRXN6F-2268; ENZRXN6F-2267; ENZRXN6F-2266; ENZRXN6F-2265; ENZRXN6F-2264; ENZRXN6F-2263; ENZRXN6F-2262; ENZRXN6F-2261; ENZRXN6F-2103; ENZRXN6F-2102; ENZRXN6F-2101; ENZRXN6F-2100; ENZRXN6F-2099	(L-1-PHOSPHATIDYL-SERINE; PROTON)	(L-1-PHOSPHATIDYL-ETHANOLAMINE=(CPD-405; CPD-160); CARBON-DIOXIDE)	-	-
TRANS-RXN-131	Small-Molecule-Reactions; TR-11	-	-	(GLYCEROL)	(GLYCEROL)	glycerol transport	-
2.1.1.71-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-13265	(S-ADENOSYLMETHIONINE; CPD-405)	(CPD-160; PROTON; ADENOSYL-HOMO-CYS)	-	-
RXN-5641	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; SER)	(ETHANOL-AMINE; CARBON-DIOXIDE)	-	-
RXN-8313	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8083; WATER; Oxidized-ferredoxins)	-	-
RXN-9952	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-9906; ENZRXN6F-9905; ENZRXN6F-9904; ENZRXN6F-9903; ENZRXN6F-7143; ENZRXN6F-7142; ENZRXN6F-3461; ENZRXN6F-3460	(CPD-2961; NADP)	(RIBULOSE-5P; CARBON-DIOXIDE; NADPH)	-	-
RXN-7101	Protein-Modification-Reactions	-	-	(BCCP-biotin-L-lysine)	(biotin-L-lysine-in-BCCP-dimers)	-	-
RXN-8363	Composite-Reactions; Small-Molecule-Reactions	-	-	(CPD-8160; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8161; WATER; Oxidized-ferredoxins)	-	-
CHORISMATE-SYNTHASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-8908	(3-ENOLPYRUVYL-SHIKIMATE-5P)	(Pi; CHORISMATE)	-	-
4.2.3.19-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-10641; ENZRXN6F-10632	(ENT-COPALYL-DIPHOSPHATE)	(PPI; CPD1F-128)	-	-
GLUC1PURIDYLTRANS-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-10944; ENZRXN6F-10943; ENZRXN6F-10942; ENZRXN6F-5928; ENZRXN6F-4250; ENZRXN6F-2355	(GLC-1-P; UTP; PROTON)	(CPD-12575; PPI)	-	-
TRIOSEPISOMERIZATION-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6F-16698; ENZRXN6F-16697; ENZRXN6F-16609; ENZRXN6F-16529; ENZRXN6F-16528; ENZRXN6F-16527; ENZRXN6F-16163; ENZRXN6F-16162; ENZRXN6F-16161; ENZRXN6F-16160; ENZRXN6F-15950; ENZRXN6F-9705; ENZRXN6F-9437; ENZRXN6F-8085; ENZRXN6F-7890; ENZRXN6F-3051; ENZRXN6F-1931; ENZRXN6F-1930; ENZRXN6F-1929; ENZRXN6F-1928	(GAP)	(DIHYDROXY-ACETONE-PHOSPHATE)	-	-
RXN1F-161	Chemical-Reactions; Small-Molecule-Reactions	GA<sub>12</sub>-aldehyde monooxygenase	-	(CPD1F-138; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD1F-95; Ox-NADPH-Hemoprotein-Reductases; WATER; PROTON)	-	-
RXN-9721	Chemical-Reactions; Small-Molecule-Reactions	-	-	(D-Galactosyl-12-diacyl-glycerols); CPD-10363)	(CPD-10364; DIACYLGLYCEROL=(CPD-17375))	-	-
RXN-16047	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-17294; Reduced-ferredoxins; OXYGEN-MOLECULE; PROTON)	(CPD-17293; Oxidized-ferredoxins; WATER)	-	-
RXN-1641	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PHOSPHATIDYLCHOLINE); DIACYLGLYCEROL=(CPD-17375))	(Triacylglycerols; 2-Lysophosphatidylcholines)	-	-
RXN-8302	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2188; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8077; WATER; Oxidized-ferredoxins)	-	-
RXN-10740	Chemical-Reactions; Small-Molecule-Reactions	UDP-4-keto-rhamnose-4-keto-reductase	-	(UDP-L-RHAMNOSE; NADP)	(CPD-11540; NADPH; PROTON)	-	-
