ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXNQT-4398	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-634; CPD-12575)	(CPDQT-522; UDP; PROTON)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4V-5497; ENZRXN4V-5383	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-12195	Chemical-Reactions; Small-Molecule-Reactions	-	-	(WATER; CTP)	(PROTON; Pi; CDP)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-1726	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2184; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2185; WATER; Oxidized-ferredoxins)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4V-16700; ENZRXN4V-16699; ENZRXN4V-16698; ENZRXN4V-5729; ENZRXN4V-3246	(ACYL-COA=(Cis-Delta-11-acyl-CoAs; R-2-METHYLACYL-COA; Trans-Delta-11-acyl-CoAs; S-2-METHYLACYL-COA; CPD-17633; CPD-17624; CPD-17623); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE=(Phosphatidylcholines-38-2; 1-Linoleoyl-PC; 1-Oleoyl-PC; 1-arachidonoyl-PC; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC; Phosphatidylcholines-40-4; 1-Stearoyl-PC; Phosphatidylcholines-38-5; Phosphatidylcholines-40-3; Phosphatidylcholines-40-2; Phosphatidylcholines-32-0; Phosphatidylcholines-38-3; Phosphatidylcholines-38-6; Phosphatidylcholines-36-1; phosphatidylcholine-30:0; 2-arachidonoyl-PC; Phosphatidylcholines-40-5; Phosphatidylcholines-38-4; Phosphatidylcholines-34-4); CO-A)	-	-
CYTIKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CYTIDINE; ATP)	(CMP; ADP; PROTON)	-	-
HOMOSERKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(HOMO-SER; ATP)	(PROTON; O-PHOSPHO-L-HOMOSERINE; ADP)	-	-
2.7.7.60-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4V-3223; ENZRXN4V-3222; ENZRXN4V-3221; ENZRXN4V-3220	(PROTON; 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE; CTP)	(4-CYTIDINE-5-DIPHOSPHO-2-C; PPI)	4-diphosphocytidyl-2-methylerithritol synthase (sugar nucleotide phosphorylase family)	-
DIHYDROXYMETVALDEHYDRAT-RXN	Chemical-Reactions; Small-Molecule-Reactions	2,3-Dihydroxy-3-methylvalerate dehydratase	-	(1-KETO-2-METHYLVALERATE)	(2-KETO-3-METHYL-VALERATE; WATER)	-	-
RXN-1725	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4V-6880; ENZRXN4V-4576	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2184; WATER; Oxidized-ferredoxins)	-	-
RXN-12155	Chemical-Reactions; Small-Molecule-Reactions	behenate &omega;-hydroxylase	-	(CPD-10279; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-14826; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
PHOSPHOGLUCMUT-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN4V-15452; ENZRXN4V-15448; ENZRXN4V-5783; ENZRXN4V-4847; ENZRXN4V-4844; ENZRXN4V-1688; ENZRXN4V-1685; ENZRXN4V-1305; ENZRXN4V-1302; ENZRXN4V-1299	(GLC-1-P)	(D-glucopyranose-6-phosphate=(GLC-6-P; ALPHA-GLC-6-P))	-	RXN-16997; RXN-16998
RXN-8303	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8077; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8079; WATER; Oxidized-ferredoxins)	-	-
RXN-7763	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-7025; Nucleoside-Triphosphates))	(PHYTYL-PYROPHOSPHATE; Nucleoside-Diphosphates))	-	-
RXN-6522	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD1F-97; 2-KETOGLUTARATE; OXYGEN-MOLECULE)	(CPD-6202; SUC; CARBON-DIOXIDE)	-	-
RXN-8316	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8086; WATER; Oxidized-ferredoxins)	-	-
1.14.13.36-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN4V-12514; ENZRXN4V-10495; ENZRXN4V-10413; ENZRXN4V-9565; ENZRXN4V-9562; ENZRXN4V-8024; ENZRXN4V-5914; ENZRXN4V-162	(4-COUMAROYLQUINATE; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CAFFEOYLQUINATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
