ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN4X-10454	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4X-9617	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4X-9376	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4X-8310	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4X-8231	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4X-7933	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4X-7739	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4X-7639	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4X-9544	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN4X-9011	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN4X-7820	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN4X-7753	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN4X-7686	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
ENZRXN4X-7222	Enzymatic-Reactions	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	-	-	2.3.1.103-RXN	-
