ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN8J-6501	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN8J-10158	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-10078	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-10074	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-8359	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-8355	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-8300	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-8296	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-7769	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-7576	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-5619	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-4725	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-4721	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-4518	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-4508	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-4485	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-3302	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-3124	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-2864	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-2539	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-1346	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-1342	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-1338	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-1333	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-1329	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-1325	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-416	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8J-8648	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8J-3703	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8J-10547	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
ENZRXN8J-8366	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8J-8365	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8J-8352	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8J-8351	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8J-8350	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8J-8349	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8J-8348	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8J-8347	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8J-8319	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8J-8159	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8J-6486	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8J-1672	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8J-7414	Enzymatic-Reactions	propanoyl-CoA:ethanol <i>O</i>-propanoyltransferase	-	-	RXN-18670	-
ENZRXN8J-7305	Enzymatic-Reactions	&beta;-ureidopropionase	-	-	BETA-UREIDOPROPIONASE-RXN	-
ENZRXN8J-7304	Enzymatic-Reactions	&beta;-ureidopropionase	-	-	BETA-UREIDOPROPIONASE-RXN	-
ENZRXN8J-1641	Enzymatic-Reactions	&beta;-ureidopropionase	-	-	BETA-UREIDOPROPIONASE-RXN	-
ENZRXN8J-1512	Enzymatic-Reactions	&beta;-ureidopropionase	-	-	BETA-UREIDOPROPIONASE-RXN	-
ENZRXN8J-7334	Enzymatic-Reactions	3-hydroxy-lignoceroyl-CoA dehydratase	-	-	RXN-13304	-
ENZRXN8J-6668	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXN8J-2706	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXN8J-10339	Enzymatic-Reactions	L-glutamate &gamma;-semialdehyde dehydrogenase	-	-	RXN-14116	-
ENZRXN8J-7394	Enzymatic-Reactions	L-glutamate &gamma;-semialdehyde dehydrogenase	-	-	RXN-14116	-
ENZRXN8J-5932	Enzymatic-Reactions	L-glutamate &gamma;-semialdehyde dehydrogenase	-	-	RXN-14116	-
ENZRXN8J-4395	Enzymatic-Reactions	L-glutamate &gamma;-semialdehyde dehydrogenase	-	-	RXN-14116	-
ENZRXN8J-3577	Enzymatic-Reactions	L-glutamate &gamma;-semialdehyde dehydrogenase	-	-	RXN-14116	-
ENZRXN8J-2817	Enzymatic-Reactions	L-glutamate &gamma;-semialdehyde dehydrogenase	-	-	RXN-14116	-
ENZRXN8J-2740	Enzymatic-Reactions	L-glutamate &gamma;-semialdehyde dehydrogenase	-	-	RXN-14116	-
ENZRXN8J-1870	Enzymatic-Reactions	L-glutamate &gamma;-semialdehyde dehydrogenase	-	-	RXN-14116	-
ENZRXN8J-7168	Enzymatic-Reactions	&delta;-tocopherol cyclase	-	-	RXN-2561	-
ENZRXN8J-10760	Enzymatic-Reactions	arginine/citrulline exchanger	-	-	TRANS-RXN-227	-
ENZRXN8J-10758	Enzymatic-Reactions	arginine/citrulline exchanger	-	-	TRANS-RXN-227	-
ENZRXN8J-5721	Enzymatic-Reactions	glutamate synthase (ferredoxin)	-	-	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	-
ENZRXN8J-3081	Enzymatic-Reactions	glutamate synthase (ferredoxin)	-	-	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	-
ENZRXN8J-1556	Enzymatic-Reactions	phosphomevalonate kinase	-	-	PHOSPHOMEVALONATE-KINASE-RXN	-
ENZRXN8J-1555	Enzymatic-Reactions	phosphomevalonate kinase	-	-	PHOSPHOMEVALONATE-KINASE-RXN	-
ENZRXN8J-1554	Enzymatic-Reactions	phosphomevalonate kinase	-	-	PHOSPHOMEVALONATE-KINASE-RXN	-
ENZRXN8J-1553	Enzymatic-Reactions	phosphomevalonate kinase	-	-	PHOSPHOMEVALONATE-KINASE-RXN	-
ENZRXN8J-7165	Enzymatic-Reactions	&delta;-tocotrienol cyclase	-	-	RXN-14921	-
ENZRXN8J-7290	Enzymatic-Reactions	aspartate transaminase	-	-	ASPAMINOTRANS-RXN	-
ENZRXN8J-6878	Enzymatic-Reactions	aspartate transaminase	-	-	ASPAMINOTRANS-RXN	-
ENZRXN8J-6789	Enzymatic-Reactions	aspartate transaminase	-	-	ASPAMINOTRANS-RXN	-
ENZRXN8J-710	Enzymatic-Reactions	aspartate transaminase	-	-	ASPAMINOTRANS-RXN	-
ENZRXN8J-539	Enzymatic-Reactions	aspartate transaminase	-	-	ASPAMINOTRANS-RXN	-
