ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
CPD-2187	-	Glycerolipids	Monogalactosyldiacylglycerols-34-1	Monohexosyldiacylglycerol	1-18:1-2-16:0-monogalactosyldiacylglycerol	18:1-16:0-MGDG	(C 43);(H 80);(O 10)	(CHEBI 90507 NIL |kothari| 3716218713 NIL NIL); (PUBCHEM 44593354 NIL |kothari| 3641818093 NIL NIL); (PUBCHEM 25245178 NIL |taltman| 3466375284 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCCCCCCCCCCCC)=O)=O	18:1-16:0-MGDG; 1-(9Z-octadecenoyl)-2-hexadecanoyl-3-O-beta-D-galactosyl-sn-glycerol	['-']
OXYGEN-MOLECULE	-	-	Inorganic-Compounds	-	oxygen	O<SUB>2</SUB>	(O 2)	(BIGG o2 NIL |kothari| 3661824225 NIL NIL); (PUBCHEM 977 NIL |taltman| 3448034169 NIL NIL); (METABOLIGHTS MTBLC15379 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01377 NIL |kothari| 3604149734 NIL NIL); (BIGG 33493 NIL |kothari| 3584718837 NIL NIL); (CHEMSPIDER 952 NIL |kothari| 3563632861 NIL NIL); (PUBCHEM 977 NIL |taltman| 3466375284 NIL NIL); (CHEBI 15379 NIL |taltman| 3452438148 NIL NIL); (LIGAND-CPD C00007 NIL |kr| 3346617701 NIL NIL); (CAS 7782-44-7)	O=O	oxygen; oxygen molecule	O2
Reduced-ferredoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
PROTON	-	-	Subatomic-Particles; Monovalent-Inorganic-Cations	-	H+	-	(H 1)	(BIGG h NIL |kothari| 3661824225 NIL NIL); (HMDB HMDB59597 NIL |kothari| 3608597114 NIL NIL); (BIGG 33778 NIL |kothari| 3584718837 NIL NIL); (CHEMSPIDER 1010 NIL |kothari| 3563632849 NIL NIL); (PUBCHEM 1038 NIL |taltman| 3466375285 NIL NIL); (CHEBI 15378 NIL |taltman| 3452438078 NIL NIL); (CAS 12408-02-5 NIL |kr| 3346617700 NIL NIL); (LIGAND-CPD C00080 NIL |kr| 3346617700 NIL NIL)	[H+]	hydrogen ion; proton; H	['-']
CPD-2188	-	Glycerolipids	Monogalactosyldiacylglycerols-34-2	Monohexosyldiacylglycerol	1-18:1-2-16:1-monogalactosyldiacylglycerol	18:1-16:1-MGDG	(C 43);(H 78);(O 10)	(PUBCHEM 90658678 NIL |kothari| 3641818093 NIL NIL); (PUBCHEM 25244869 NIL |taltman| 3466375284 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/CCCCCCCC)=O)=O	18:1-16:1-MGDG; 1-(9Z-octadecenoyl)-2-(7Z-hexadecenoyl)-3-O-beta-D-galactosyl-sn-glycerol,	['-']
WATER	-	-	Compounds	-	H2O	-	(H 2);(O 1)	(BIGG h2o NIL |kothari| 3661824226 NIL NIL); (HMDB HMDB02111 NIL |kothari| 3608597114 NIL NIL); (METABOLIGHTS MTBLC15377 NIL |kothari| 3608991478 NIL NIL); (CHEMSPIDER 937 NIL |kothari| 3563632863 NIL NIL); (BIGG 33474 NIL |kothari| 3584718837 NIL NIL); (PUBCHEM 962); (LIGAND-CPD C00001); (CHEBI 15377); (CHEBI 15377 NIL |taltman| 3452438148 NIL NIL); (PUBCHEM 962 NIL |taltman| 3448034169 NIL NIL); (LIGAND-CPD C00001 NIL |kr| 3346617699 NIL NIL); (CAS 7732-18-5)	O	H20; H2O; H20; hydrogen oxide; water	['-']
Oxidized-ferredoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
CPD-4302	-	-	Compounds	-	2'-O-methyllicodione	-	(C 16);(H 13);(O 5)	(LIPID_MAPS LMPK12120397 NIL |kothari| 3594492024 NIL NIL); (CHEBI 15789 NIL |kothari| 3594046690 NIL NIL); (PUBCHEM 25245278 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C02922 NIL |taltman| 3466371734 NIL NIL)	COC2(\C(\C(=O)\C=C(C1(\C=C/C(/O)=C\C=1))/[O-])=C/C=C(/C=2)/O)	['-']	['-']
CPD-11760	-	-	Compounds	-	echinatin	-	(C 16);(H 14);(O 4)	(CHEMSPIDER 4946739 NIL |kothari| 3563631984 NIL NIL); (CHEBI 332079 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 6442675 NIL |taltman| 3497976212 NIL NIL)	COC2(/C=C(\C=C/C(/C=C/C(=O)C1(\C=C/C(/O)=C\C=1))=2)/O)	4',4-dihydroxy-2-methoxychalcone	['-']
S-ADENOSYLMETHIONINE	-	-	Amino-Acid-Derivatives	-	S-adenosyl-L-methionine	SAM	(C 15);(H 23);(N 6);(O 5);(S 1)	(CHEBI 33442 NIL |caspi| 3716224426 NIL NIL); (REFMET S-adenosyl-L-methioninate NIL |midford| 3701443689 NIL NIL); (PUBCHEM 24762165 NIL |kothari| 3641818093 NIL NIL); (BIGG amet NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC59789 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01185 NIL |kothari| 3608597114 NIL NIL); (BIGG 33530 NIL |kothari| 3584718837 NIL NIL); (CHEBI 59789 NIL |caspi| 3501080055 NIL NIL); (PUBCHEM 44229224 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C00019 NIL |kr| 3346617700 NIL NIL); (CAS 29908-03-0)	C[S+](C[C@@H]3([C@@H](O)[C@@H](O)[C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3))CC[C@@H](C([O-])=O)[NH3+]	(S)-S-adenosyl-L-methionine; AdoMet; SAM; 2-S-adenosyl-L-methionine; S-adenosyl-methionine; adenosylmethionine; S-adenosylmethionine	['-']
CPD-12159	-	-	Steroids	-	26,27-dehydrozymosterol	-	(C 27);(H 42);(O 1)	(CHEBI 136770 NIL |kothari| 3741700409 NIL NIL); (PUBCHEM 91820155 NIL |kothari| 3651883220 NIL NIL); (PUBCHEM 46173326 NIL |taltman| 3497976212 NIL NIL)	C[C@H](CCC=C1(CC1))[C@H]3(CC[C@H]4(C5(\CC[C@H]2(C[C@@H](O)CC[C@@](C)2C(\CC[C@](C)34)=5))))	['-']	['-']
