ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXNN7V-109534	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXNN7V-108201	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXNN7V-105345	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN-17432	Enzymatic-Reactions	sterol 24C methyltransferase	-	-	RXN-11202	-
ENZRXN-17433	Enzymatic-Reactions	sterol 24C methyltransferase	-	-	RXN-11202	-
ENZRXNN7V-112280	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-112026	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-111845	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-111765	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-111080	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-110249	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-110019	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-109750	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-109728	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-109098	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-108865	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-107122	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-105962	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-105787	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-104888	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-104763	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-103370	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-102923	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-102136	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-101943	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-101383	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-101318	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-100628	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-98347	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7V-104905	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXNN7V-97906	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXNN7V-105069	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXNN7V-104607	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXNN7V-112074	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXNN7V-111870	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7V-102002	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7V-101579	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7V-101578	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7V-98966	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7V-98819	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7V-98744	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7V-98743	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7V-112145	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
ENZRXNN7V-111892	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXNN7V-110556	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXNN7V-109807	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXNN7V-109360	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXNN7V-107862	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXNN7V-106108	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXNN7V-103561	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXNN7V-103431	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXNN7V-101902	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXNN7V-101877	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXNN7V-99740	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXNN7V-112615	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXNN7V-111510	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXNN7V-108770	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
