ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN4Z-24373	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN4Z-22718	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN4Z-8711	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN4Z-3523	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN4Z-8117	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN4Z-8116	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN4Z-8115	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN4Z-26448	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-26444	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-26440	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-26436	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-23141	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-19156	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-19152	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-18749	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-18745	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-18741	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-18737	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-18733	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-14430	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-14426	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-14422	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-14418	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-14176	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-13237	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-11877	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-11873	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-11869	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-6629	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-4609	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-4605	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-4601	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-4597	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-4593	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-4589	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-4585	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-4581	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-4577	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-4573	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-3849	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-3845	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-1038	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-1034	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-1030	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-1026	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-1022	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN4Z-1018	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
