ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN8K-6254	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN8K-13415	Enzymatic-Reactions	3-methoxy-4',5-dihydroxy-<i>trans</i>-stilbene methyltransferase	-	-	RXN-11896	-
ENZRXN8K-8560	Enzymatic-Reactions	3-methoxy-4',5-dihydroxy-<i>trans</i>-stilbene methyltransferase	-	-	RXN-11896	-
ENZRXN8K-1190	Enzymatic-Reactions	3-methoxy-4',5-dihydroxy-<i>trans</i>-stilbene methyltransferase	-	-	RXN-11896	-
ENZRXN8K-1170	Enzymatic-Reactions	3-methoxy-4',5-dihydroxy-<i>trans</i>-stilbene methyltransferase	-	-	RXN-11896	-
ENZRXN8K-798	Enzymatic-Reactions	3-methoxy-4',5-dihydroxy-<i>trans</i>-stilbene methyltransferase	-	-	RXN-11896	-
ENZRXN8K-269	Enzymatic-Reactions	3-methoxy-4',5-dihydroxy-<i>trans</i>-stilbene methyltransferase	-	-	RXN-11896	-
ENZRXN8K-13	Enzymatic-Reactions	3-methoxy-4',5-dihydroxy-<i>trans</i>-stilbene methyltransferase	-	-	RXN-11896	-
ENZRXN8K-4764	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN8K-2624	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN8K-1074	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN8K-1059	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN8K-7474	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN8K-5463	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN8K-14124	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-13498	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-12986	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-12465	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-11548	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-11282	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-11020	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-9681	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-7781	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-5209	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-3885	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-3881	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-3877	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-1774	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8K-14136	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8K-10947	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8K-10946	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8K-3650	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8K-2864	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8K-1709	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8K-1613	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8K-1109	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8K-1049	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8K-14201	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-13245	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-11840	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-11839	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-10415	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-9685	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-8972	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-7204	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-6636	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-4885	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-4861	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-4790	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-3316	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-2501	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-1770	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-1499	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-1408	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-725	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-274	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8K-12626	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8K-11469	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8K-6486	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8K-5202	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
