ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
CPD-2187	-	Glycerolipids	Monogalactosyldiacylglycerols-34-1	Monohexosyldiacylglycerol	1-18:1-2-16:0-monogalactosyldiacylglycerol	18:1-16:0-MGDG	(C 43);(H 80);(O 10)	(ZINC ZINC000049889301 NIL |kothari| 3853422528 NIL NIL); (SEED cpd24372 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM9557 NIL |kothari| 3787514189 NIL NIL); (CHEBI 90507 NIL |kothari| 3716218713 NIL NIL); (PUBCHEM 44593354 NIL |kothari| 3641818093 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCCCCCCCCCCCC)=O)=O	18:1-16:0-MGDG; 1-(9Z-octadecenoyl)-2-hexadecanoyl-3-O-beta-D-galactosyl-sn-glycerol	['-']
OXYGEN-MOLECULE	-	-	Inorganic-Compounds	-	dioxygen	O<sub>2</sub>	(O 2)	(SEED cpd00007 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM4 NIL |kothari| 3787514192 NIL NIL); (BIGG o2 NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC15379 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01377 NIL |kothari| 3604149734 NIL NIL); (CHEMSPIDER 952 NIL |kothari| 3563632861 NIL NIL); (PUBCHEM 977 NIL |taltman| 3466375284 NIL NIL); (CHEBI 15379 NIL |taltman| 3452438148 NIL NIL); (LIGAND-CPD C00007 NIL |kr| 3346617701 NIL NIL); (CAS 7782-44-7)	O=O	oxygen molecule; molecular oxygen; oxygen	dioxygen
Reduced-ferredoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
PROTON	-	-	Monovalent-Inorganic-Cations; Subatomic-Particles	-	H+	-	(H 1)	(SEED cpd00067 NIL |kothari| 3788273827 NIL NIL); (METANETX MNXM1 NIL |kothari| 3787514192 NIL NIL); (BIGG h NIL |kothari| 3661824225 NIL NIL); (HMDB HMDB59597 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 1010 NIL |kothari| 3563632849 NIL NIL); (PUBCHEM 1038 NIL |taltman| 3466375285 NIL NIL); (CHEBI 15378 NIL |taltman| 3452438078 NIL NIL); (CAS 12408-02-5 NIL |kr| 3346617700 NIL NIL); (LIGAND-CPD C00080 NIL |kr| 3346617700 NIL NIL)	[H+]	hydrogen ion; proton; H	['-']
CPD-2188	-	Glycerolipids	Monogalactosyldiacylglycerols-34-2	Monohexosyldiacylglycerol	1-18:1-2-16:1-monogalactosyldiacylglycerol	18:1-16:1-MGDG	(C 43);(H 78);(O 10)	(ZINC ZINC000095661206 NIL |kothari| 3853422528 NIL NIL); (SEED cpd24373 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM7971 NIL |kothari| 3787514191 NIL NIL); (PUBCHEM 90658678 NIL |kothari| 3641818093 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/CCCCCCCC)=O)=O	18:1-16:1-MGDG; 1-(9Z-octadecenoyl)-2-(7Z-hexadecenoyl)-3-O-beta-D-galactosyl-sn-glycerol,	['-']
WATER	-	-	Compounds	-	H2O	-	(H 2);(O 1)	(BIGG h2o NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC15377 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB02111 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 937 NIL |kothari| 3563632863 NIL NIL); (CHEBI 15377 NIL |taltman| 3452438148 NIL NIL); (PUBCHEM 962 NIL |taltman| 3448034169 NIL NIL); (LIGAND-CPD C00001 NIL |kr| 3346617699 NIL NIL); (CAS 7732-18-5)	O	H2O; hydrogen oxide; water	['-']
Oxidized-ferredoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
CPD-2189	-	Glycerolipids	Monogalactosyldiacylglycerols-34-4	Monohexosyldiacylglycerol	1-18:2-2-16:2-monogalactosyldiacylglycerol	18:2-16:2-MGDG	(C 43);(H 74);(O 10)	(ZINC ZINC000062233376 NIL |kothari| 3853422530 NIL NIL); (SEED cpd24374 NIL |kothari| 3788273826 NIL NIL); (METANETX MNXM6594 NIL |kothari| 3787514192 NIL NIL); (CHEBI 83006 NIL |kothari| 3641835422 NIL NIL); (PUBCHEM 86290020 NIL |kothari| 3641818092 NIL NIL)	CCCCC\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/C\C=C/CCCCC)=O)=O	18:2-16:2-MGDG; 1-(9Z,12Z-octadecadienoyl)-2-(7Z,10Z-hexadecadienoyl)-3-O-beta-D-galactosyl-sn-glycerol	['-']
CPD-8080	-	Glycerolipids	Monogalactosyldiacylglycerols-34-5	Monohexosyldiacylglycerol	1-18:2-2-16:3-monogalactosyldiacylglycerol	18:2-16:3-MGDG	(C 43);(H 72);(O 10)	(SEED cpd25031 NIL |kothari| 3788273831 NIL NIL); (METANETX MNXM7976 NIL |kothari| 3787514192 NIL NIL); (PUBCHEM 90657314 NIL |kothari| 3641818093 NIL NIL)	CCCCC\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/C\C=C/C\C=C/CC)=O)=O	18:2-16:3-MGDG; 1-(9Z,12Z-octadecadienoyl)-2-(7Z,10Z,13Z-hexadecatrienoyl)-3-O-beta-D-galactosyl-sn-glycerol	['-']
D-SEDOHEPTULOSE-1-7-P2	-	Sphingolipids	Sugar-bisphosphates	Long-chain base phosphate	D-sedoheptulose 1,7-bisphosphate	-	(C 7);(H 12);(O 13);(P 2)	(ZINC ZINC000003870279 NIL |kothari| 3853425329 NIL NIL); (SEED cpd00349 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM1294 NIL |kothari| 3787514192 NIL NIL); (REFMET Sedoheptulose 1,7-bisphosphate NIL |midford| 3701443689 NIL NIL); (CHEBI 58335 NIL |kothari| 3641835422 NIL NIL); (PUBCHEM 46878435 NIL |kothari| 3641818093 NIL NIL); (METABOLIGHTS MTBLC58335 NIL |kothari| 3609160997 NIL NIL); (HMDB HMDB60274 NIL |kothari| 3608602467 NIL NIL); (LIGAND-CPD C00447 NIL |kr| 3410284650 NIL NIL)	C(OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(COP([O-])(=O)[O-])=O	sedoheptulose 1,7-bisphosphate; SBP	['-']
D-SEDOHEPTULOSE-7-P	-	-	Sugar-Phosphate	-	D-sedoheptulose 7-phosphate	-	(C 7);(H 13);(O 10);(P 1)	(ZINC ZINC000005132038 NIL |kothari| 3853425330 NIL NIL); (REACTOME-CPD 29882 NIL |kothari| 3788282686 NIL NIL); (SEED cpd00238 NIL |kothari| 3788273833 NIL NIL); (METANETX MNXM271 NIL |kothari| 3786132371 NIL NIL); (REFMET Sedoheptulose 7-phosphate NIL |midford| 3701443689 NIL NIL); (BIGG s7p NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC57483 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01068 NIL |kothari| 3608640722 NIL NIL); (LIGAND-CPD C05382 NIL |kothari| 3536420098 NIL NIL); (CHEBI 57483 NIL |ong| 3523630742 NIL NIL); (PUBCHEM 46878379 NIL |ong| 3523387880 NIL NIL); (CAS 2646-35-7)	C(O)C([C@@H](O)[C@@H]([C@H](O)[C@@H](COP(=O)([O-])[O-])O)O)=O	D-Sedoheptulose-7-P; heptulose 7-phosphate; sedoheptulose-7-P; sedo-heptulose-7-phosphate	D-altro-2-heptulose, 7-(dihydrogen phosphate)
Pi	-	-	Phosphates	-	phosphate	-	(H 1);(O 4);(P 1)	(REFMET Phosphoric acid NIL |midford| 3701443689 NIL NIL); (BIGG pi NIL |kothari| 3661824226 NIL NIL); (PUBCHEM 3681305 NIL |kothari| 3619398602 NIL NIL); (CHEBI 43474 NIL |kothari| 3609163837 NIL NIL); (METABOLIGHTS MTBLC43474 NIL |kothari| 3609160995 NIL NIL); (HMDB HMDB00973 NIL |kothari| 3608597114 NIL NIL); (KNAPSACK C00007408 NIL |rleitao| 3434750086 NIL NIL); (CAS 14265-44-2)	[O-]P(=O)(O)[O-]	inorganic phosphate; phosphate-inorganic; Pi; orthophosphate; PO43-; HPO42-; HPO4-2; hydrogenphosphate	['-']
CPD-12581	-	-	Amino-Acid-Derivatives; CPD-20305; Polyisoprenoids	-	S-(2E,6E)-farnesyl-L-cysteine	-	(C 18);(H 31);(N 1);(O 2);(S 1)	(ZINC ZINC000002558954 NIL |kothari| 3853422026 NIL NIL); (SEED cpd20939 NIL |kothari| 3788273827 NIL NIL); (METANETX MNXM4102 NIL |kothari| 3787514190 NIL NIL); (LIGAND-CPD C19691 NIL |kothari| 3787329138 NIL NIL); (HMDB HMDB11627 NIL |kothari| 3608597114 NIL NIL); (CHEBI 62141 NIL |ong| 3523630741 NIL NIL); (PUBCHEM 46926172 NIL |ong| 3523387880 NIL NIL)	CC(C)=CCCC(\C)=C/CCC(\C)=C/CSC[C@H]([NH3+])C(=O)[O-]	S-farnesylcysteine; L-Cysteine, S-(3,7,11-trimethyl-2,6,10-dodecatrienyl)-, (E,E)-; S-all-trans-farnesyl cysteine; S-trans, trans-farnesylcysteine; 2-trans-6- trans-farnesylcysteine; S-all-trans-farnesylcysteine	['-']
2-TRANS6-TRANS-FARNESAL	-	-	Aldehydes; CPD-20303	-	(2E,6E)-farnesal	-	(C 15);(H 24);(O 1)	(ZINC ZINC000001529658 NIL |kothari| 3853420157 NIL NIL); (SEED cpd02188 NIL |kothari| 3788273830 NIL NIL); (METANETX MNXM1959 NIL |kothari| 3787514190 NIL NIL); (REFMET (2-trans,6-trans)-farnesal NIL |midford| 3697479617 NIL NIL); (HMDB HMDB60356 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 4444210 NIL |kothari| 3563632130 NIL NIL); (PUBCHEM 5280598 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C03461 NIL |taltman| 3452530457 NIL NIL); (CHEBI 15894 NIL |taltman| 3452438197 NIL NIL)	CC(C)=CCCC(\C)=C/CCC(\C)=C/C=O	(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienal; (2-trans,6-trans)-3,7,11-trimethyldodeca-2,6,10-trienal; (2E,6E)-3,7,11-trimethyl-2,6,10-dodecatrienal; E,E-farnesal; 2-trans-6-trans-farnesal	['-']
CYS	-	-	Amino-Acids-20; L-Amino-Acids; Non-polar-amino-acids; Uncharged-polar-amino-acids	-	L-cysteine	cys	(C 3);(H 7);(N 1);(O 2);(S 1)	(ZINC ZINC000000895042 NIL |kothari| 3853425142 NIL NIL); (MEDIADB compounds/679/ NIL |midford| 3791153825 NIL NIL); (MEDIADB compounds/95/ NIL |midford| 3791153824 NIL NIL); (METANETX MNXM55 NIL |kothari| 3787514190 NIL NIL); (REFMET Cysteine NIL |midford| 3697479617 NIL NIL); (BIGG cys__L NIL |kothari| 3661871748 NIL NIL); (METABOLIGHTS MTBLC35235 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00574 NIL |kothari| 3608597114 NIL NIL); (CHEBI 35235 NIL |ong| 3523630741 NIL NIL); (PUBCHEM 6419722 NIL |ong| 3523387880 NIL NIL); (KNAPSACK C00001351 NIL |achi1| 3445698165 NIL NIL); (CAS 4371-52-2); (LIGAND-CPD C00097 NIL |kr| 3346617701 NIL NIL); (CAS 52-90-4)	C(S)[C@@H](C(=O)[O-])[NH3+]	C; carbocysteine; cysteine; Cys; L-cys	['-']
HYDROGEN-PEROXIDE	-	-	Peroxides	-	hydrogen peroxide	-	(H 2);(O 2)	(SEED cpd00025 NIL |kothari| 3788273831 NIL NIL); (METANETX MNXM22 NIL |kothari| 3787514194 NIL NIL); (BIGG h2o2 NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC16240 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB03125 NIL |kothari| 3608597114 NIL NIL); (PUBCHEM 784 NIL |taltman| 3448034169 NIL NIL); (CHEMSPIDER 763 NIL |kothari| 3563632891 NIL NIL); (CHEBI 16240 NIL |taltman| 3452363281 NIL NIL); (LIGAND-CPD C00027 NIL |kr| 3346617700 NIL NIL); (CAS 7722-84-1)	OO	hydroperoxide; perhydrol; H2O2	['-']
