ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN6H-15162	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN6H-9285	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN6H-4082	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN6H-2476	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN6H-7373	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN6H-3970	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN6H-16817	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN6H-2325	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN6H-104	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN6H-11530	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN6H-6866	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN6H-2248	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN6H-1884	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN6H-923	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN6H-223	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN6H-17020	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6H-16987	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6H-15521	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6H-12177	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6H-9656	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6H-8791	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6H-4266	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6H-4184	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6H-3822	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6H-1435	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6H-1101	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6H-237	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6H-14771	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN6H-13679	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN6H-12464	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN6H-12219	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN6H-11875	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
