ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXNQT-4398	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-634; CPD-12575)	(CPDQT-522; UDP; PROTON)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-17671; ENZRXN6H-15390; ENZRXN6H-11725; ENZRXN6H-9536	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-9020	Chemical-Reactions; Small-Molecule-Reactions	-	-	(S-ADENOSYLMETHIONINE; CPD-16)	(PROTON; CPD-9494; ADENOSYL-HOMO-CYS)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-12195	Chemical-Reactions; Small-Molecule-Reactions	-	-	(WATER; CTP)	(PROTON; Pi; CDP)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-17758; ENZRXN6H-16758; ENZRXN6H-12635; ENZRXN6H-12097; ENZRXN6H-11130; ENZRXN6H-10523; ENZRXN6H-7798; ENZRXN6H-5937; ENZRXN6H-3730; ENZRXN6H-1963; ENZRXN6H-1543	(ACYL-COA=(Trans-Delta-11-acyl-CoAs; S-2-METHYLACYL-COA; Cis-Delta-11-acyl-CoAs; R-2-METHYLACYL-COA; CPD-17624; CPD-17633; CPD-17623); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE=(2-arachidonoyl-PC; Phosphatidylcholines-38-5; Phosphatidylcholines-36-1; 1-arachidonoyl-PC; Phosphatidylcholines-38-4; Phosphatidylcholines-34-4; phosphatidylcholine-30:0; 1-Stearoyl-PC; Phosphatidylcholines-38-3; Phosphatidylcholines-40-5; 1-Oleoyl-PC; Phosphatidylcholines-38-2; Phosphatidylcholines-40-4; 1-Linoleoyl-PC; Phosphatidylcholines-40-3; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; Phosphatidylcholines-32-0; Phosphatidylcholines-40-2; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC; Phosphatidylcholines-38-6); CO-A)	-	-
CYTIKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CYTIDINE; ATP)	(CMP; ADP; PROTON)	-	-
HOMOSERKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-8710	(HOMO-SER; ATP)	(PROTON; O-PHOSPHO-L-HOMOSERINE; ADP)	-	-
2.7.7.60-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-8839	(PROTON; 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE; CTP)	(4-CYTIDINE-5-DIPHOSPHO-2-C; PPI)	4-diphosphocytidyl-2-methylerithritol synthase (sugar nucleotide phosphorylase family)	-
DIHYDROXYMETVALDEHYDRAT-RXN	Chemical-Reactions; Small-Molecule-Reactions	2,3-Dihydroxy-3-methylvalerate dehydratase	-	(1-KETO-2-METHYLVALERATE)	(2-KETO-3-METHYL-VALERATE; WATER)	-	-
RXN-12155	Chemical-Reactions; Small-Molecule-Reactions	behenate &omega;-hydroxylase	-	(CPD-10279; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-14826; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXN-8303	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8077; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8079; WATER; Oxidized-ferredoxins)	-	-
PHOSPHOGLUCMUT-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-17383; ENZRXN6H-16868; ENZRXN6H-15857; ENZRXN6H-14085; ENZRXN6H-13119; ENZRXN6H-8790; ENZRXN6H-8516; ENZRXN6H-7296	(GLC-1-P)	(D-glucopyranose-6-phosphate=(ALPHA-GLC-6-P; GLC-6-P))	-	RXN-16997; RXN-16998
RXN-7763	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-7025; Nucleoside-Triphosphates))	(PHYTYL-PYROPHOSPHATE; Nucleoside-Diphosphates))	-	-
RXN-6522	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD1F-97; 2-KETOGLUTARATE; OXYGEN-MOLECULE)	(CPD-6202; SUC; CARBON-DIOXIDE)	-	-
1.14.13.36-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-9311	(4-COUMAROYLQUINATE; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CAFFEOYLQUINATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-12295	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-13218; NADPH; PROTON)	(CPD-13220; NADP)	-	-
TOCOPHEROL-O-METHYLTRANSFERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-16445; ENZRXN6H-15981; ENZRXN6H-11822; ENZRXN6H-9853; ENZRXN6H-7806; ENZRXN6H-3942; ENZRXN6H-2719	(S-ADENOSYLMETHIONINE; GAMA-TOCOPHEROL)	(ADENOSYL-HOMO-CYS; ALPHA-TOCOPHEROL; PROTON)	-	-
TRANS-RXN-229	Small-Molecule-Reactions; Transport-Reactions	-	-	(L-ORNITHINE)	(L-ORNITHINE)	-	-
RXN1F-162	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-17148; ENZRXN6H-10041; ENZRXN6H-7287; ENZRXN6H-5788; ENZRXN6H-5472; ENZRXN6H-4894; ENZRXN6H-4796; ENZRXN6H-3925; ENZRXN6H-3416; ENZRXN6H-1936; ENZRXN6H-777	(CPD1F-95; OXYGEN-MOLECULE; 2-KETOGLUTARATE)	(CPD1F-97; CARBON-DIOXIDE; SUC)	-	-
RXN-13514	Chemical-Reactions; Small-Molecule-Reactions	steviolbioside 19-O-UDP glucosyltransferase	ENZRXN6H-13432	(CPD-14503; CPD-12575)	(CPD-14504; UDP)	-	-
RXN-9246	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-16319; ENZRXN6H-13799; ENZRXN6H-115	(ISOEUGENOL; ACET; NADP)	(CPD-9875; NADPH)	-	-
RXN-3	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; CPD-501; UTP)	(UDP-D-GALACTURONATE; PPI)	-	-
RIBULP3EPIM-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-15863; ENZRXN6H-1842	(RIBULOSE-5P)	(XYLULOSE-5-PHOSPHATE)	-	-
RXN-6724	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-17128; ENZRXN6H-11799; ENZRXN6H-8641; ENZRXN6H-4688; ENZRXN6H-1088	(BENZOYLCOA; BENZYL-ALCOHOL)	(CPD-6443; CO-A)	-	-
RXN-6523	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD1F-120; 2-KETOGLUTARATE; OXYGEN-MOLECULE)	(CPD-6201; SUC; CARBON-DIOXIDE)	-	-
DCTP-PYROPHOSPHATASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(DCTP; WATER)	(PROTON; DCMP; PPI)	-	-
UDPACYLGLCNACDEACETYL-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-2825	(UDP-OHMYR-ACETYLGLUCOSAMINE; WATER)	(UDP-OHMYR-GLUCOSAMINE; ACET)	-	-
RXNQT-4397	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-697; CPD-12575)	(CPDQT-523; UDP; PROTON)	-	-
TRANS-CINNAMATE-4-MONOOXYGENASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6H-17656; ENZRXN6H-15810; ENZRXN6H-14467; ENZRXN6H-10153; ENZRXN6H-9360; ENZRXN6H-8595; ENZRXN6H-5614; ENZRXN6H-3442	(CPD-674; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(COUMARATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-16418	Chemical-Reactions; Small-Molecule-Reactions	-	-	(OCTADEC-9-ENE-118-DIOIC-ACID; CO-A; ATP)	(CPD-17624; PPI; AMP)	-	-
