ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXN-15462	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN7C-12805	(CPD-4751; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-16719; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXNQT-4398	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-634; CPD-12575)	(CPDQT-522; UDP; PROTON)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN7C-7649; ENZRXN7C-6363	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-12195	Chemical-Reactions; Small-Molecule-Reactions	-	-	(WATER; CTP)	(PROTON; Pi; CDP)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN7C-12204; ENZRXN7C-10186; ENZRXN7C-8856; ENZRXN7C-8855; ENZRXN7C-3306	(ACYL-COA=(Cis-Delta-11-acyl-CoAs; R-2-METHYLACYL-COA; Trans-Delta-11-acyl-CoAs; S-2-METHYLACYL-COA; CPD-17624; CPD-17633; CPD-17623); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE=(phosphatidylcholine-30:0; Phosphatidylcholines-40-5; Phosphatidylcholines-40-4; Phosphatidylcholines-40-3; Phosphatidylcholines-40-2; Phosphatidylcholines-38-6; Phosphatidylcholines-38-5; Phosphatidylcholines-38-4; Phosphatidylcholines-38-3; Phosphatidylcholines-38-2; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; Phosphatidylcholines-36-1; Phosphatidylcholines-34-4; Phosphatidylcholines-32-0; 2-arachidonoyl-PC; 1-arachidonoyl-PC; 1-Stearoyl-PC; 1-Oleoyl-PC; 1-Linoleoyl-PC; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC); CO-A)	-	-
CYTIKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CYTIDINE; ATP)	(CMP; ADP; PROTON)	-	-
HOMOSERKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN7C-10489	(HOMO-SER; ATP)	(PROTON; O-PHOSPHO-L-HOMOSERINE; ADP)	-	-
2.7.7.60-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN7C-9503	(PROTON; 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE; CTP)	(4-CYTIDINE-5-DIPHOSPHO-2-C; PPI)	4-diphosphocytidyl-2-methylerithritol synthase (sugar nucleotide phosphorylase family)	-
RXN1F-461	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12575; CPD1F-90)	(CPD1F-453; UDP; PROTON)	-	-
DIHYDROXYMETVALDEHYDRAT-RXN	Chemical-Reactions; Small-Molecule-Reactions	2,3-Dihydroxy-3-methylvalerate dehydratase	-	(1-KETO-2-METHYLVALERATE)	(2-KETO-3-METHYL-VALERATE; WATER)	-	-
RXN-12155	Chemical-Reactions; Small-Molecule-Reactions	behenate &omega;-hydroxylase	-	(CPD-10279; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-14826; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
PHOSPHOGLUCMUT-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN7C-12559; ENZRXN7C-12555; ENZRXN7C-11239; ENZRXN7C-5727; ENZRXN7C-5724; ENZRXN7C-2344; ENZRXN7C-1598; ENZRXN7C-1595; ENZRXN7C-1592; ENZRXN7C-1589; ENZRXN7C-1586; ENZRXN7C-1583; ENZRXN7C-1580	(GLC-1-P)	(D-glucopyranose-6-phosphate=(GLC-6-P; ALPHA-GLC-6-P))	-	RXN-16997; RXN-16998
ASPCARBTRANS-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN7C-14001; ENZRXN7C-8095; ENZRXN7C-8094; ENZRXN7C-6288; ENZRXN7C-3977	(L-ASPARTATE; CARBAMOYL-P)	(PROTON; CARBAMYUL-L-ASPARTATE; Pi)	-	-
