ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN5E-14919	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-14813	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-14684	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-13456	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-13035	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-7905	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-7901	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-7897	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-5818	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-1790	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-554	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-550	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-223	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN5E-12901	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-12570	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-11800	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-11035	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-8823	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-8701	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-6950	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-6322	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-5972	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-5769	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-5342	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-5128	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-3740	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXN5E-3100	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
