ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXNQT-4398	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12575; CPD-634)	(CPDQT-522; UDP; PROTON)	-	-
RXN-16401	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-17640; CO-A; ATP)	(CPD-17641; PPI; AMP)	-	-
RXN-12195	Chemical-Reactions; Small-Molecule-Reactions	-	-	(WATER; CTP)	(PROTON; Pi; CDP)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-1726	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2184; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2185; WATER; Oxidized-ferredoxins)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-17259; ENZRXN2Z-17258; ENZRXN2Z-17257; ENZRXN2Z-16813; ENZRXN2Z-16812; ENZRXN2Z-16811; ENZRXN2Z-16810; ENZRXN2Z-16809; ENZRXN2Z-16808; ENZRXN2Z-16807; ENZRXN2Z-16806; ENZRXN2Z-16805; ENZRXN2Z-16804; ENZRXN2Z-16803; ENZRXN2Z-16802; ENZRXN2Z-16801; ENZRXN2Z-16800; ENZRXN2Z-16799; ENZRXN2Z-16798; ENZRXN2Z-16797; ENZRXN2Z-16796; ENZRXN2Z-16795; ENZRXN2Z-16794; ENZRXN2Z-16793; ENZRXN2Z-15936; ENZRXN2Z-8846; ENZRXN2Z-5808; ENZRXN2Z-5806; ENZRXN2Z-5804; ENZRXN2Z-5802; ENZRXN2Z-5800; ENZRXN2Z-5798; ENZRXN2Z-5796; ENZRXN2Z-5794; ENZRXN2Z-5792; ENZRXN2Z-4970; ENZRXN2Z-4968	(ACYL-COA=(CPD-17623; CPD-17624; CPD-17633); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE); CO-A)	-	-
CYTIKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CYTIDINE; ATP)	(CMP; ADP; PROTON)	-	-
HOMOSERKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-17487	(HOMO-SER; ATP)	(PROTON; O-PHOSPHO-L-HOMOSERINE; ADP)	-	-
2.7.7.60-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-3453; ENZRXN2Z-3332	(PROTON; 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE; CTP)	(4-CYTIDINE-5-DIPHOSPHO-2-C; PPI)	4-diphosphocytidyl-2-methylerithritol synthase (sugar nucleotide phosphorylase family)	-
DIHYDROXYMETVALDEHYDRAT-RXN	Chemical-Reactions; Small-Molecule-Reactions	2,3-Dihydroxy-3-methylvalerate dehydratase	-	(1-KETO-2-METHYLVALERATE)	(2-KETO-3-METHYL-VALERATE; WATER)	-	-
RXN-1725	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-2888	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2184; WATER; Oxidized-ferredoxins)	-	-
RXN-12155	Chemical-Reactions; Small-Molecule-Reactions	behenate &omega;-hydroxylase	-	(CPD-10279; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-14826; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
PHOSPHOGLUCMUT-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-10696; ENZRXN2Z-7462; ENZRXN2Z-7460; ENZRXN2Z-7458; ENZRXN2Z-4025; ENZRXN2Z-2556; ENZRXN2Z-2555; ENZRXN2Z-2554; ENZRXN2Z-1067; ENZRXN2Z-1064	(GLC-1-P)	(D-glucopyranose-6-phosphate=(GLC-6-P; ALPHA-GLC-6-P))	-	RXN-16997; RXN-16998
RXN-8303	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8077; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8079; WATER; Oxidized-ferredoxins)	-	-
RXN-7763	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-7025; Nucleoside-Triphosphates))	(PHYTYL-PYROPHOSPHATE; Nucleoside-Diphosphates))	-	-
RXN-6522	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD1F-97; 2-KETOGLUTARATE; OXYGEN-MOLECULE)	(CPD-6202; SUC; CARBON-DIOXIDE)	-	-
RXN-8316	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8086; WATER; Oxidized-ferredoxins)	-	-
1.14.13.36-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-5248	(4-COUMAROYLQUINATE; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CAFFEOYLQUINATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-12295	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-5159	(CPD-13218; NADPH; PROTON)	(CPD-13220; NADP)	-	-
RXN-8082	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-9352	(CPD-6948; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-7608; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXN-6421	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-10911; ENZRXN2Z-10907; ENZRXN2Z-3823	(SPERMINE; OXYGEN-MOLECULE; WATER)	(CPD-6121; CPD-313; HYDROGEN-PEROXIDE)	-	-
GLYCEROL-KIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-14920; ENZRXN2Z-14919; ENZRXN2Z-6450; ENZRXN2Z-6449; ENZRXN2Z-6447; ENZRXN2Z-6446; ENZRXN2Z-6277	(GLYCEROL; ATP)	(PROTON; GLYCEROL-3P; ADP)	-	-
RXN1F-162	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-16198; ENZRXN2Z-15184; ENZRXN2Z-12312; ENZRXN2Z-10697; ENZRXN2Z-6360; ENZRXN2Z-6353; ENZRXN2Z-5464; ENZRXN2Z-5163; ENZRXN2Z-4614; ENZRXN2Z-4019; ENZRXN2Z-2483	(CPD1F-95; OXYGEN-MOLECULE; 2-KETOGLUTARATE)	(CPD1F-97; CARBON-DIOXIDE; SUC)	-	-
RXN-13514	Chemical-Reactions; Small-Molecule-Reactions	steviolbioside 19-O-UDP glucosyltransferase	ENZRXN2Z-4894	(CPD-12575; CPD-14503)	(CPD-14504; UDP)	-	-
RXN-9627	Chemical-Reactions; Small-Molecule-Reactions	-	-	(LAUROYLCOA-CPD; WATER)	(PROTON; DODECANOATE; CO-A)	-	-
RXN-9246	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-13198; ENZRXN2Z-13197; ENZRXN2Z-13196; ENZRXN2Z-6122; ENZRXN2Z-6121	(ISOEUGENOL; ACET; NADP)	(CPD-9875; NADPH)	-	-
RXN-7630	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-6976; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-6978; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXN-3	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; CPD-501; UTP)	(UDP-D-GALACTURONATE; PPI)	-	-
RIBULP3EPIM-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-11003; ENZRXN2Z-11002; ENZRXN2Z-3769; ENZRXN2Z-2408; ENZRXN2Z-940	(RIBULOSE-5P)	(XYLULOSE-5-PHOSPHATE)	-	-
RXN-6724	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-8701; ENZRXN2Z-8700; ENZRXN2Z-7889; ENZRXN2Z-7888; ENZRXN2Z-1252	(BENZOYLCOA; BENZYL-ALCOHOL)	(CPD-6443; CO-A)	-	-
RXN-6523	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD1F-120; 2-KETOGLUTARATE; OXYGEN-MOLECULE)	(CPD-6201; SUC; CARBON-DIOXIDE)	-	-
DCTP-PYROPHOSPHATASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN2Z-13680; ENZRXN2Z-13679; ENZRXN2Z-11007; ENZRXN2Z-5685; ENZRXN2Z-4901; ENZRXN2Z-3755; ENZRXN2Z-3040	(DCTP; WATER)	(PROTON; DCMP; PPI)	-	-
