ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN6P-5970	Enzymatic-Reactions	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	-	-	RXN-1623	-
ENZRXN6P-5969	Enzymatic-Reactions	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	-	-	RXN-1623	-
ENZRXN6P-5968	Enzymatic-Reactions	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	-	-	RXN-1623	-
ENZRXN6P-5393	Enzymatic-Reactions	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	-	-	RXN-1623	-
ENZRXN6P-5392	Enzymatic-Reactions	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	-	-	RXN-1623	-
ENZRXN6P-4695	Enzymatic-Reactions	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	-	-	RXN-1623	-
ENZRXN6P-4694	Enzymatic-Reactions	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	-	-	RXN-1623	-
ENZRXN6P-1720	Enzymatic-Reactions	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-<i>O</i>-acyltransferase	-	-	RXN-1623	-
ENZRXN6P-4397	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN6P-3703	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN6P-5361	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN6P-4231	Enzymatic-Reactions	transketolase	-	-	1TRANSKETO-RXN	-
ENZRXN6P-4229	Enzymatic-Reactions	transketolase	-	-	1TRANSKETO-RXN	-
ENZRXN6P-2289	Enzymatic-Reactions	hydroxymethylglutaryl-CoA reductase	-	-	1.1.1.34-RXN	-
ENZRXN6P-3237	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6P-1211	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6P-744	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6P-1337	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN6P-877	Enzymatic-Reactions	3-hydroxy-cerotoyl-CoA dehydratase	-	-	RXN-13305	-
ENZRXN6P-872	Enzymatic-Reactions	3-hydroxy-cerotoyl-CoA dehydratase	-	-	RXN-13305	-
ENZRXN6P-5467	Enzymatic-Reactions	carbamoyl phosphate synthetase	-	-	CARBPSYN-RXN	-
ENZRXN6P-344	Enzymatic-Reactions	carbamoyl phosphate synthetase	-	-	CARBPSYN-RXN	-
ENZRXN6P-6456	Enzymatic-Reactions	GA<sub>12</sub>-aldehyde monooxygenase	-	-	RXN1F-161	-
ENZRXN6P-6452	Enzymatic-Reactions	GA<sub>12</sub>-aldehyde monooxygenase	-	-	RXN1F-161	-
ENZRXN6P-3800	Enzymatic-Reactions	GA<sub>12</sub>-aldehyde monooxygenase	-	-	RXN1F-161	-
ENZRXN6P-1244	Enzymatic-Reactions	GA<sub>12</sub>-aldehyde monooxygenase	-	-	RXN1F-161	-
ENZRXN6P-6528	Enzymatic-Reactions	ubiquinol-cytochrome C oxidoreductase	-	-	1.10.2.2-RXN	-
ENZRXN6P-3331	Enzymatic-Reactions	ubiquinol-cytochrome C oxidoreductase	-	-	1.10.2.2-RXN	-
ENZRXN6P-2941	Enzymatic-Reactions	ubiquinol-cytochrome C oxidoreductase	-	-	1.10.2.2-RXN	-
ENZRXN6P-5225	Enzymatic-Reactions	laurate &omega;-hydroxylase	-	-	RXN-11336	-
ENZRXN6P-5224	Enzymatic-Reactions	laurate &omega;-hydroxylase	-	-	RXN-11336	-
ENZRXN6P-2718	Enzymatic-Reactions	laurate &omega;-hydroxylase	-	-	RXN-11336	-
ENZRXN6P-1755	Enzymatic-Reactions	laurate &omega;-hydroxylase	-	-	RXN-11336	-
ENZRXN6P-622	Enzymatic-Reactions	laurate &omega;-hydroxylase	-	-	RXN-11336	-
ENZRXN6P-621	Enzymatic-Reactions	laurate &omega;-hydroxylase	-	-	RXN-11336	-
ENZRXN6P-161	Enzymatic-Reactions	laurate &omega;-hydroxylase	-	-	RXN-11336	-
ENZRXN6P-6034	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
ENZRXN6P-2621	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
ENZRXN6P-200	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
ENZRXN6P-6084	Enzymatic-Reactions	2,3,4-saturated fatty acyl-[acp] dehydrogenase	-	-	ENOYL-ACP-REDUCT-NADPH-RXN	-
ENZRXN6P-5518	Enzymatic-Reactions	2,3,4-saturated fatty acyl-[acp] dehydrogenase	-	-	ENOYL-ACP-REDUCT-NADPH-RXN	-
