ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
MALATE-DEH-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN5G-2174; ENZRXN5G-1975; ENZRXN5G-1330; ENZRXN5G-526; ENZRXN5G-479	(MAL; NAD)	(OXALACETIC_ACID; NADH; PROTON)	malate dehydrogenation	-
RXN-13309	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD1G-277; NADP)	(CPD-14283; NADPH; PROTON)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN5G-1190	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
UDP-GLUCURONATE-4-EPIMERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN5G-2176; ENZRXN5G-1210	(UDP-GLUCURONATE)	(UDP-D-GALACTURONATE)	-	-
RXN-14973	Protein-Modification-Reactions	-	-	(3-Oxo-octanoyl-ACPs; NADPH; PROTON)	(Octanoyl-ACPs; NADP; WATER)	-	-
BIOTIN-CARBOXYL-RXN	Protein-Modification-Reactions	-	ENZRXN5G-2310; ENZRXN5G-1797; ENZRXN5G-285	(biotin-L-lysine-in-BCCP-dimers; HCO3; ATP)	(Pi; carboxybiotin-L-lysine-in-BCCP-dimers; ADP; PROTON)	-	-
PSII-RXN	Electron-Transfer-Reactions; Small-Molecule-Reactions	-	ENZRXN5G-1813; ENZRXN5G-1729; ENZRXN5G-1546; ENZRXN5G-1533; ENZRXN5G-1459; ENZRXN5G-1298; ENZRXN5G-1292; ENZRXN5G-1278; ENZRXN5G-1152; ENZRXN5G-696; ENZRXN5G-654; ENZRXN5G-645	(Plastoquinols=(CPD-12829); PROTON; OXYGEN-MOLECULE)	(Light; PLASTOQUINONE; PROTON; WATER)	-	RXN-15490; RXN-15447; RXN0-5265
3-OXOACYL-ACP-SYNTH-RXN	Protein-Modification-Reactions	-	-	(Saturated-Fatty-Acyl-ACPs; MALONYL-ACP; PROTON)	(B-KETOACYL-ACP; CARBON-DIOXIDE; ACP)	-	-
TRIACYLGLYCEROL-LIPASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN5G-2693; ENZRXN5G-2455; ENZRXN5G-2370; ENZRXN5G-2075; ENZRXN5G-2005; ENZRXN5G-1837; ENZRXN5G-1738; ENZRXN5G-1183; ENZRXN5G-888; ENZRXN5G-833; ENZRXN5G-624; ENZRXN5G-243	(Triacylglycerols=(TAG-18-3-36-4s; TAG-18-3-36-6s; TAG-18-3-34-2s; TAG-18-3-40-2s; TAG-18-3-40-4s; TAG-18-3-34-3s; TAG-18-3-32-2s; TAG-18-3-40-3s; TAG-18-3-40-0s; TAG-18-3-38-5s; TAG-18-3-40-1s; TAG-18-3-38-0s; TAG-18-3-36-0s; TAG-18-3-32-1s; TAG-18-3-36-3s; TAG-18-3-38-2s; TAG-18-3-38-4s; TAG-18-3-34-0s; TAG-18-3-36-1s; TAG-18-3-32-0s; TAG-18-3-38-1s; TAG-18-3-36-5s; TAG-18-3-38-3s; TAG-18-3-34-1); WATER)	(DIACYLGLYCEROL=(1-acyl-2-oleoyl-glyceride; 1-Oleoyl-2-Acyl-Glycerols; 1-Arachidonoyl-2-Acyl-Glycerols; 1-Stearoyl-2-Acyl-Glycerols; 1-Linoleoyl-2-Acyl-Glycerols; 1-Acyl-2-Arachidonoyl-Glycerols; 1-Palmitoyl-2-Acyl-Glycerols); Fatty-Acids=(Cutin-Monomers); PROTON)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN5G-2073; ENZRXN5G-1055	(ACYL-COA=(S-2-METHYLACYL-COA; Cis-Delta-11-acyl-CoAs; R-2-METHYLACYL-COA; Trans-Delta-11-acyl-CoAs); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE=(Phosphatidylcholines-40-2; Phosphatidylcholines-38-2; Phosphatidylcholines-38-5; Phosphatidylcholines-36-6; Phosphatidylcholines-34-3; 1-Linoleoyl-PC; 1-arachidonoyl-PC; Phosphatidylcholines-34-2; phosphatidylcholine-30:0; Phosphatidylcholines-36-5; Phosphatidylcholines-34-1; Phosphatidylcholines-40-5; Phosphatidylcholines-36-4; Phosphatidylcholines-36-1; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; 1-Stearoyl-PC; Phosphatidylcholines-38-6; Phosphatidylcholines-32-0; Phosphatidylcholines-40-4; Phosphatidylcholines-36-3; Phosphatidylcholines-38-4; Phosphatidylcholines-36-2; Phosphatidylcholines-40-3; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC; CPD-17523; Phosphatidylcholines-38-3; 1-Oleoyl-PC; 2-arachidonoyl-PC; Phosphatidylcholines-34-4); CO-A)	-	-
