ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN8N-9970	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN8N-5966	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN8N-5953	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN8N-5940	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN8N-655	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN8N-12254	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN8N-8071	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN8N-12638	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-12634	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-12201	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-8571	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-8567	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-8563	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-8559	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-8275	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-6712	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-6708	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-5264	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-4888	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-4884	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-4880	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-3999	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-3995	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-3991	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-3987	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-1963	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-916	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN8N-10165	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8N-10164	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8N-6948	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8N-6947	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8N-3107	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8N-1806	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8N-1631	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8N-1630	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8N-12542	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8N-12268	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8N-12197	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8N-6868	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8N-2974	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN8N-8543	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8N-8384	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8N-4517	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8N-4149	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8N-3445	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8N-12045	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-12042	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-10791	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-10790	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-10789	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-10788	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-7435	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-7432	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-7429	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-7426	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-5289	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-4240	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-2856	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-2854	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-2851	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-1792	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-1791	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-1229	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-1228	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8N-12658	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-12657	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-12656	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-12655	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-12654	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-12653	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-12652	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-12651	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-12650	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-12649	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-12648	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-6131	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-4167	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-45	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN8N-3257	Enzymatic-Reactions	orotate phosphoribosyltransferase	-	-	OROPRIBTRANS-RXN	-
ENZRXN8N-12006	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN8N-5888	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN8N-4758	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN8N-3126	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN8N-2989	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN8N-2241	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN8N-1874	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN8N-1027	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN8N-8697	Enzymatic-Reactions	propanoyl-CoA:ethanol <i>O</i>-propanoyltransferase	-	-	RXN-18670	-
ENZRXN8N-5761	Enzymatic-Reactions	propanoyl-CoA:ethanol <i>O</i>-propanoyltransferase	-	-	RXN-18670	-
ENZRXN8N-2596	Enzymatic-Reactions	propanoyl-CoA:ethanol <i>O</i>-propanoyltransferase	-	-	RXN-18670	-
ENZRXN8N-10747	Enzymatic-Reactions	dihydropyrimidinase	-	-	DIHYDROPYRIMIDINASE-RXN	-
ENZRXN8N-10746	Enzymatic-Reactions	dihydropyrimidinase	-	-	DIHYDROPYRIMIDINASE-RXN	-
