ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
CPD-2187	-	Glycerolipids	Monogalactosyldiacylglycerols-34-1	Monohexosyldiacylglycerol	1-18:1-2-16:0-monogalactosyldiacylglycerol	18:1-16:0-MGDG	(C 43);(H 80);(O 10)	(CHEBI 90507 NIL |kothari| 3716218713 NIL NIL); (PUBCHEM 44593354 NIL |kothari| 3641818093 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCCCCCCCCCCCC)=O)=O	18:1-16:0-MGDG; 1-(9Z-octadecenoyl)-2-hexadecanoyl-3-O-beta-D-galactosyl-sn-glycerol	['-']
OXYGEN-MOLECULE	-	-	Inorganic-Compounds	-	oxygen	O<SUB>2</SUB>	(O 2)	(BIGG 33493 NIL |kothari| 3584718837 NIL NIL); (BIGG o2 NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC15379 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01377 NIL |kothari| 3604149734 NIL NIL); (CHEMSPIDER 952 NIL |kothari| 3563632861 NIL NIL); (PUBCHEM 977 NIL |taltman| 3466375284 NIL NIL); (CHEBI 15379 NIL |taltman| 3452438148 NIL NIL); (LIGAND-CPD C00007 NIL |kr| 3346617701 NIL NIL); (CAS 7782-44-7)	O=O	oxygen molecule	O2
Reduced-ferredoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
PROTON	-	-	Monovalent-Inorganic-Cations; Subatomic-Particles	-	H+	-	(H 1)	(BIGG 33778 NIL |kothari| 3584718837 NIL NIL); (BIGG h NIL |kothari| 3661824225 NIL NIL); (HMDB HMDB59597 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 1010 NIL |kothari| 3563632849 NIL NIL); (PUBCHEM 1038 NIL |taltman| 3466375285 NIL NIL); (CHEBI 15378 NIL |taltman| 3452438078 NIL NIL); (CAS 12408-02-5 NIL |kr| 3346617700 NIL NIL); (LIGAND-CPD C00080 NIL |kr| 3346617700 NIL NIL)	[H+]	hydrogen ion; proton; H	['-']
CPD-2188	-	Glycerolipids	Monogalactosyldiacylglycerols-34-2	Monohexosyldiacylglycerol	1-18:1-2-16:1-monogalactosyldiacylglycerol	18:1-16:1-MGDG	(C 43);(H 78);(O 10)	(PUBCHEM 90658678 NIL |kothari| 3641818093 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/CCCCCCCC)=O)=O	18:1-16:1-MGDG; 1-(9Z-octadecenoyl)-2-(7Z-hexadecenoyl)-3-O-beta-D-galactosyl-sn-glycerol,	['-']
WATER	-	-	Compounds	-	H2O	-	(H 2);(O 1)	(BIGG 33474 NIL |kothari| 3584718837 NIL NIL); (BIGG h2o NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC15377 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB02111 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 937 NIL |kothari| 3563632863 NIL NIL); (CHEBI 15377 NIL |taltman| 3452438148 NIL NIL); (PUBCHEM 962 NIL |taltman| 3448034169 NIL NIL); (LIGAND-CPD C00001 NIL |kr| 3346617699 NIL NIL); (CAS 7732-18-5)	O	H2O; hydrogen oxide; water	['-']
Oxidized-ferredoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
PALMITATE	-	Fatty acyls	Even-Straight-Chain-234-Sat-FA; Long-Chain-234-Saturated-Fatty-Acids; Saturated-Fatty-Acids	Non-esterified fatty acid	palmitate	hexadecanoate (n-C16:0)	(C 16);(H 31);(O 2)	(REFMET Palmitic acid NIL |midford| 3701443689 NIL NIL); (BIGG hdca NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC7896 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00220 NIL |kothari| 3594494375 NIL NIL); (CHEMSPIDER 440215 NIL |kothari| 3563631569 NIL NIL); (CHEBI 7896 NIL |ong| 3523630742 NIL NIL); (PUBCHEM 504166 NIL |taltman| 3466375285 NIL NIL); (|Wikipedia| Palmitic_acid NIL |caspi| 3426256326 NIL NIL); (LIGAND-CPD C00249 NIL |keseler| 3342470915 NIL NIL); (CAS 57-10-3)	CCCCCCCCCCCCCCCC([O-])=O	hexadecanoate (n-C16:0); palmitic acid; hexadecanoate; hexadecanoic acid	['-']
CO-A	-	Fatty acyls	Cofactors	Acyl-Coenzyme A	coenzyme A	-	(C 21);(H 32);(N 7);(O 16);(P 3);(S 1)	(BIGG 33502 NIL |kothari| 3584718837 NIL NIL); (REFMET Coenzyme A NIL |midford| 3701443689 NIL NIL); (BIGG coa NIL |kothari| 3661824226 NIL NIL); (|Wikipedia| Coenzyme_a NIL |caspi| 3612121242 NIL NIL); (METABOLIGHTS MTBLC57287 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01423 NIL |kothari| 3608601855 NIL NIL); (CHEBI 57287 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 25113190 NIL |taltman| 3466375284 NIL NIL); (KNAPSACK C00007258 NIL |achi1| 3445698160 NIL NIL); (CAS 85-61-0); (LIGAND-CPD C00010 NIL |sreddy| 3298320400 NIL NIL)	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCS)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]	CoA; co-A-SH; co-enzyme-A; co-A; HS-CoA	['-']
ATP	-	-	Purine-ribonucleosides-5-PPP	-	ATP	-	(C 10);(H 12);(N 5);(O 13);(P 3)	(REFMET ATP NIL |midford| 3701443689 NIL NIL); (BIGG atp NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC30616 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00538 NIL |kothari| 3608601728 NIL NIL); (CHEMSPIDER 4574455 NIL |kothari| 3563632023 NIL NIL); (CHEBI 30616 NIL |ong| 3523630741 NIL NIL); (PUBCHEM 5461108 NIL |ong| 3523387880 NIL NIL); (LIGAND-CPD C00002 NIL |kr| 3346617701 NIL NIL); (CAS 56-65-5)	C([C@@H]3([C@H]([C@H]([C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3)O)O))OP([O-])(=O)OP([O-])(=O)OP([O-])(=O)[O-]	adenylpyrophosphate; adenosine-triphosphate; adenosine-5'-triphosphate	['-']
