ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN6S-8872	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN6S-8809	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN6S-11367	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-10322	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-10148	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-9731	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-9208	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-7889	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-7445	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-6969	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-4816	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-4717	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-4074	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-1399	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-1317	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-1287	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-1064	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-224	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6S-9068	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN6S-4369	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
