ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN5M-2816	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN5M-2797	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN5M-8356	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN5M-7907	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5M-7867	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5M-4416	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5M-4206	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5M-3681	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5M-776	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5M-500	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5M-321	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5M-300	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5M-8649	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5M-6218	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5M-6211	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5M-6209	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5M-2141	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5M-7284	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5M-5194	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5M-5186	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5M-3374	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5M-6159	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
