ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN5N-6886	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN5N-5688	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN5N-3324	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN5N-8070	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5N-8005	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5N-7878	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5N-7649	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5N-7589	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5N-4716	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5N-4229	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5N-3989	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5N-720	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5N-639	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN5N-9164	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5N-6325	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5N-2255	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5N-2254	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5N-2252	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5N-178	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5N-3268	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5N-3253	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5N-2303	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
ENZRXN5N-6891	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN5N-6545	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN5N-6541	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN5N-6269	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN5N-4708	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN5N-6723	Enzymatic-Reactions	<i>syn</i>-copalyl diphosphate synthase	-	-	RXN-8528	-
ENZRXN5N-3271	Enzymatic-Reactions	<i>syn</i>-copalyl diphosphate synthase	-	-	RXN-8528	-
ENZRXN5N-1600	Enzymatic-Reactions	4-methylumbelliferyl glucoside 6'-O malonyltransferase	-	-	RXN-12699	-
ENZRXN5N-1597	Enzymatic-Reactions	4-methylumbelliferyl glucoside 6'-O malonyltransferase	-	-	RXN-12699	-
ENZRXN5N-33	Enzymatic-Reactions	propanoyl-CoA:ethanol <i>O</i>-propanoyltransferase	-	-	RXN-18670	-
ENZRXN5N-1952	Enzymatic-Reactions	dihydropyrimidinase	-	-	DIHYDROPYRIMIDINASE-RXN	-
ENZRXN5N-6890	Enzymatic-Reactions	<i>trans</i>-zeatin-<i>O</i>-glucoside UDP glycosyltransferase	-	-	RXN-4736	-
ENZRXN5N-5692	Enzymatic-Reactions	<i>trans</i>-zeatin-<i>O</i>-glucoside UDP glycosyltransferase	-	-	RXN-4736	-
ENZRXN5N-1598	Enzymatic-Reactions	2-naphthol glucoside glucoside 6'-O malonyltransferase	-	-	RXN-12695	-
ENZRXN5N-1595	Enzymatic-Reactions	2-naphthol glucoside glucoside 6'-O malonyltransferase	-	-	RXN-12695	-
ENZRXN5N-7849	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXN5N-7184	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXN5N-2421	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXN5N-2096	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXN5N-1170	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXN5N-1169	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXN5N-1168	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXN5N-3267	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-en-19-al monooxygenase	-	-	RXN-15440	-
ENZRXN5N-3252	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-en-19-al monooxygenase	-	-	RXN-15440	-
ENZRXN5N-681	Enzymatic-Reactions	phloretin UDP-glycosyltransferase	-	-	RXN-11465	-
ENZRXN5N-5798	Enzymatic-Reactions	daphnetin 3-<i>O</i>-glucosyltransferase	-	-	RXN-13452	-
ENZRXN5N-3262	Enzymatic-Reactions	momilactone-A synthase	-	-	RXN-9290	-
