ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN5P-2479	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN5P-7829	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN5P-12422	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5P-9378	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5P-9377	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5P-9376	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5P-3402	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5P-3400	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5P-7940	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5P-7926	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5P-10859	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN5P-9637	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN5P-8050	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN5P-8048	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN5P-7632	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN5P-5846	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN5P-5622	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN5P-5620	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN5P-5618	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN5P-3903	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
