ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXNN7F-50587	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7F-50013	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7F-49810	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7F-49795	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7F-46674	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7F-45351	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7F-44988	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7F-43139	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7F-42275	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7F-42182	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNN7F-50660	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXNN7F-45545	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXNN7F-45830	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXNN7F-48049	Enzymatic-Reactions	curcumin-4'-<i>O</i>-&beta;-<i>D</i>-gentiotrioside 1,6-glucosyltransferase	-	-	RXN-13814	-
ENZRXNN7F-46350	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXNN7F-45456	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXNN7F-43695	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXNN7F-42147	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN-13474	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXNN7F-49945	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7F-49022	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7F-48126	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7F-47198	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7F-46153	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7F-44640	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNN7F-46647	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	REG-14738	RXN-15439	-
ENZRXNN7F-45657	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	REG-14738	RXN-15439	-
ENZRXN-22711	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	REG-14738	RXN-15439	-
ENZRXNN7F-42153	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
ENZRXN-20934	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
ENZRXNN7F-49258	Enzymatic-Reactions	<i>syn</i>-copalyl diphosphate synthase	-	-	RXN-8528	-
ENZRXNN7F-46680	Enzymatic-Reactions	<i>syn</i>-copalyl diphosphate synthase	-	-	RXN-8528	-
ENZRXNN7F-41885	Enzymatic-Reactions	<i>syn</i>-copalyl diphosphate synthase	-	-	RXN-8528	-
ENZRXN-13499	Enzymatic-Reactions	<i>syn</i>-copalyl diphosphate synthase	-	-	RXN-8528	-
ENZRXN-26428	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXNN7F-48349	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXNN7F-47590	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXNN7F-45435	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXNN7F-44768	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXNN7F-42198	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXNN7F-49262	Enzymatic-Reactions	orotate phosphoribosyltransferase	-	-	OROPRIBTRANS-RXN	-
ENZRXNN7F-47317	Enzymatic-Reactions	orotate phosphoribosyltransferase	-	-	OROPRIBTRANS-RXN	-
ENZRXNN7F-48496	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXNN7F-45788	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXNN7F-44269	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXNN7F-44148	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXNN7F-43390	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXNN7F-45936	Enzymatic-Reactions	4-methylumbelliferyl glucoside 6'-O malonyltransferase	-	-	RXN-12699	-
ENZRXNN7F-43420	Enzymatic-Reactions	4-methylumbelliferyl glucoside 6'-O malonyltransferase	-	-	RXN-12699	-
ENZRXNN7F-43165	Enzymatic-Reactions	4-methylumbelliferyl glucoside 6'-O malonyltransferase	-	-	RXN-12699	-
ENZRXNN7F-49636	Enzymatic-Reactions	propanoyl-CoA:ethanol <i>O</i>-propanoyltransferase	-	-	RXN-18670	-
ENZRXNN7F-42057	Enzymatic-Reactions	propanoyl-CoA:ethanol <i>O</i>-propanoyltransferase	-	-	RXN-18670	-
ENZRXNN7F-44879	Enzymatic-Reactions	&beta;-amyrin synthase	-	-	RXN-7570	-
ENZRXNN7F-42317	Enzymatic-Reactions	&beta;-amyrin synthase	-	-	RXN-7570	-
ENZRXNN7F-50126	Enzymatic-Reactions	dihydropyrimidinase	-	-	DIHYDROPYRIMIDINASE-RXN	-
ENZRXNN7F-46704	Enzymatic-Reactions	dihydropyrimidinase	-	-	DIHYDROPYRIMIDINASE-RXN	-
ENZRXN-858	Enzymatic-Reactions	gibberellin A29,2-oxoglutarate:oxygen oxidoreductase	-	-	RXN-114	-
ENZRXNN7F-50656	Enzymatic-Reactions	<i>trans</i>-zeatin-<i>O</i>-glucoside UDP glycosyltransferase	-	-	RXN-4736	-
ENZRXNN7F-45541	Enzymatic-Reactions	<i>trans</i>-zeatin-<i>O</i>-glucoside UDP glycosyltransferase	-	-	RXN-4736	-
ENZRXNN7F-48967	Enzymatic-Reactions	&beta;-ureidopropionase	-	-	BETA-UREIDOPROPIONASE-RXN	-
ENZRXNN7F-45938	Enzymatic-Reactions	2-naphthol glucoside glucoside 6'-O malonyltransferase	-	-	RXN-12695	-
ENZRXNN7F-43422	Enzymatic-Reactions	2-naphthol glucoside glucoside 6'-O malonyltransferase	-	-	RXN-12695	-
ENZRXNN7F-43167	Enzymatic-Reactions	2-naphthol glucoside glucoside 6'-O malonyltransferase	-	-	RXN-12695	-
ENZRXNN7F-47244	Enzymatic-Reactions	arabinose kinase	-	-	L-ARABINOKINASE-RXN	-
ENZRXNN7F-42802	Enzymatic-Reactions	arabinose kinase	-	-	L-ARABINOKINASE-RXN	-
ENZRXNN7F-50208	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXNN7F-49952	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXNN7F-49435	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXNN7F-49002	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXNN7F-48138	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXNN7F-48013	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXNN7F-44260	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXNN7F-46646	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-en-19-al monooxygenase	-	REG-14739	RXN-15440	-
ENZRXNN7F-45656	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-en-19-al monooxygenase	-	REG-14739	RXN-15440	-
ENZRXN-22712	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-en-19-al monooxygenase	-	REG-14739	RXN-15440	-
ENZRXNN7F-51154	Enzymatic-Reactions	phloretin UDP-glycosyltransferase	-	-	RXN-11465	-
ENZRXNN7F-49959	Enzymatic-Reactions	phloretin UDP-glycosyltransferase	-	-	RXN-11465	-
ENZRXNN7F-43604	Enzymatic-Reactions	phloretin UDP-glycosyltransferase	-	-	RXN-11465	-
ENZRXNN7F-46514	Enzymatic-Reactions	&delta;-tocopherol cyclase	-	-	RXN-2561	-
ENZRXNN7F-46577	Enzymatic-Reactions	mevalonate kinase	-	-	MEVALONATE-KINASE-RXN	-
ENZRXNN7F-51435	Enzymatic-Reactions	arginine/citrulline exchanger	-	-	TRANS-RXN-227	-
ENZRXNN7F-42001	Enzymatic-Reactions	arginine/citrulline exchanger	-	-	TRANS-RXN-227	-
ENZRXNN7F-50306	Enzymatic-Reactions	fatty-acyl coenzyme A oxidase	-	-	RXN-10706	-
ENZRXNN7F-42891	Enzymatic-Reactions	glutamate synthase (ferredoxin)	-	-	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	-
ENZRXNN7F-44457	Enzymatic-Reactions	phosphomevalonate kinase	-	-	PHOSPHOMEVALONATE-KINASE-RXN	-
ENZRXN-887	Enzymatic-Reactions	gibberellin A44,2-oxoglutarate:oxygen oxidoreductase	-	-	RXN-886	-
ENZRXNN7F-46517	Enzymatic-Reactions	&delta;-tocotrienol cyclase	-	-	RXN-14921	-
ENZRXNN7F-50644	Enzymatic-Reactions	UDP-glucose 4-epimerase	-	-	UDPGLUCEPIM-RXN	-
ENZRXNN7F-47649	Enzymatic-Reactions	UDP-glucose 4-epimerase	-	-	UDPGLUCEPIM-RXN	-
ENZRXNN7F-43555	Enzymatic-Reactions	UDP-glucose 4-epimerase	-	-	UDPGLUCEPIM-RXN	-
ENZRXNN7F-43103	Enzymatic-Reactions	UDP-glucose 4-epimerase	-	-	UDPGLUCEPIM-RXN	-
ENZRXNN7F-42224	Enzymatic-Reactions	UDP-glucose 4-epimerase	-	-	UDPGLUCEPIM-RXN	-
ENZRXNN7F-49163	Enzymatic-Reactions	aspartate transaminase	-	-	ASPAMINOTRANS-RXN	-
ENZRXNN7F-48776	Enzymatic-Reactions	aspartate transaminase	-	-	ASPAMINOTRANS-RXN	-
ENZRXNN7F-47854	Enzymatic-Reactions	aspartate transaminase	-	-	ASPAMINOTRANS-RXN	-
ENZRXNN7F-47517	Enzymatic-Reactions	aspartate transaminase	-	-	ASPAMINOTRANS-RXN	-
ENZRXNN7F-46862	Enzymatic-Reactions	aspartate transaminase	-	-	ASPAMINOTRANS-RXN	-
ENZRXNN7F-45117	Enzymatic-Reactions	(-)-lariciresinol reductase	-	-	RXN-8684	-
ENZRXNN7F-50314	Enzymatic-Reactions	aspartate-semialdehyde dehydrogenase	-	-	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	-
ENZRXNN7F-43132	Enzymatic-Reactions	4-hydroxyphenylpyruvate dioxygenase	-	-	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	-
ENZRXNN7F-51355	Enzymatic-Reactions	sphinganine kinase	-	-	SPHINGANINE-KINASE-RXN	-
ENZRXNN7F-51198	Enzymatic-Reactions	sphinganine kinase	-	-	SPHINGANINE-KINASE-RXN	-
ENZRXNN7F-48285	Enzymatic-Reactions	sphinganine kinase	-	-	SPHINGANINE-KINASE-RXN	-
ENZRXNN7F-45499	Enzymatic-Reactions	sphinganine kinase	-	-	SPHINGANINE-KINASE-RXN	-
ENZRXNN7F-43088	Enzymatic-Reactions	sphinganine kinase	-	-	SPHINGANINE-KINASE-RXN	-
ENZRXNN7F-47163	Enzymatic-Reactions	ribulose-phosphate 3-epimerase	-	-	RIBULP3EPIM-RXN	-
ENZRXNN7F-44585	Enzymatic-Reactions	ribulose-phosphate 3-epimerase	-	-	RIBULP3EPIM-RXN	-
ENZRXNN7F-49060	Enzymatic-Reactions	threonine synthase	-	-	THRESYN-RXN	-
ENZRXNN7F-46262	Enzymatic-Reactions	threonine synthase	-	-	THRESYN-RXN	-
ENZRXNN7F-50525	Enzymatic-Reactions	pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase	-	-	RXN0-1134	-
ENZRXNN7F-50385	Enzymatic-Reactions	pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase	-	-	RXN0-1134	-
ENZRXNN7F-48693	Enzymatic-Reactions	pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase	-	-	RXN0-1134	-
ENZRXNN7F-47325	Enzymatic-Reactions	pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase	-	-	RXN0-1134	-
ENZRXNN7F-45819	Enzymatic-Reactions	pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase	-	-	RXN0-1134	-
ENZRXNN7F-42987	Enzymatic-Reactions	pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase	-	-	RXN0-1134	-
ENZRXNN7F-42751	Enzymatic-Reactions	pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase	-	-	RXN0-1134	-
ENZRXNN7F-50845	Enzymatic-Reactions	thymidylate synthase	-	-	THYMIDYLATESYN-RXN	-
ENZRXNN7F-46770	Enzymatic-Reactions	thymidylate synthase	-	-	THYMIDYLATESYN-RXN	-
