ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
S-ADENOSYLMETHIONINE	-	-	Amino-Acid-Derivatives	-	S-adenosyl-L-methionine	SAM	(C 15);(H 23);(N 6);(O 5);(S 1)	(CHEBI 33442 NIL |caspi| 3716224426 NIL NIL); (BIGG 33530 NIL |kothari| 3584718837 NIL NIL); (REFMET S-adenosyl-L-methioninate NIL |midford| 3701443689 NIL NIL); (BIGG amet NIL |kothari| 3661824226 NIL NIL); (PUBCHEM 24762165 NIL |kothari| 3641818093 NIL NIL); (METABOLIGHTS MTBLC59789 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01185 NIL |kothari| 3608597114 NIL NIL); (CHEBI 59789 NIL |caspi| 3501080055 NIL NIL); (LIGAND-CPD C00019 NIL |kr| 3346617700 NIL NIL); (CAS 29908-03-0)	C[S+](C[C@@H]3([C@@H](O)[C@@H](O)[C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3))CC[C@@H](C([O-])=O)[NH3+]	(S)-S-adenosyl-L-methionine; AdoMet; SAM; 2-S-adenosyl-L-methionine; S-adenosyl-methionine; adenosylmethionine; S-adenosylmethionine	['-']
Diacylglycerolhomoserines	-	-	Glycerides	-	diacylglycerolhomoserine	-	['-']	-	C(OCC[C@H]([NH3+])C([O-])=O)[C@H](OC(=O)[R2])COC(=O)[R1]	DGHS	['-']
Diacylglycerol-NNN-trimethylhomoserines	-	-	Diacyl-sn-Glycerols	-	diacylglyceryl-N,N,N-trimethyl-L-homoserine	-	['-']	(LIGAND-CPD C18169 NIL |kothari| 3535124255 NIL NIL)	C[N+](C)(C)[C@@H](CCOC[C@H](OC(=O)[R2])COC(=O)[R1])C([O-])=O	DGTS	['-']
ADENOSYL-HOMO-CYS	-	-	Modified-Amino-Acids	-	S-adenosyl-L-homocysteine	SAH	(C 14);(H 20);(N 6);(O 5);(S 1)	(BIGG 33543 NIL |kothari| 3584718837 NIL NIL); (REFMET S-Adenosylhomocysteine NIL |midford| 3697479617 NIL NIL); (BIGG ahcys NIL |kothari| 3661824226 NIL NIL); (PUBCHEM 25246222 NIL |kothari| 3641818093 NIL NIL); (METABOLIGHTS MTBLC57856 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00939 NIL |kothari| 3608597114 NIL NIL); (CHEBI 57856 NIL |taltman| 3498180761 NIL NIL); (LIGAND-CPD C00021 NIL |kr| 3346617699 NIL NIL); (CAS 979-92-0)	C(SC[C@@H]3([C@@H](O)[C@@H](O)[C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3))C[C@@H](C([O-])=O)[NH3+]	SAH; S-adenosylhomocysteine; 2-S-adenosyl-L-homocysteine; AdoHcy; 2-S-adenosyl-L-homocysteine; S-adenosyl-homocysteine; S-adenosylhomocysteine; adenosyl-homo-cys; adenosylhomocysteine; adenosylhomo-cys	['-']
PROTON	-	-	Monovalent-Inorganic-Cations; Subatomic-Particles	-	H+	-	(H 1)	(BIGG 33778 NIL |kothari| 3584718837 NIL NIL); (BIGG h NIL |kothari| 3661824225 NIL NIL); (HMDB HMDB59597 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 1010 NIL |kothari| 3563632849 NIL NIL); (PUBCHEM 1038 NIL |taltman| 3466375285 NIL NIL); (CHEBI 15378 NIL |taltman| 3452438078 NIL NIL); (CAS 12408-02-5 NIL |kr| 3346617700 NIL NIL); (LIGAND-CPD C00080 NIL |kr| 3346617700 NIL NIL)	[H+]	hydrogen ion; proton; H	['-']
ACYL-COA	SUPER	Fatty acyls	All-Coas	Acyl-Coenzyme A	acyl-CoA	-	['-']	(LIGAND-CPD C00040 NIL |kothari| 3458490026 NIL NIL); (CHEBI 17984 NIL |kothari| 3458490026 NIL NIL)	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]	fatty acyl thioester-CoA; acyl-CoA; RCH2CH2CO-CoA; acyl-Coenzyme A	['-']
Trans-Delta-11-acyl-CoAs	ACYL-COA	Fatty acyls	ACYL-COA	Acyl-Coenzyme A	(11E)-enoyl-CoA	-	['-']	-	C(/[R])=C\CCCCCCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O	trans &Delta11 acyl-CoA	['-']
S-2-METHYLACYL-COA	ACYL-COA	Fatty acyls	ACYL-COA	Acyl-Coenzyme A	(2S)-2-methylacyl-CoA	-	['-']	(CHEBI 15451 NIL |kothari| 3493153919 NIL NIL); (LIGAND-CPD C05232 NIL |kothari| 3493153919 NIL NIL)	C[C@@H]([R])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP(O)(=O)O)[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))O)O	['-']	['-']
Cis-Delta-11-acyl-CoAs	ACYL-COA	Fatty acyls	ACYL-COA	Acyl-Coenzyme A	(11Z)-enoyl-CoA	-	['-']	-	C(\[R])=C\CCCCCCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O	cis &Delta11 acyl-CoA	['-']
R-2-METHYLACYL-COA	ACYL-COA	Fatty acyls	ACYL-COA	Acyl-Coenzyme A	(2R)-2-methylacyl-CoA	-	['-']	(LIGAND-CPD C05329 NIL |paley| 3551465240 NIL NIL); (CHEBI 15450 NIL |kothari| 3493151888 NIL NIL)	C[C@H]([R])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP(O)(=O)O)[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))O)O	['-']	['-']
ACYL-SN-GLYCEROL-3P	-	Glycerophospholipids	2-Lyso-phospholipids; Lysophosphatidates	Lysophosphatidic acid	2-lysophosphatidate	-	['-']	(CHEBI 16975 NIL |kothari| 3498845768 NIL NIL); (LIGAND-CPD C00681 NIL |kothari| 3498845728 NIL NIL)	C([C@@H](O)COP([O-])(=O)[O-])OC(=O)[R]	2-lysophosphatidate; acyl-sn-glycerol-3P; acyl-sn-glycerol-3 phosphate	['-']
L-PHOSPHATIDATE	SUPER	Glycerophospholipids	Phosphoglycerides	Phosphatidic acid	phosphatidate	-	['-']	(BIGG pa140 NIL |kothari| 3661824226 NIL NIL); (BIGG pa141 NIL |kothari| 3661824226 NIL NIL); (BIGG pa161 NIL |kothari| 3661824226 NIL NIL); (BIGG pa160 NIL |kothari| 3661824226 NIL NIL); (BIGG pa180 NIL |kothari| 3661824226 NIL NIL); (BIGG pa181 NIL |kothari| 3661824225 NIL NIL); (BIGG pa120 NIL |kothari| 3661824225 NIL NIL); (CHEBI 29089 NIL |caspi| 3658079873 NIL NIL); (|Wikipedia| Phosphatidate NIL |caspi| 3523026352 NIL NIL); (LIGAND-CPD C00416 NIL |kr| 3346617700 NIL NIL)	C(OC([R1])=O)[C@@H](OC(=O)[R2])COP([O-])(=O)[O-]	A 3-SN-phosphatidate; DGP; diacylglycerol phosphate; 3-sn-phosphatidate; diacyl-glycerol-3P; diacylglycerol-3-phosphate; phosphatidic acid; L-phosphatidate; phosphatidate; 1,2-diacylglycerol 3-phosphate	['-']
2-Stearoyl-L-Phosphatidate	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE; Stearoyl-lipid	Phosphatidic acid	1-acyl-2-stearoyl-sn-glycerol 3-phosphate	-	['-']	-	CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COP(=O)([O-])[O-])COC(=O)[R]	['-']	['-']
Phosphatidates-36-6	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	phosphatidate-36:6	phosphatidic acid-36:6; PA-36:6; PA36:6	['-']	-	['-']	phosphatidic acid-36:6; PA-36:6; PA36:6	['-']
Phosphatidates-36-4	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	phosphatidate-36:4	phosphatidic acid-36:4; PA-36:4; PA36:4	['-']	-	['-']	phosphatidic acid-36:4; PA-36:4; PA36:4	['-']
1-Stearoyl-2-Acyl-Glycerol-P	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	1-stearoyl-2-acyl-sn-glycerol 3-phosphate	-	['-']	-	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](OC(=O)[R])COP([O-])(=O)[O-]	['-']	['-']
Phosphatidates-36-3	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	phosphatidate-36:3	phosphatidic acid-36:3; PA-36:3; PA36:3	['-']	-	['-']	phosphatidic acid-36:3; PA-36:3; PA36:3	['-']
1-Arachidonoyl-2-Acyl-Glycerol-P	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	1-arachidonoyl-2-acyl-sn-glycerol 3-phosphate	-	['-']	-	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@@H](OC(=O)[R])COP([O-])(=O)[O-]	['-']	['-']
1-Palmitoyl-2-Acyl-Glycerol-P	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	1-palmitoyl-2-acyl-sn-glycerol 3-phosphate	-	['-']	-	CCCCCCCCCCCCCCCC(=O)OC[C@@H](OC(=O)[R])COP([O-])(=O)[O-]	['-']	['-']
Phosphatidates-34-6	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	phosphatidate-34:6	phosphatidic acid-34:6; PA-34:6; PA34:6	['-']	-	['-']	phosphatidic acid-34:6; PA-34:6; PA34:6	['-']
Phosphatidates-34-4	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	phosphatidate-34:4	phosphatidic acid-34:4; PA-34:4; PA34:4	['-']	-	['-']	phosphatidic acid-34:4; PA-34:4; PA34:4	['-']
1-Oleoyl-2-Acyl-Glycerol-P	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	1-oleoyl-2-acyl-sn-glycerol 3-phosphate	-	['-']	-	CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](OC(=O)[R])COP([O-])(=O)[O-]	['-']	['-']
Phosphatidates-34-3	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	phosphatidate-34:3	phosphatidic acid-34:3; PA-34:3; PA34:3	['-']	-	['-']	phosphatidic acid-34:3; PA-34:3; PA34:3	['-']
Phosphatidates-34-2	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	phosphatidate-34:2	phosphatidic acid-34:2; PA-34:2; PA34:2	['-']	-	['-']	phosphatidic acid-34:2; PA-34:2; PA34:2	['-']
1-Linoleoyl-2-Acyl-Glycerol-P	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	1-linoleoyl-2-acyl-sn-glycerol 3-phosphate	-	['-']	-	CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](OC(=O)[R])COP([O-])(=O)[O-]	['-']	['-']
Phosphatidates-34-1	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	phosphatidate-34:1	phosphatidic acid-34:1; PA-34:1; PA34:1	['-']	-	['-']	phosphatidic acid-34:1; PA-34:1; PA34:1	['-']
1-Acyl-2-Arachidonoyl-Glycerol-P	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	1-acyl-2-arachidonoyl-sn-glycerol 3-phosphate	-	['-']	-	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H](COC([R])=O)COP([O-])(=O)[O-]	2-arachidonoyl-PA	['-']
Phosphatidates-36-5	L-PHOSPHATIDATE	Glycerophospholipids	L-PHOSPHATIDATE	Phosphatidic acid	phosphatidate-36:5	phosphatidic acid-36:5; PA-36:5; PA36:5	['-']	-	['-']	phosphatidic acid-36:5; PA-36:5; PA36:5	['-']
