ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
CPD-2187	-	Glycerolipids	Monogalactosyldiacylglycerols-34-1	Monohexosyldiacylglycerol	1-18:1-2-16:0-monogalactosyldiacylglycerol	18:1-16:0-MGDG	(C 43);(H 80);(O 10)	(ZINC ZINC000049889301 NIL |kothari| 3853422528 NIL NIL); (SEED cpd24372 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM9557 NIL |kothari| 3787514189 NIL NIL); (CHEBI 90507 NIL |kothari| 3716218713 NIL NIL); (PUBCHEM 44593354 NIL |kothari| 3641818093 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCCCCCCCCCCCC)=O)=O	18:1-16:0-MGDG; 1-(9Z-octadecenoyl)-2-hexadecanoyl-3-O-beta-D-galactosyl-sn-glycerol	['-']
OXYGEN-MOLECULE	-	-	Inorganic-Compounds	-	dioxygen	O<sub>2</sub>	(O 2)	(SEED cpd00007 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM4 NIL |kothari| 3787514192 NIL NIL); (BIGG o2 NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC15379 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01377 NIL |kothari| 3604149734 NIL NIL); (CHEMSPIDER 952 NIL |kothari| 3563632861 NIL NIL); (PUBCHEM 977 NIL |taltman| 3466375284 NIL NIL); (CHEBI 15379 NIL |taltman| 3452438148 NIL NIL); (LIGAND-CPD C00007 NIL |kr| 3346617701 NIL NIL); (CAS 7782-44-7)	O=O	oxygen molecule; molecular oxygen; oxygen	dioxygen
Reduced-ferredoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
PROTON	-	-	Monovalent-Inorganic-Cations; Subatomic-Particles	-	H+	-	(H 1)	(SEED cpd00067 NIL |kothari| 3788273827 NIL NIL); (METANETX MNXM1 NIL |kothari| 3787514192 NIL NIL); (BIGG h NIL |kothari| 3661824225 NIL NIL); (HMDB HMDB59597 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 1010 NIL |kothari| 3563632849 NIL NIL); (PUBCHEM 1038 NIL |taltman| 3466375285 NIL NIL); (CHEBI 15378 NIL |taltman| 3452438078 NIL NIL); (CAS 12408-02-5 NIL |kr| 3346617700 NIL NIL); (LIGAND-CPD C00080 NIL |kr| 3346617700 NIL NIL)	[H+]	hydrogen ion; proton; H	['-']
CPD-2188	-	Glycerolipids	Monogalactosyldiacylglycerols-34-2	Monohexosyldiacylglycerol	1-18:1-2-16:1-monogalactosyldiacylglycerol	18:1-16:1-MGDG	(C 43);(H 78);(O 10)	(ZINC ZINC000095661206 NIL |kothari| 3853422528 NIL NIL); (SEED cpd24373 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM7971 NIL |kothari| 3787514191 NIL NIL); (PUBCHEM 90658678 NIL |kothari| 3641818093 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/CCCCCCCC)=O)=O	18:1-16:1-MGDG; 1-(9Z-octadecenoyl)-2-(7Z-hexadecenoyl)-3-O-beta-D-galactosyl-sn-glycerol,	['-']
WATER	-	-	Compounds	-	H2O	-	(H 2);(O 1)	(BIGG h2o NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC15377 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB02111 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 937 NIL |kothari| 3563632863 NIL NIL); (CHEBI 15377 NIL |taltman| 3452438148 NIL NIL); (PUBCHEM 962 NIL |taltman| 3448034169 NIL NIL); (LIGAND-CPD C00001 NIL |kr| 3346617699 NIL NIL); (CAS 7732-18-5)	O	H2O; hydrogen oxide; water	['-']
Oxidized-ferredoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
CPD-12575	-	-	NDP-alpha-D-glucoses; NDP-glucoses; UDP-sugar	-	UDP-&alpha-D-glucose	-	(C 15);(H 22);(N 2);(O 17);(P 2)	(ZINC ZINC000008215472 NIL |kothari| 3853422021 NIL NIL); (CHEBI 58885 NIL |kothari| 3812304040 NIL NIL); (PUBCHEM 16667346 NIL |kothari| 3812300162 NIL NIL); (CAS 133-89-1); (KNAPSACK C00001514 NIL |achi1| 3445698173 NIL NIL); (HMDB HMDB00286 NIL |kothari| 3608640742 NIL NIL); (HMDB HMDB60079 NIL |kothari| 3787939156 NIL NIL); (METANETX MNXM722710 NIL |kothari| 3787514192 NIL NIL); (BIGG udpg NIL |kothari| 3661824226 NIL NIL); (LIGAND-CPD C00029 NIL |kr| 3618349505 NIL NIL); (CHEMSPIDER 10239191 NIL |kothari| 3563631831 NIL NIL)	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])	UDPG; UDP-glucose; UDP-D-glucose; UDP-&alpha-D-glucopyranose	Uridine 5'-(trihydrogen diphosphate) alpha-D-gucopyranosyl ester
CPD-4609	-	-	Adenine-Cytokinins	-	kinetin	-	(C 10);(H 9);(N 5);(O 1)	(ZINC ZINC000000001601 NIL |kothari| 3853422885 NIL NIL); (SEED cpd05188 NIL |kothari| 3788273826 NIL NIL); (METANETX MNXM12033 NIL |kothari| 3787514190 NIL NIL); (REFMET Kinetin NIL |midford| 3697479617 NIL NIL); (CHEBI 27407 NIL |kothari| 3641835422 NIL NIL); (HMDB HMDB12245 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 3698 NIL |kothari| 3563632795 NIL NIL); (PUBCHEM 3830 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C08272 NIL |kr| 3410284649 NIL NIL)	C1(\N=C(C2(N\C=N/C(\N=1)=2))\NCC3(\O\C=C/C=3))	['-']	['-']
CPD-4610	-	-	Adenine-Cytokinin-Glucosides	-	kinetin-7-N-glucoside	-	(C 16);(H 19);(N 5);(O 6)	(CHEBI 168567 NIL |kothari| 3853445537 NIL NIL); (ZINC ZINC000040165546 NIL |kothari| 3853422886 NIL NIL); (SEED cpd24520 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM18836 NIL |kothari| 3787514190 NIL NIL); (HMDB HMDB12243 NIL |kothari| 3608597114 NIL NIL); (PUBCHEM 25202817 NIL |taltman| 3466375284 NIL NIL)	C([C@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)N3(C4(C(/NCC2(\O\C=C/C=2))=N\C=N/C(\N=C/3)=4))))O	['-']	['-']
UDP	-	-	Pyrimidines	-	UDP	-	(C 9);(H 11);(N 2);(O 12);(P 2)	(ZINC ZINC000004490939 NIL |kothari| 3853426392 NIL NIL); (SEED cpd00014 NIL |kothari| 3788273832 NIL NIL); (METANETX MNXM17 NIL |kothari| 3787514191 NIL NIL); (REFMET UDP NIL |midford| 3701443689 NIL NIL); (BIGG udp NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC58223 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00295 NIL |kothari| 3608602966 NIL NIL); (CHEMSPIDER 16739715 NIL |kothari| 3563631820 NIL NIL); (PUBCHEM 20056717 NIL |taltman| 3451921010 NIL NIL); (CHEBI 58223 NIL |ong| 3523630741 NIL NIL); (KNAPSACK C00007313 NIL |achi1| 3445698173 NIL NIL); (LIGAND-CPD C00015 NIL |kr| 3346617699 NIL NIL); (CAS 58-98-0)	C(OP(=O)([O-])OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O)	uridine-diphosphate; uridine-5'-diphosphate	['-']
D-SEDOHEPTULOSE-1-7-P2	-	Sphingolipids	Sugar-bisphosphates	Long-chain base phosphate	D-sedoheptulose 1,7-bisphosphate	-	(C 7);(H 12);(O 13);(P 2)	(ZINC ZINC000003870279 NIL |kothari| 3853425329 NIL NIL); (SEED cpd00349 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM1294 NIL |kothari| 3787514192 NIL NIL); (REFMET Sedoheptulose 1,7-bisphosphate NIL |midford| 3701443689 NIL NIL); (CHEBI 58335 NIL |kothari| 3641835422 NIL NIL); (PUBCHEM 46878435 NIL |kothari| 3641818093 NIL NIL); (METABOLIGHTS MTBLC58335 NIL |kothari| 3609160997 NIL NIL); (HMDB HMDB60274 NIL |kothari| 3608602467 NIL NIL); (LIGAND-CPD C00447 NIL |kr| 3410284650 NIL NIL)	C(OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(COP([O-])(=O)[O-])=O	sedoheptulose 1,7-bisphosphate; SBP	['-']
D-SEDOHEPTULOSE-7-P	-	-	Sugar-Phosphate	-	D-sedoheptulose 7-phosphate	-	(C 7);(H 13);(O 10);(P 1)	(ZINC ZINC000005132038 NIL |kothari| 3853425330 NIL NIL); (REACTOME-CPD 29882 NIL |kothari| 3788282686 NIL NIL); (SEED cpd00238 NIL |kothari| 3788273833 NIL NIL); (METANETX MNXM271 NIL |kothari| 3786132371 NIL NIL); (REFMET Sedoheptulose 7-phosphate NIL |midford| 3701443689 NIL NIL); (BIGG s7p NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC57483 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01068 NIL |kothari| 3608640722 NIL NIL); (LIGAND-CPD C05382 NIL |kothari| 3536420098 NIL NIL); (CHEBI 57483 NIL |ong| 3523630742 NIL NIL); (PUBCHEM 46878379 NIL |ong| 3523387880 NIL NIL); (CAS 2646-35-7)	C(O)C([C@@H](O)[C@@H]([C@H](O)[C@@H](COP(=O)([O-])[O-])O)O)=O	D-Sedoheptulose-7-P; heptulose 7-phosphate; sedoheptulose-7-P; sedo-heptulose-7-phosphate	D-altro-2-heptulose, 7-(dihydrogen phosphate)
Pi	-	-	Phosphates	-	phosphate	-	(H 1);(O 4);(P 1)	(REFMET Phosphoric acid NIL |midford| 3701443689 NIL NIL); (BIGG pi NIL |kothari| 3661824226 NIL NIL); (PUBCHEM 3681305 NIL |kothari| 3619398602 NIL NIL); (CHEBI 43474 NIL |kothari| 3609163837 NIL NIL); (METABOLIGHTS MTBLC43474 NIL |kothari| 3609160995 NIL NIL); (HMDB HMDB00973 NIL |kothari| 3608597114 NIL NIL); (KNAPSACK C00007408 NIL |rleitao| 3434750086 NIL NIL); (CAS 14265-44-2)	[O-]P(=O)(O)[O-]	inorganic phosphate; phosphate-inorganic; Pi; orthophosphate; PO43-; HPO42-; HPO4-2; hydrogenphosphate	['-']
PALMITATE	-	Fatty acyls	Even-Straight-Chain-234-Sat-FA; Long-Chain-234-Saturated-Fatty-Acids; Saturated-Fatty-Acids	Non-esterified fatty acid	palmitate	hexadecanoate (n-C16:0)	(C 16);(H 31);(O 2)	(ZINC ZINC000006072466 NIL |kothari| 3853426000 NIL NIL); (SEED cpd00214 NIL |kothari| 3788273826 NIL NIL); (METANETX MNXM108 NIL |kothari| 3787514192 NIL NIL); (REFMET Palmitic acid NIL |midford| 3701443689 NIL NIL); (BIGG hdca NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC7896 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00220 NIL |kothari| 3594494375 NIL NIL); (CHEMSPIDER 440215 NIL |kothari| 3563631569 NIL NIL); (CHEBI 7896 NIL |ong| 3523630742 NIL NIL); (PUBCHEM 504166 NIL |taltman| 3466375285 NIL NIL); (|Wikipedia| Palmitic_acid NIL |caspi| 3426256326 NIL NIL); (LIGAND-CPD C00249 NIL |keseler| 3342470915 NIL NIL); (CAS 57-10-3)	CCCCCCCCCCCCCCCC([O-])=O	hexadecanoate (n-C16:0); palmitic acid; hexadecanoate; hexadecanoic acid	['-']
