ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN6X-9154	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN6X-5779	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN6X-9409	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-9405	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-9401	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-9397	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-9393	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-9389	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-9385	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-9381	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-9377	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-9373	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-9369	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-8342	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-8299	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-8116	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-8112	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-8108	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-8104	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-8100	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-6201	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-5346	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-5303	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-2558	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-2535	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-2531	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-2527	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-2181	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN6X-4574	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN6X-180	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
ENZRXN6X-5956	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
ENZRXN6X-8808	Enzymatic-Reactions	malate dehydrogenase, NAD-requiring	-	-	1.1.1.39-RXN	-
ENZRXN6X-6223	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN6X-4319	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN6X-3857	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN6X-3854	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN6X-2044	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN6X-2039	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN6X-8	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN6X-5	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN6X-1	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
