ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN3E-30442	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN3E-28891	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN3E-28558	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN3E-19942	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN3E-12245	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN3E-4306	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN3E-34370	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-34369	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-34368	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-34367	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-34366	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-34365	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-34364	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-34363	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-34362	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-34361	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-34360	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-22262	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-22261	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3E-33556	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-33552	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-33548	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-33544	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-33540	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-33536	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-33532	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-33528	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-32947	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-32943	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-27850	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-22003	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-21999	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-21995	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-21991	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-20898	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-20894	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-15686	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-15682	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-15678	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-15511	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-14999	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-14995	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-14991	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-14987	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-14983	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-14979	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-10820	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-10492	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-9891	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-9665	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-8941	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-8489	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-8237	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-8028	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-8024	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-8020	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-8016	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-8012	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-8008	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-7388	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-7238	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3767	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3763	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3759	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3755	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3751	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3747	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3743	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3739	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3735	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3731	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3727	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3723	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3719	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3715	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3711	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3707	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3703	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3699	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3695	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3E-3691	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
