ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXN-15462	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-30079; ENZRXN3E-19954; ENZRXN3E-18846; ENZRXN3E-17955; ENZRXN3E-17412; ENZRXN3E-16933; ENZRXN3E-12502; ENZRXN3E-10688; ENZRXN3E-10335; ENZRXN3E-6631; ENZRXN3E-1529	(CPD-4751; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-16719; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXN-11937	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12912; FERROCYTOCHROME-B5; OXYGEN-MOLECULE; PROTON)	(CPD-12914; FERRICYTOCHROME-B5; WATER)	-	-
RXNQT-4398	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-634; CPD-12575)	(CPDQT-522; UDP; PROTON)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-34944; ENZRXN3E-24367; ENZRXN3E-24363; ENZRXN3E-24359; ENZRXN3E-24355; ENZRXN3E-21404; ENZRXN3E-12744; ENZRXN3E-12740; ENZRXN3E-12736	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-16401	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-17640; CO-A; ATP)	(CPD-17641; PPI; AMP)	-	-
RXN-9663	Protein-Modification-Reactions	<i>trans</i> hexadecenoyl-[acp] reductase	-	(Palmitoyl-ACPs; NAD)	(2-Hexadecenoyl-ACPs; NADH; PROTON)	-	-
RXN-19831	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-32044; ENZRXN3E-19577; ENZRXN3E-5848; ENZRXN3E-2622	(OBTUSIFOLIOL; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CPD-21438; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-12195	Chemical-Reactions; Small-Molecule-Reactions	-	-	(WATER; CTP)	(PROTON; Pi; CDP)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-9518	Protein-Modification-Reactions	3-hydroxyhexanoyl-[acyl-carrier protein] reductase	-	(R-3-hydroxyhexanoyl-ACPs; NADP)	(3-oxo-hexanoyl-ACPs; NADPH; PROTON)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-34658; ENZRXN3E-26551; ENZRXN3E-25787; ENZRXN3E-23511; ENZRXN3E-23509; ENZRXN3E-23094; ENZRXN3E-23093; ENZRXN3E-23092; ENZRXN3E-23091; ENZRXN3E-21945; ENZRXN3E-21944; ENZRXN3E-12902; ENZRXN3E-12901; ENZRXN3E-12900; ENZRXN3E-11169; ENZRXN3E-11168	(ACYL-COA=(Cis-Delta-11-acyl-CoAs; Trans-Delta-11-acyl-CoAs; S-2-METHYLACYL-COA; R-2-METHYLACYL-COA; CPD-17633; CPD-17623; CPD-17624); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE=(Phosphatidylcholines-40-3; 1-Linoleoyl-PC; Phosphatidylcholines-38-4; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC; phosphatidylcholine-30:0; Phosphatidylcholines-36-1; Phosphatidylcholines-40-2; Phosphatidylcholines-38-3; 1-arachidonoyl-PC; Phosphatidylcholines-40-5; 1-Oleoyl-PC; Phosphatidylcholines-34-4; Phosphatidylcholines-38-6; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; Phosphatidylcholines-38-2; Phosphatidylcholines-40-4; Phosphatidylcholines-32-0; Phosphatidylcholines-38-5; 2-arachidonoyl-PC; 1-Stearoyl-PC); CO-A)	-	-
CYTIKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CYTIDINE; ATP)	(CMP; ADP; PROTON)	-	-
HOMOSERKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-30744; ENZRXN3E-20835; ENZRXN3E-17065; ENZRXN3E-5530	(HOMO-SER; ATP)	(PROTON; O-PHOSPHO-L-HOMOSERINE; ADP)	-	-
2.7.7.60-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-34148; ENZRXN3E-34147; ENZRXN3E-22225	(PROTON; 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE; CTP)	(4-CYTIDINE-5-DIPHOSPHO-2-C; PPI)	4-diphosphocytidyl-2-methylerithritol synthase (sugar nucleotide phosphorylase family)	-
DIHYDROXYMETVALDEHYDRAT-RXN	Chemical-Reactions; Small-Molecule-Reactions	2,3-Dihydroxy-3-methylvalerate dehydratase	-	(1-KETO-2-METHYLVALERATE)	(2-KETO-3-METHYL-VALERATE; WATER)	-	-
RXN-12155	Chemical-Reactions; Small-Molecule-Reactions	behenate &omega;-hydroxylase	-	(CPD-10279; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-14826; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
PHOSPHOGLUCMUT-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-31343; ENZRXN3E-31340; ENZRXN3E-31337; ENZRXN3E-31334; ENZRXN3E-31331; ENZRXN3E-31328; ENZRXN3E-29390; ENZRXN3E-29386; ENZRXN3E-20016; ENZRXN3E-20013; ENZRXN3E-20010; ENZRXN3E-20007; ENZRXN3E-20004; ENZRXN3E-20001; ENZRXN3E-15605; ENZRXN3E-14748; ENZRXN3E-9587; ENZRXN3E-8536; ENZRXN3E-6536; ENZRXN3E-6532; ENZRXN3E-6528; ENZRXN3E-6524; ENZRXN3E-6019; ENZRXN3E-6015; ENZRXN3E-5826; ENZRXN3E-5822; ENZRXN3E-5818; ENZRXN3E-5814; ENZRXN3E-5810; ENZRXN3E-5806; ENZRXN3E-4734; ENZRXN3E-4730; ENZRXN3E-4726	(GLC-1-P)	(D-glucopyranose-6-phosphate=(ALPHA-GLC-6-P; GLC-6-P))	-	RXN-16997; RXN-16998
RXN-14922	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-22806; ENZRXN3E-13463; ENZRXN3E-13459	(CPD-15838)	(CPD-15834)	-	-
RXN-8303	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8077; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8079; WATER; Oxidized-ferredoxins)	-	-
RXN-7763	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-7025; Nucleoside-Triphosphates))	(PHYTYL-PYROPHOSPHATE; Nucleoside-Diphosphates))	-	-
RXN-6522	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD1F-97; 2-KETOGLUTARATE; OXYGEN-MOLECULE)	(CPD-6202; SUC; CARBON-DIOXIDE)	-	-
RXN-12295	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-34005; ENZRXN3E-21785; ENZRXN3E-12478	(CPD-13218; NADPH; PROTON)	(CPD-13220; NADP)	-	-
1.14.13.36-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-35061; ENZRXN3E-34686; ENZRXN3E-20522; ENZRXN3E-20519; ENZRXN3E-20516; ENZRXN3E-15609; ENZRXN3E-15606; ENZRXN3E-6306; ENZRXN3E-3098; ENZRXN3E-3095	(4-COUMAROYLQUINATE; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CAFFEOYLQUINATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
TOCOPHEROL-O-METHYLTRANSFERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-31457; ENZRXN3E-30920; ENZRXN3E-23687; ENZRXN3E-14812; ENZRXN3E-13713	(S-ADENOSYLMETHIONINE; GAMA-TOCOPHEROL)	(ADENOSYL-HOMO-CYS; ALPHA-TOCOPHEROL; PROTON)	-	-
RXN-8082	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-26331	(CPD-6948; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-7608; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXN-6421	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-18822; ENZRXN3E-18819; ENZRXN3E-18816; ENZRXN3E-18813; ENZRXN3E-18810; ENZRXN3E-18807; ENZRXN3E-18804; ENZRXN3E-18801; ENZRXN3E-18798; ENZRXN3E-10080; ENZRXN3E-10076; ENZRXN3E-10072; ENZRXN3E-10068; ENZRXN3E-10064; ENZRXN3E-10060; ENZRXN3E-10056; ENZRXN3E-10052; ENZRXN3E-10048; ENZRXN3E-10044; ENZRXN3E-10040; ENZRXN3E-9231; ENZRXN3E-7624; ENZRXN3E-7620; ENZRXN3E-7615; ENZRXN3E-7610; ENZRXN3E-7605; ENZRXN3E-7601; ENZRXN3E-7597; ENZRXN3E-7593; ENZRXN3E-7589; ENZRXN3E-7585	(SPERMINE; OXYGEN-MOLECULE; WATER)	(CPD-6121; CPD-313; HYDROGEN-PEROXIDE)	-	-
TRANS-RXN-229	Small-Molecule-Reactions; Transport-Reactions	-	-	(L-ORNITHINE)	(L-ORNITHINE)	-	-
RXN-11925	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12865; FERROCYTOCHROME-B5; OXYGEN-MOLECULE; PROTON)	(CPD-12866; FERRICYTOCHROME-B5; WATER)	-	-
RXN-14026	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-31318; ENZRXN3E-31315; ENZRXN3E-31312; ENZRXN3E-31309; ENZRXN3E-18389; ENZRXN3E-18386	(CMP; WATER)	(CYTIDINE; Pi)	-	-
RXN-9524	Protein-Modification-Reactions	3-oxo-octanoyl-[acyl-carrier protein] reductase	-	(3-Hydroxy-octanoyl-ACPs; NADP)	(3-Oxo-octanoyl-ACPs; NADPH; PROTON)	-	-
RXN1F-162	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-31910; ENZRXN3E-31727; ENZRXN3E-31721; ENZRXN3E-31715; ENZRXN3E-31638; ENZRXN3E-31632; ENZRXN3E-28904; ENZRXN3E-26079; ENZRXN3E-18608; ENZRXN3E-18168; ENZRXN3E-18162; ENZRXN3E-17592; ENZRXN3E-12167	(CPD1F-95; OXYGEN-MOLECULE; 2-KETOGLUTARATE)	(CPD1F-97; CARBON-DIOXIDE; SUC)	-	-
RXN-9627	Chemical-Reactions; Small-Molecule-Reactions	-	-	(LAUROYLCOA-CPD; WATER)	(PROTON; DODECANOATE; CO-A)	-	-
RXN-9246	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-7721	(ISOEUGENOL; ACET; NADP)	(CPD-9875; NADPH)	-	-
RXN-7630	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-6976; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-6978; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXN-3	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; CPD-501; UTP)	(UDP-D-GALACTURONATE; PPI)	-	-
RIBULP3EPIM-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-31528; ENZRXN3E-31527; ENZRXN3E-28149; ENZRXN3E-18432; ENZRXN3E-18431; ENZRXN3E-18430; ENZRXN3E-18429; ENZRXN3E-5096; ENZRXN3E-5095	(RIBULOSE-5P)	(XYLULOSE-5-PHOSPHATE)	-	-
RXN-6724	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-32269; ENZRXN3E-32268; ENZRXN3E-32218; ENZRXN3E-31577; ENZRXN3E-30433; ENZRXN3E-25543; ENZRXN3E-19847; ENZRXN3E-19744; ENZRXN3E-19718; ENZRXN3E-16758; ENZRXN3E-16705; ENZRXN3E-16354; ENZRXN3E-16352; ENZRXN3E-15557; ENZRXN3E-15397; ENZRXN3E-15396; ENZRXN3E-15395; ENZRXN3E-15067; ENZRXN3E-15066; ENZRXN3E-14706; ENZRXN3E-14705; ENZRXN3E-10912; ENZRXN3E-10629; ENZRXN3E-10598; ENZRXN3E-10339; ENZRXN3E-9575; ENZRXN3E-9574; ENZRXN3E-8978; ENZRXN3E-8503; ENZRXN3E-8457; ENZRXN3E-8452; ENZRXN3E-8451; ENZRXN3E-8373; ENZRXN3E-8292; ENZRXN3E-8291; ENZRXN3E-8033; ENZRXN3E-8032; ENZRXN3E-7696; ENZRXN3E-7377; ENZRXN3E-6913; ENZRXN3E-6912; ENZRXN3E-5926; ENZRXN3E-2415; ENZRXN3E-2012; ENZRXN3E-1625; ENZRXN3E-1624	(BENZOYLCOA; BENZYL-ALCOHOL)	(CPD-6443; CO-A)	-	-
RXN-6523	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD1F-120; 2-KETOGLUTARATE; OXYGEN-MOLECULE)	(CPD-6201; SUC; CARBON-DIOXIDE)	-	-
DCTP-PYROPHOSPHATASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-27452; ENZRXN3E-26653; ENZRXN3E-23438; ENZRXN3E-13066; ENZRXN3E-11350	(DCTP; WATER)	(PROTON; DCMP; PPI)	-	-
UDPACYLGLCNACDEACETYL-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-31984; ENZRXN3E-18857; ENZRXN3E-18856	(UDP-OHMYR-ACETYLGLUCOSAMINE; WATER)	(UDP-OHMYR-GLUCOSAMINE; ACET)	-	-
RXNQT-4397	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-697; CPD-12575)	(CPDQT-523; UDP; PROTON)	-	-
RXN-16418	Chemical-Reactions; Small-Molecule-Reactions	-	-	(OCTADEC-9-ENE-118-DIOIC-ACID; CO-A; ATP)	(CPD-17624; PPI; AMP)	-	-
TRANS-CINNAMATE-4-MONOOXYGENASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-33475; ENZRXN3E-23430; ENZRXN3E-22126; ENZRXN3E-16603; ENZRXN3E-13222; ENZRXN3E-2859; ENZRXN3E-5	(CPD-674; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(COUMARATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-9244	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-34092; ENZRXN3E-27102; ENZRXN3E-26032; ENZRXN3E-26030; ENZRXN3E-25808; ENZRXN3E-21623; ENZRXN3E-20211; ENZRXN3E-15124; ENZRXN3E-11816; ENZRXN3E-11664; ENZRXN3E-10899; ENZRXN3E-10442; ENZRXN3E-8776; ENZRXN3E-6598; ENZRXN3E-6582; ENZRXN3E-1235	(CONIFERYL-ALCOHOL; ACETYL-COA)	(CPD-9875; CO-A)	-	-
RXN-5641	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; SER)	(ETHANOL-AMINE; CARBON-DIOXIDE)	-	-
RXN-11927	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12866; FERROCYTOCHROME-B5; OXYGEN-MOLECULE; PROTON)	(CPD-12867; FERRICYTOCHROME-B5; WATER)	-	-
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-28334; ENZRXN3E-27674; ENZRXN3E-25118; ENZRXN3E-25117; ENZRXN3E-25116; ENZRXN3E-25115; ENZRXN3E-25027; ENZRXN3E-25024; ENZRXN3E-25021; ENZRXN3E-24690; ENZRXN3E-24687; ENZRXN3E-24684; ENZRXN3E-10002; ENZRXN3E-10001; ENZRXN3E-6871; ENZRXN3E-5214; ENZRXN3E-5213; ENZRXN3E-5212; ENZRXN3E-1104; ENZRXN3E-893; ENZRXN3E-154; ENZRXN3E-151	(S-ADENOSYLMETHIONINE; CAFFEOYL-COA)	(PROTON; FERULOYL-COA; ADENOSYL-HOMO-CYS)	-	-
RXN-14921	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3E-22805; ENZRXN3E-13462; ENZRXN3E-13458	(CPD-15839)	(CPD-11712)	-	-
