ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN8S-8569	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN8S-4630	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN8S-4229	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN8S-3703	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXN8S-7001	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8S-5723	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8S-4073	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8S-2927	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8S-1369	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8S-716	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXN8S-2076	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
ENZRXN8S-7812	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8S-7556	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8S-7211	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8S-6825	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8S-4900	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8S-2653	Enzymatic-Reactions	UMP kinase	-	-	RXN-12002	-
ENZRXN8S-6633	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
