ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN4LZ-7121	Enzymatic-Reactions	1-18:1-2-16:0-digalactosyldiacylglycerol desaturase	-	-	RXN-8363	-
ENZRXN4LZ-7131	Enzymatic-Reactions	1-18:1-2-16:0-digalactosyldiacylglycerol desaturase	-	-	RXN-8363	-
ENZRXNIO2-11130	Enzymatic-Reactions	1-18:1-2-16:0-digalactosyldiacylglycerol desaturase	-	-	RXN-8363	-
ENZRXNIO2-9445	Enzymatic-Reactions	1-18:1-2-16:0-digalactosyldiacylglycerol desaturase	-	-	RXN-8363	-
ENZRXNIO2-11793	Enzymatic-Reactions	3-hydroxy-arachidoyl-CoA dehydratase	-	-	RXN-13302	-
ENZRXNIO2-10727	Enzymatic-Reactions	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	-	-	ISPH2-RXN	-
ENZRXNIO2-6953	Enzymatic-Reactions	pheophorbide <i>a</i> oxygenase	-	-	RXN-17252	-
ENZRXNIO2-5955	Enzymatic-Reactions	squalene synthase	-	-	RXN66-281	-
ENZRXNIO2-12270	Enzymatic-Reactions	acyl-CoA:diacylglycerol acyltransferase	-	-	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	-
ENZRXNIO2-11599	Enzymatic-Reactions	acyl-CoA:diacylglycerol acyltransferase	-	-	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	-
ENZRXNIO2-10750	Enzymatic-Reactions	acyl-CoA:diacylglycerol acyltransferase	-	-	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	-
ENZRXNIO2-10705	Enzymatic-Reactions	acyl-CoA:diacylglycerol acyltransferase	-	-	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	-
ENZRXNIO2-9838	Enzymatic-Reactions	acyl-CoA:diacylglycerol acyltransferase	-	-	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	-
ENZRXNIO2-9644	Enzymatic-Reactions	acyl-CoA:diacylglycerol acyltransferase	-	-	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	-
ENZRXNIO2-9673	Enzymatic-Reactions	phosphoribulokinase	-	-	PHOSPHORIBULOKINASE-RXN	-
ENZRXNIO2-12154	Enzymatic-Reactions	demethylphylloquinol methyltransferase	-	-	RXN-7569	-
ENZRXN4LZ-7451	Enzymatic-Reactions	bicarbonate transporter	-	-	TRANS-RXNIO2-1	-
ENZRXN4LZ-7454	Enzymatic-Reactions	bicarbonate transporter	-	-	TRANS-RXNIO2-1	-
ENZRXNIO2-11529	Enzymatic-Reactions	1-18:2-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-8304	-
ENZRXNIO2-11522	Enzymatic-Reactions	1-18:2-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-8304	-
ENZRXNIO2-11518	Enzymatic-Reactions	1-18:2-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-8304	-
ENZRXNIO2-11459	Enzymatic-Reactions	1-18:2-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-8304	-
ENZRXNIO2-10529	Enzymatic-Reactions	1-18:2-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-8304	-
ENZRXNIO2-5156	Enzymatic-Reactions	1-18:2-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-8304	-
ENZRXNIO2-12140	Enzymatic-Reactions	hydroxypyruvate reductase	-	-	HYDROXYPYRUVATE-REDUCTASE-RXN	-
ENZRXNIO2-11102	Enzymatic-Reactions	hydroxypyruvate reductase	-	-	HYDROXYPYRUVATE-REDUCTASE-RXN	-
ENZRXNIO2-9034	Enzymatic-Reactions	arginine/citrulline exchanger	-	-	TRANS-RXN-227	-
ENZRXNIO2-8765	Enzymatic-Reactions	L,L-diaminopimelate aminotransferase	-	-	RXN-7737	-
ENZRXNIO2-11951	Enzymatic-Reactions	isocitrate dehydrogenase	-	-	ISOCITRATE-DEHYDROGENASE-NAD+-RXN	-
ENZRXNIO2-8793	Enzymatic-Reactions	isocitrate dehydrogenase	-	-	ISOCITRATE-DEHYDROGENASE-NAD+-RXN	-
ENZRXNIO2-12138	Enzymatic-Reactions	[acyl-carrier-protein] <i>S</i>-malonyltransferase	-	-	MALONYL-COA-ACP-TRANSACYL-RXN	-
ENZRXNIO2-10221	Enzymatic-Reactions	[acyl-carrier-protein] <i>S</i>-malonyltransferase	-	-	MALONYL-COA-ACP-TRANSACYL-RXN	-
ENZRXNIO2-9341	Enzymatic-Reactions	[acyl-carrier-protein] <i>S</i>-malonyltransferase	-	-	MALONYL-COA-ACP-TRANSACYL-RXN	-
ENZRXNIO2-8702	Enzymatic-Reactions	[acyl-carrier-protein] <i>S</i>-malonyltransferase	-	-	MALONYL-COA-ACP-TRANSACYL-RXN	-
ENZRXNIO2-10823	Enzymatic-Reactions	glyceraldehyde-3-phosphate dehydrogenase	-	-	GAPOXNPHOSPHN-RXN	-
ENZRXNIO2-10008	Enzymatic-Reactions	glyceraldehyde-3-phosphate dehydrogenase	-	-	GAPOXNPHOSPHN-RXN	-
ENZRXN-19840	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXN4LZ-240	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-12401	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-12400	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-12216	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-12163	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-11840	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-11638	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-11463	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-11340	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-11173	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-11157	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-11156	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-11155	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
ENZRXNIO2-11148	Enzymatic-Reactions	photosystem II	-	-	PSII-RXN	-
