ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN34-20472	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN34-20470	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN34-20468	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN34-20466	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN34-8812	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN34-8810	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN34-8808	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN34-8806	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN34-8804	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN34-8802	Enzymatic-Reactions	diacylglycerolhomoserine <i>N</i>,<i>N</i>,<i>N</i>-trimethyltransferase	-	-	RXN-12348	-
ENZRXN34-22998	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN34-22994	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN34-22574	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN34-14198	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN34-14194	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN34-23942	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-23938	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-23934	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-23930	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-23926	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-23922	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-23918	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-20926	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-20922	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-20918	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-20325	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-20321	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-17796	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN34-17792	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
