ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
ISOVITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN	Small-Molecule-Reactions; Chemical-Reactions	-	ENZRXN-15344	(CPD-12575; ISOVITEXIN)	(PROTON; ISOVITEXIN-2-O-B-D-GLUCOSIDE; UDP)	-	-
RXN-13896	Chemical-Reactions; Small-Molecule-Reactions	-	-	(S-ADENOSYLMETHIONINE; OBTUSIFOLIOL)	(CPD-14905; ADENOSYL-HOMO-CYS; PROTON)	-	-
RXN-3481	Small-Molecule-Reactions; Chemical-Reactions	-	ENZRXN-7662; ENZRXN-5103	(S-ADENOSYLMETHIONINE; DAIDZEIN)	(PROTON; CPD-3343; ADENOSYL-HOMO-CYS)	-	-
ALLANTOICASE-RXN	Small-Molecule-Reactions; Chemical-Reactions	-	ENZRXN-14393	(WATER; ALLANTOATE)	(CPD-1091; UREA)	-	-
RXN-1781	Small-Molecule-Reactions; Chemical-Reactions	-	ENZRXN-2282	(SUCROSE)	(1-KESTOTRIOSE; Glucopyranose=(GLC; ALPHA-GLUCOSE))	sucrose:sucrose 1-fructosyltransferase; sucrose 1F-fructosyltransferase; sucrose:sucrose 1F-b-D-fructosyltransferase	-
RXN-18142	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN-25216	(CPD-19421; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CPD-19434; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-9264	Small-Molecule-Reactions; Chemical-Reactions	-	-	(CPD-8186)	(Demethylated-methyl-acceptors; CPD-9828)	-	-
RXN-16845	Small-Molecule-Reactions; Chemical-Reactions	-	-	(ISOVITEXIN-2-O-B-D-GLUCOSIDE; CPD-14553)	(CPD-18169; UDP)	-	-
RXN1F-461	Small-Molecule-Reactions; Chemical-Reactions	-	ENZRXN-13127; ENZRXN-21052; ENZRXN-21053; ENZRXN-17090; ENZRXN-13206	(CPD-12575; CPD1F-90)	(CPD1F-453; UDP; PROTON)	-	-
RXN-13982	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN-21225	(P-COUMAROYL-COA; CPD-14981)	(CO-A; CPD-14985)	-	-
RXN-8316	Small-Molecule-Reactions; Chemical-Reactions	-	ENZRXN4LZ-7132; ENZRXN4LZ-7120; ENZRXN-13214	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8086; WATER; Oxidized-ferredoxins)	-	-
RXN-15291	Chemical-Reactions; Small-Molecule-Reactions	luteolin monoglucuronide &beta;-glucuronidase	ENZRXN-22519	(LUTEOLIN-7-O-BETA-D-GLUCURONIDE; WATER)	(5734-TETRAHYDROXYFLAVONE; CPD-12521; PROTON)	-	-
RXN-8082	Small-Molecule-Reactions; Chemical-Reactions	-	ENZRXN-12835	(CPD-6948; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-7608; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXN-13954	Chemical-Reactions; Small-Molecule-Reactions	kaempferol 3-glucoside-(6-<i>O</i>-coumaroyl)-glucoside 4-coumaroyltransferase	ENZRXN-21205	(P-COUMAROYL-COA; CPD-14976)	(CO-A; CPD-14995)	-	-
3.1.1.82-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN-15292	(CPD-7061; WATER; PROTON)	(CPD-10296; METOH; CARBON-DIOXIDE)	-	RXN-13939; RXN-13938
RXN-1481	Small-Molecule-Reactions; Chemical-Reactions	-	-	(CPD-1962; NADP; WATER)	(LEUCOPELARGONIDIN-CMPD; NADPH; PROTON)	-	-
RXN-9627	Small-Molecule-Reactions; Chemical-Reactions	-	ENZRXNQT-12402; ENZRXN-23600	(LAUROYLCOA-CPD; WATER)	(PROTON; DODECANOATE; CO-A)	-	-
RXN-8192	Small-Molecule-Reactions; Chemical-Reactions	-	ENZRXN-12995	(CPD1F-129; WATER; Acceptor)	(CPD-7853; Donor-H2)	-	-
RXN-14084	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; CPD-15080)	(CPD-15078)	-	-
RXN-13811	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN-21034	(CPD-14832; WATER)	(CPD-14833; ACET; PROTON)	-	-
RXN-8289	Small-Molecule-Reactions; Chemical-Reactions	-	ENZRXN-13207	(CPD-12575; CPD1F-453)	(PROTON; CPD-8067; UDP)	-	-
