ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXNQT-4398	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12575; CPD-634)	(CPDQT-522; UDP; PROTON)	-	-
RXN-16401	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-17640; CO-A; ATP)	(CPD-17641; PPI; AMP)	-	-
RXN-12195	Chemical-Reactions; Small-Molecule-Reactions	-	-	(WATER; CTP)	(PROTON; Pi; CDP)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-1726	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2184; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2185; WATER; Oxidized-ferredoxins)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-15277; ENZRXN37-12150; ENZRXN37-10836; ENZRXN37-4823; ENZRXN37-4822; ENZRXN37-440; ENZRXN37-437; ENZRXN37-434	(ACYL-COA=(CPD-17624; CPD-17633; CPD-17623); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE); CO-A)	-	-
CYTIKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CYTIDINE; ATP)	(CMP; ADP; PROTON)	-	-
HOMOSERKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-11011; ENZRXN37-6552	(HOMO-SER; ATP)	(PROTON; O-PHOSPHO-L-HOMOSERINE; ADP)	-	-
DIHYDROXYMETVALDEHYDRAT-RXN	Chemical-Reactions; Small-Molecule-Reactions	2,3-Dihydroxy-3-methylvalerate dehydratase	-	(1-KETO-2-METHYLVALERATE)	(2-KETO-3-METHYL-VALERATE; WATER)	-	-
RXN-1725	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-13931	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2184; WATER; Oxidized-ferredoxins)	-	-
RXN-12155	Chemical-Reactions; Small-Molecule-Reactions	behenate &omega;-hydroxylase	-	(CPD-10279; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-14826; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
PHOSPHOGLUCMUT-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN37-8024; ENZRXN37-8022; ENZRXN37-7660; ENZRXN37-7657; ENZRXN37-6090; ENZRXN37-5566; ENZRXN37-5564; ENZRXN37-5562; ENZRXN37-4236; ENZRXN37-2395	(GLC-1-P)	(D-glucopyranose-6-phosphate=(ALPHA-GLC-6-P; GLC-6-P))	-	RXN-16997; RXN-16998
RXN-8303	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8077; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8079; WATER; Oxidized-ferredoxins)	-	-
RXN-8316	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8086; WATER; Oxidized-ferredoxins)	-	-
1.14.13.36-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-13480; ENZRXN37-10165	(4-COUMAROYLQUINATE; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CAFFEOYLQUINATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	5-O-(4-coumaroyl)-D-quinate/shikimate 3'-hydroxylase	-
RXN-12295	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-13218; NADPH; PROTON)	(CPD-13220; NADP)	-	-
RXN-6421	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-4414; ENZRXN37-2590	(SPERMINE; OXYGEN-MOLECULE; WATER)	(CPD-6121; CPD-313; HYDROGEN-PEROXIDE)	-	-
GLYCEROL-KIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-12633; ENZRXN37-12632	(GLYCEROL; ATP)	(PROTON; GLYCEROL-3P; ADP)	-	-
RXN-9627	Chemical-Reactions; Small-Molecule-Reactions	-	-	(LAUROYLCOA-CPD; WATER)	(PROTON; DODECANOATE; CO-A)	-	-
RXN-9246	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-8316	(ISOEUGENOL; ACET; NADP)	(CPD-9875; NADPH)	-	-
RXN-3	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; CPD-501; UTP)	(UDP-D-GALACTURONATE; PPI)	-	-
RIBULP3EPIM-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-14311; ENZRXN37-2646	(RIBULOSE-5P)	(XYLULOSE-5-PHOSPHATE)	RIBULOSE-5-PHOSPHATE-3-EPIMERASE; D-xylulose-5-phosphate 3-epimerase; Xylulose phosphate 3-epimerase; D-ribulose-5-phosphate epimerase; D-ribulose phosphate-3-epimerase; Pentose-5-phosphate 3-epimerase; Erythrose-4-phosphate epimerase; pentose phosphate epimerase; D-ribulose-5-phosphate 3-epimerase	-
RXN-6724	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-15221; ENZRXN37-15220; ENZRXN37-13840; ENZRXN37-13839; ENZRXN37-13838; ENZRXN37-13837; ENZRXN37-13836; ENZRXN37-13835; ENZRXN37-13834; ENZRXN37-13833; ENZRXN37-12656; ENZRXN37-4777; ENZRXN37-3939; ENZRXN37-3938; ENZRXN37-3937; ENZRXN37-3782; ENZRXN37-573; ENZRXN37-572; ENZRXN37-370	(BENZOYLCOA; BENZYL-ALCOHOL)	(CPD-6443; CO-A)	-	-
DCTP-PYROPHOSPHATASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-12804; ENZRXN37-12803; ENZRXN37-12743; ENZRXN37-7529; ENZRXN37-6291; ENZRXN37-3047	(DCTP; WATER)	(PROTON; DCMP; PPI)	-	-
RXNQT-4397	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12575; CPD-697)	(CPDQT-523; UDP; PROTON)	-	-
PHOSPHASERDECARB-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-15018; ENZRXN37-15017; ENZRXN37-13221; ENZRXN37-12436; ENZRXN37-12343	(L-1-PHOSPHATIDYL-SERINE; PROTON)	(L-1-PHOSPHATIDYL-ETHANOLAMINE=(CPD-405; CPD-160); CARBON-DIOXIDE)	-	-
TRANS-CINNAMATE-4-MONOOXYGENASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-9647; ENZRXN37-3589; ENZRXN37-610; ENZRXN37-80	(CPD-674; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(COUMARATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-16418	Chemical-Reactions; Small-Molecule-Reactions	-	-	(OCTADEC-9-ENE-118-DIOIC-ACID; CO-A; ATP)	(CPD-17624; PPI; AMP)	-	-
TRANS-RXN-131	Small-Molecule-Reactions; TR-11	-	-	(GLYCEROL)	(GLYCEROL)	glycerol transport	-
2.1.1.71-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-15532; ENZRXN37-15531; ENZRXN37-11928; ENZRXN37-7840; ENZRXN37-7839	(S-ADENOSYLMETHIONINE; CPD-405)	(CPD-160; PROTON; ADENOSYL-HOMO-CYS)	-	-
RXN-9244	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-15215; ENZRXN37-8854	(CONIFERYL-ALCOHOL; ACETYL-COA)	(CPD-9875; CO-A)	-	-
RXN-5641	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; SER)	(ETHANOL-AMINE; CARBON-DIOXIDE)	-	-
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-14395; ENZRXN37-12994; ENZRXN37-7631; ENZRXN37-6867; ENZRXN37-6119; ENZRXN37-6118; ENZRXN37-892	(S-ADENOSYLMETHIONINE; CAFFEOYL-COA)	(PROTON; FERULOYL-COA; ADENOSYL-HOMO-CYS)	Trans-caffeoyl-CoA 3-O-methyltransferase	-
RXN-8313	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8083; WATER; Oxidized-ferredoxins)	-	-
RXN-4727	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN37-5693; ENZRXN37-5680; ENZRXN37-5667	(CPD-12575; CPD-4209)	(PROTON; CPD-4602; UDP)	-	-
