ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXN-15462	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN8Y-27956; ENZRXN8Y-27627; ENZRXN8Y-27427; ENZRXN8Y-27422; ENZRXN8Y-26556; ENZRXN8Y-26224; ENZRXN8Y-26076; ENZRXN8Y-26071; ENZRXN8Y-25313; ENZRXN8Y-25190; ENZRXN8Y-24973; ENZRXN8Y-24968; ENZRXN8Y-24804; ENZRXN8Y-24062; ENZRXN8Y-23883; ENZRXN8Y-23747; ENZRXN8Y-18945; ENZRXN8Y-16543; ENZRXN8Y-14054; ENZRXN8Y-13321; ENZRXN8Y-12662; ENZRXN8Y-6973; ENZRXN8Y-6409	(CPD-4751; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-16719; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXN-11937	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12912; FERROCYTOCHROME-B5; OXYGEN-MOLECULE; PROTON)	(CPD-12914; FERRICYTOCHROME-B5; WATER)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN8Y-18339; ENZRXN8Y-15806; ENZRXN8Y-14942; ENZRXN8Y-14498; ENZRXN8Y-13030; ENZRXN8Y-12386; ENZRXN8Y-9845	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-9663	Protein-Modification-Reactions	<i>trans</i> hexadecenoyl-[acp] reductase	-	(Palmitoyl-ACPs; NAD)	(2-Hexadecenoyl-ACPs; NADH; PROTON)	-	-
RXN-19831	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN8Y-28021; ENZRXN8Y-24313; ENZRXN8Y-24309; ENZRXN8Y-23282; ENZRXN8Y-8326; ENZRXN8Y-5296; ENZRXN8Y-3118	(OBTUSIFOLIOL; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CPD-21438; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-9518	Protein-Modification-Reactions	3-hydroxyhexanoyl-[acyl-carrier protein] reductase	-	(R-3-hydroxyhexanoyl-ACPs; NADP)	(3-oxo-hexanoyl-ACPs; NADPH; PROTON)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN8Y-17682; ENZRXN8Y-17681; ENZRXN8Y-14396; ENZRXN8Y-13669; ENZRXN8Y-13078; ENZRXN8Y-12981; ENZRXN8Y-11713; ENZRXN8Y-11712; ENZRXN8Y-10947; ENZRXN8Y-9397; ENZRXN8Y-9396	(ACYL-COA=(R-2-METHYLACYL-COA; S-2-METHYLACYL-COA; Cis-Delta-11-acyl-CoAs; Trans-Delta-11-acyl-CoAs; CPD-17633; CPD-17623; CPD-17624); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE=(1-Stearoyl-PC; Phosphatidylcholines-40-2; Phosphatidylcholines-38-3; Phosphatidylcholines-40-5; 1-Oleoyl-PC; Phosphatidylcholines-38-6; Phosphatidylcholines-36-1; 2-arachidonoyl-PC; Phosphatidylcholines-38-2; Phosphatidylcholines-40-4; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; 1-Linoleoyl-PC; Phosphatidylcholines-38-5; Phosphatidylcholines-34-4; Phosphatidylcholines-32-0; Phosphatidylcholines-40-3; Phosphatidylcholines-38-4; phosphatidylcholine-30:0; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC; 1-arachidonoyl-PC); CO-A)	-	-
2.7.7.60-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN8Y-3581	(PROTON; 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE; CTP)	(4-CYTIDINE-5-DIPHOSPHO-2-C; PPI)	4-diphosphocytidyl-2-methylerithritol synthase (sugar nucleotide phosphorylase family)	-
RXN-8303	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8077; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8079; WATER; Oxidized-ferredoxins)	-	-
