ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
MALATE-DEH-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3A-7385; ENZRXN3A-7252; ENZRXN3A-4774; ENZRXN3A-4266; ENZRXN3A-3813; ENZRXN3A-378; ENZRXN3A-22	(MAL; NAD)	(OXALACETIC_ACID; NADH; PROTON)	malate dehydrogenation	-
RXN-13309	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD1G-277; NADP)	(CPD-14283; NADPH; PROTON)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3A-1282	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-1728	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3A-3691	(CPD-2187; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2188; WATER; Oxidized-ferredoxins)	-	-
UDP-GLUCURONATE-4-EPIMERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3A-8201; ENZRXN3A-6401; ENZRXN3A-4101; ENZRXN3A-3962; ENZRXN3A-3868; ENZRXN3A-3235; ENZRXN3A-2655; ENZRXN3A-2438	(UDP-GLUCURONATE)	(UDP-D-GALACTURONATE)	-	-
RXN-9311	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3A-8413; ENZRXN3A-2264	(CPD-9925; WATER)	(PROTON; DIHYDROXYNAPHTHOATE; CO-A)	-	-
RXN-14973	Protein-Modification-Reactions	-	-	(3-Oxo-octanoyl-ACPs; NADPH; PROTON)	(Octanoyl-ACPs; NADP; WATER)	-	-
RXN-8301	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8080; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2190; WATER; Oxidized-ferredoxins)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-8308	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8076; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8078; WATER; Oxidized-ferredoxins)	-	-
BIOTIN-CARBOXYL-RXN	Protein-Modification-Reactions	-	ENZRXN3A-6081; ENZRXN3A-5327; ENZRXN3A-3228; ENZRXN3A-2013; ENZRXN3A-1163; ENZRXN3A-909	(biotin-L-lysine-in-BCCP-dimers; HCO3; ATP)	(Pi; carboxybiotin-L-lysine-in-BCCP-dimers; ADP; PROTON)	-	-
5.5.1.13-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(GERANYLGERANYL-PP)	(ENT-COPALYL-DIPHOSPHATE)	-	-
PSII-RXN	Electron-Transfer-Reactions; Small-Molecule-Reactions	-	ENZRXN3A-8649; ENZRXN3A-8265; ENZRXN3A-7725; ENZRXN3A-7560; ENZRXN3A-6314; ENZRXN3A-5632; ENZRXN3A-4386; ENZRXN3A-4126; ENZRXN3A-2826; ENZRXN3A-2562; ENZRXN3A-2318; ENZRXN3A-785; ENZRXN3A-550; ENZRXN3A-235; ENZRXN3A-33	(Plastoquinols=(CPD-12829); PROTON; OXYGEN-MOLECULE)	(Light; PLASTOQUINONE; PROTON; WATER)	-	RXN-15490; RXN-15447; RXN0-5265
3-OXOACYL-ACP-SYNTH-RXN	Protein-Modification-Reactions	-	-	(Saturated-Fatty-Acyl-ACPs; MALONYL-ACP; PROTON)	(B-KETOACYL-ACP; CARBON-DIOXIDE; ACP)	-	-
