ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXN-17881	Chemical-Reactions; Small-Molecule-Reactions	-	-	(N-terminal-L-cysteine=(a-YedK-protein-L-cysteine; N-terminal-N-Ac-L-cysteine); HYDROGEN-PEROXIDE)	(N-terminal-L-alanine-sulfenate; WATER)	-	-
RXNQT-4398	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-634; CPD-12575)	(CPDQT-522; UDP; PROTON)	-	-
RXN-17858	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXNSEN2-9756; ENZRXNSEN2-8316; ENZRXNSEN2-8000; ENZRXNSEN2-6396; ENZRXNSEN2-5964; ENZRXNSEN2-4322; ENZRXNSEN2-4078; ENZRXNSEN2-3636	(ACETYL-COA; L-methionyl-L-tyrosinyl-Protein)	(N-Ac-L-methionyl-L-tyrosinyl-Protein; CO-A; PROTON)	-	-
RXN-3481	Chemical-Reactions; Small-Molecule-Reactions	-	-	(S-ADENOSYLMETHIONINE; DAIDZEIN)	(PROTON; CPD-3343; ADENOSYL-HOMO-CYS)	-	-
RXN-9663	Protein-Modification-Reactions	<i>trans</i> hexadecenoyl-[acp] reductase	-	(Palmitoyl-ACPs; NAD)	(2-Hexadecenoyl-ACPs; NADH; PROTON)	-	-
RXN-16401	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-17640; CO-A; ATP)	(CPD-17641; PPI; AMP)	-	-
RXN-12195	Chemical-Reactions; Small-Molecule-Reactions	-	-	(WATER; CTP)	(PROTON; Pi; CDP)	-	-
LIPOXYGENASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXNSEN2-9666; ENZRXNSEN2-9115; ENZRXNSEN2-7940; ENZRXNSEN2-3727; ENZRXNSEN2-3476; ENZRXNSEN2-1391	(LINOLEIC_ACID; OXYGEN-MOLECULE)	(13-HYDROPEROXYOCTADECA-911-DIENOATE)	-	-
RXN-9518	Protein-Modification-Reactions	3-hydroxyhexanoyl-[acyl-carrier protein] reductase	-	(R-3-hydroxyhexanoyl-ACPs; NADP)	(3-oxo-hexanoyl-ACPs; NADPH; PROTON)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXNSEN2-5694; ENZRXNSEN2-5459; ENZRXNSEN2-4729; ENZRXNSEN2-1474	(ACYL-COA=(R-2-METHYLACYL-COA; Cis-Delta-11-acyl-CoAs; S-2-METHYLACYL-COA; Trans-Delta-11-acyl-CoAs; CPD-17624; CPD-17623; CPD-17633); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE=(Phosphatidylcholines-36-3; phosphatidylcholine-30:0; Phosphatidylcholines-34-4; Phosphatidylcholines-40-3; Phosphatidylcholines-34-1; Phosphatidylcholines-38-5; 2-arachidonoyl-PC; Phosphatidylcholines-38-2; 1-Oleoyl-PC; Phosphatidylcholines-36-4; Phosphatidylcholines-36-1; Phosphatidylcholines-40-4; Phosphatidylcholines-38-6; Phosphatidylcholines-38-3; 1-Stearoyl-PC; Phosphatidylcholines-36-5; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; Phosphatidylcholines-36-2; Phosphatidylcholines-40-5; Phosphatidylcholines-34-3; Phosphatidylcholines-40-2; Phosphatidylcholines-32-0; Phosphatidylcholines-38-4; 1-arachidonoyl-PC; Phosphatidylcholines-36-6; 1-Linoleoyl-PC; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC); CO-A)	-	-
