ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN3B-1510	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN3B-12652	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3B-12036	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-12032	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-11423	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-7347	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-6215	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-5677	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-4298	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-3416	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-3412	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-2270	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-2263	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-1662	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-236	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3B-11984	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3B-10635	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN3B-7319	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN3B-6671	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN3B-6553	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN3B-1495	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN3B-1487	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN3B-183	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN3B-9973	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
ENZRXN3B-12950	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
ENZRXN3B-7158	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN3B-6829	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN3B-6828	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN3B-6827	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN3B-6516	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN3B-1283	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN3B-8094	Enzymatic-Reactions	<i>syn</i>-copalyl diphosphate synthase	-	-	RXN-8528	-
ENZRXN3B-220	Enzymatic-Reactions	malate dehydrogenase, NAD-requiring	-	-	1.1.1.39-RXN	-
ENZRXN3B-10572	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN3B-7699	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN3B-7224	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN3B-4523	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN3B-279	Enzymatic-Reactions	UDP-glucuronate 4-epimerase	-	-	UDP-GLUCURONATE-4-EPIMERASE-RXN	-
ENZRXN3B-13088	Enzymatic-Reactions	propanoyl-CoA:ethanol <i>O</i>-propanoyltransferase	-	-	RXN-18670	-
ENZRXN3B-4468	Enzymatic-Reactions	&beta;-amyrin synthase	-	-	RXN-7570	-
ENZRXN3B-4467	Enzymatic-Reactions	&beta;-amyrin synthase	-	-	RXN-7570	-
ENZRXN3B-3986	Enzymatic-Reactions	&beta;-amyrin synthase	-	-	RXN-7570	-
ENZRXN3B-3958	Enzymatic-Reactions	&beta;-amyrin synthase	-	-	RXN-7570	-
ENZRXN3B-11314	Enzymatic-Reactions	dihydropyrimidinase	-	-	DIHYDROPYRIMIDINASE-RXN	-
ENZRXN3B-11313	Enzymatic-Reactions	dihydropyrimidinase	-	-	DIHYDROPYRIMIDINASE-RXN	-
ENZRXN3B-7462	Enzymatic-Reactions	dihydropyrimidinase	-	-	DIHYDROPYRIMIDINASE-RXN	-
ENZRXN3B-1514	Enzymatic-Reactions	<i>trans</i>-zeatin-<i>O</i>-glucoside UDP glycosyltransferase	-	-	RXN-4736	-
ENZRXN3B-274	Enzymatic-Reactions	&beta;-ureidopropionase	-	-	BETA-UREIDOPROPIONASE-RXN	-
ENZRXN3B-12951	Enzymatic-Reactions	3-oxo-myristate decarboxylase	-	-	RXN-11669	-
ENZRXN3B-7631	Enzymatic-Reactions	arabinose kinase	-	-	L-ARABINOKINASE-RXN	-
ENZRXN3B-4472	Enzymatic-Reactions	arabinose kinase	-	-	L-ARABINOKINASE-RXN	-
ENZRXN3B-4471	Enzymatic-Reactions	arabinose kinase	-	-	L-ARABINOKINASE-RXN	-
ENZRXN3B-12091	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXN3B-8791	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
ENZRXN3B-2432	Enzymatic-Reactions	serine palmitoyltransferase	-	-	SERINE-C-PALMITOYLTRANSFERASE-RXN	-
