ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXN-15462	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3B-11383; ENZRXN3B-11002; ENZRXN3B-10067; ENZRXN3B-9396; ENZRXN3B-8489; ENZRXN3B-6318; ENZRXN3B-2453; ENZRXN3B-2258; ENZRXN3B-1839	(CPD-4751; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-16719; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXN-11937	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12912; FERROCYTOCHROME-B5; OXYGEN-MOLECULE; PROTON)	(CPD-12914; FERRICYTOCHROME-B5; WATER)	-	-
RXNQT-4398	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-634; CPD-12575)	(CPDQT-522; UDP; PROTON)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3B-11876; ENZRXN3B-8002	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-16401	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-17640; CO-A; ATP)	(CPD-17641; PPI; AMP)	-	-
RXN-9663	Protein-Modification-Reactions	<i>trans</i> hexadecenoyl-[acp] reductase	-	(Palmitoyl-ACPs; NAD)	(2-Hexadecenoyl-ACPs; NADH; PROTON)	-	-
RXN-19831	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3B-9565; ENZRXN3B-3854	(OBTUSIFOLIOL; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CPD-21438; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-12195	Chemical-Reactions; Small-Molecule-Reactions	-	-	(WATER; CTP)	(PROTON; Pi; CDP)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-9518	Protein-Modification-Reactions	3-hydroxyhexanoyl-[acyl-carrier protein] reductase	-	(R-3-hydroxyhexanoyl-ACPs; NADP)	(3-oxo-hexanoyl-ACPs; NADPH; PROTON)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3B-11265; ENZRXN3B-8535; ENZRXN3B-8533; ENZRXN3B-7839; ENZRXN3B-7355; ENZRXN3B-3046	(ACYL-COA=(Trans-Delta-11-acyl-CoAs; S-2-METHYLACYL-COA; Cis-Delta-11-acyl-CoAs; R-2-METHYLACYL-COA; CPD-17623; CPD-17624; CPD-17633); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE=(Phosphatidylcholines-40-5; 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC; 1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL; Phosphatidylcholines-34-4; Phosphatidylcholines-38-5; Phosphatidylcholines-40-3; Phosphatidylcholines-38-2; 1-Linoleoyl-PC; Phosphatidylcholines-38-4; Phosphatidylcholines-40-2; Phosphatidylcholines-38-6; phosphatidylcholine-30:0; 1-Oleoyl-PC; Phosphatidylcholines-38-3; Phosphatidylcholines-40-4; Phosphatidylcholines-32-0; 2-arachidonoyl-PC; 1-Stearoyl-PC; Phosphatidylcholines-36-1; 1-arachidonoyl-PC); CO-A)	-	-
CYTIKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CYTIDINE; ATP)	(CMP; ADP; PROTON)	-	-
HOMOSERKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3B-7760	(HOMO-SER; ATP)	(PROTON; O-PHOSPHO-L-HOMOSERINE; ADP)	-	-
2.7.7.60-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3B-11310	(PROTON; 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE; CTP)	(4-CYTIDINE-5-DIPHOSPHO-2-C; PPI)	4-diphosphocytidyl-2-methylerithritol synthase (sugar nucleotide phosphorylase family)	-
