ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN5W-8385	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN5W-8372	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN5W-5436	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN5W-4836	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN5W-11259	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5W-9012	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5W-8885	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5W-8877	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5W-8714	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5W-7861	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5W-7853	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5W-7845	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5W-7837	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5W-7555	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5W-1677	Enzymatic-Reactions	<i>syn</i>-stemod-13(17)-19-ol monooxygenase	-	-	RXN-15439	-
ENZRXN5W-11959	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
ENZRXN5W-4859	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
ENZRXN5W-13837	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN5W-8752	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN5W-8730	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN5W-8729	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXN5W-8686	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
