ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
RXNQT-4398	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12575; CPD-634)	(CPDQT-522; UDP; PROTON)	-	-
RXN-7659	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-7003; NADP)	(CPD-7002; NADPH; PROTON)	-	-
RXN-16401	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-17640; CO-A; ATP)	(CPD-17641; PPI; AMP)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-12195	Chemical-Reactions; Small-Molecule-Reactions	-	-	(WATER; CTP)	(PROTON; Pi; CDP)	-	-
LIPOXYGENASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-9949; ENZRXN3F-9928; ENZRXN3F-9926; ENZRXN3F-9199; ENZRXN3F-6984; ENZRXN3F-5940; ENZRXN3F-4475; ENZRXN3F-3672; ENZRXN3F-2148; ENZRXN3F-521	(LINOLEIC_ACID; OXYGEN-MOLECULE)	(13-HYDROPEROXYOCTADECA-911-DIENOATE)	-	-
RXN-1726	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2184; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2185; WATER; Oxidized-ferredoxins)	-	-
2.3.1.23-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-9189; ENZRXN3F-8523; ENZRXN3F-3775; ENZRXN3F-3253; ENZRXN3F-241	(ACYL-COA=(CPD-17624; CPD-17633; CPD-17623); 2-Lysophosphatidylcholines)	(PHOSPHATIDYLCHOLINE); CO-A)	-	-
CYTIKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CYTIDINE; ATP)	(CMP; ADP; PROTON)	-	-
HOMOSERKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-6844	(HOMO-SER; ATP)	(PROTON; O-PHOSPHO-L-HOMOSERINE; ADP)	-	-
DIHYDROXYMETVALDEHYDRAT-RXN	Chemical-Reactions; Small-Molecule-Reactions	2,3-Dihydroxy-3-methylvalerate dehydratase	-	(1-KETO-2-METHYLVALERATE)	(2-KETO-3-METHYL-VALERATE; WATER)	-	-
RXN-1725	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-3997	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2184; WATER; Oxidized-ferredoxins)	-	-
RXN-12155	Chemical-Reactions; Small-Molecule-Reactions	behenate &omega;-hydroxylase	-	(CPD-10279; Red-NADPH-Hemoprotein-Reductases; OXYGEN-MOLECULE)	(CPD-14826; Ox-NADPH-Hemoprotein-Reductases; WATER)	-	-
RXN-8303	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8077; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8079; WATER; Oxidized-ferredoxins)	-	-
RXN-14922	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-15838)	(CPD-15834)	-	-
PHOSPHOGLUCMUT-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-7799; ENZRXN3F-6938; ENZRXN3F-6630; ENZRXN3F-5813	(GLC-1-P)	(D-glucopyranose-6-phosphate=(ALPHA-GLC-6-P; GLC-6-P))	-	RXN-16997; RXN-16998
RXN-8316	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2183; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8086; WATER; Oxidized-ferredoxins)	-	-
1.14.13.36-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-9843; ENZRXN3F-1960; ENZRXN3F-1959; ENZRXN3F-1958; ENZRXN3F-226	(4-COUMAROYLQUINATE; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CAFFEOYLQUINATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-12295	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-13218; NADPH; PROTON)	(CPD-13220; NADP)	-	-
TOCOPHEROL-O-METHYLTRANSFERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-7132; ENZRXN3F-3356; ENZRXN3F-3332	(S-ADENOSYLMETHIONINE; GAMA-TOCOPHEROL)	(ADENOSYL-HOMO-CYS; ALPHA-TOCOPHEROL; PROTON)	-	-
RXN-9627	Chemical-Reactions; Small-Molecule-Reactions	-	-	(LAUROYLCOA-CPD; WATER)	(PROTON; DODECANOATE; CO-A)	-	-
RXN-9246	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-10062	(ISOEUGENOL; ACET; NADP)	(CPD-9875; NADPH)	-	-
RXN-3	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; CPD-501; UTP)	(UDP-D-GALACTURONATE; PPI)	-	-
RIBULP3EPIM-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-7143; ENZRXN3F-6110	(RIBULOSE-5P)	(XYLULOSE-5-PHOSPHATE)	-	-
RXN-6724	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-5926; ENZRXN3F-5923; ENZRXN3F-5922; ENZRXN3F-5921; ENZRXN3F-4274; ENZRXN3F-4273; ENZRXN3F-4272; ENZRXN3F-3854; ENZRXN3F-3853; ENZRXN3F-1246; ENZRXN3F-5	(BENZOYLCOA; BENZYL-ALCOHOL)	(CPD-6443; CO-A)	-	-
RXN18C3-27	Chemical-Reactions; Small-Molecule-Reactions	sucrose 4-decanoyltransferase	ENZRXN18C3-45	(SUCROSE; CPD-10267)	(CPD-19020; CO-A)	-	-
DCTP-PYROPHOSPHATASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-4940; ENZRXN3F-4725; ENZRXN3F-2615	(DCTP; WATER)	(PROTON; DCMP; PPI)	-	-
RXNQT-4397	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12575; CPD-697)	(CPDQT-523; UDP; PROTON)	-	-
PHOSPHASERDECARB-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-9093; ENZRXN3F-5168	(L-1-PHOSPHATIDYL-SERINE; PROTON)	(L-1-PHOSPHATIDYL-ETHANOLAMINE=(CPD-405; CPD-160); CARBON-DIOXIDE)	-	-
TRANS-CINNAMATE-4-MONOOXYGENASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-5719; ENZRXN3F-4682	(CPD-674; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(COUMARATE; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-16418	Chemical-Reactions; Small-Molecule-Reactions	-	-	(OCTADEC-9-ENE-118-DIOIC-ACID; CO-A; ATP)	(CPD-17624; PPI; AMP)	-	-
2.1.1.71-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-4965; ENZRXN3F-4701	(S-ADENOSYLMETHIONINE; CPD-405)	(CPD-160; PROTON; ADENOSYL-HOMO-CYS)	-	-
RXN-9244	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-10135; ENZRXN3F-10133; ENZRXN3F-8313; ENZRXN3F-7520; ENZRXN3F-4563; ENZRXN3F-4561; ENZRXN3F-4537; ENZRXN3F-3922	(CONIFERYL-ALCOHOL; ACETYL-COA)	(CPD-9875; CO-A)	-	-
RXN-5641	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PROTON; SER)	(ETHANOL-AMINE; CARBON-DIOXIDE)	-	-
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-7904; ENZRXN3F-7903; ENZRXN3F-7902; ENZRXN3F-7901; ENZRXN3F-7691; ENZRXN3F-6502; ENZRXN3F-5829; ENZRXN3F-5826; ENZRXN3F-5823; ENZRXN3F-5822; ENZRXN3F-5817; ENZRXN3F-5814; ENZRXN3F-5790; ENZRXN3F-5787; ENZRXN3F-5784; ENZRXN3F-5781; ENZRXN3F-5778; ENZRXN3F-5771; ENZRXN3F-5768; ENZRXN3F-5765; ENZRXN3F-5762; ENZRXN3F-5759; ENZRXN3F-5756; ENZRXN3F-5753; ENZRXN3F-5750; ENZRXN3F-5747; ENZRXN3F-5457; ENZRXN3F-5454; ENZRXN3F-3800; ENZRXN3F-2086	(S-ADENOSYLMETHIONINE; CAFFEOYL-COA)	(PROTON; FERULOYL-COA; ADENOSYL-HOMO-CYS)	-	-
RXN-14921	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-15839)	(CPD-11712)	-	-
RXN-8313	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8083; WATER; Oxidized-ferredoxins)	-	-
RXN-2982	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-9958; ENZRXN3F-5211	(INDOLE-3-ACETYL-LEU; WATER)	(INDOLE_ACETATE_AUXIN; LEU)	-	-
RXN-8497	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-3739; ENZRXN3F-2863	(LINOLENIC_ACID; OXYGEN-MOLECULE)	(CPD-8678)	-	-
RXN18C3-26	Chemical-Reactions; Small-Molecule-Reactions	sucrose 4-2-methylbutanoyltransferase	ENZRXN18C3-44	(SUCROSE; 2-METHYL-BUTYRYL-COA)	(CPD-19019; CO-A)	-	-
RXN-4727	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-7481	(CPD-12575; CPD-4209)	(PROTON; CPD-4602; UDP)	-	-
RXN-9952	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-6932; ENZRXN3F-6041; ENZRXN3F-353; ENZRXN3F-250	(CPD-2961; NADP)	(RIBULOSE-5P; CARBON-DIOXIDE; NADPH)	-	-
THRESYN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-7002; ENZRXN3F-5114	(O-PHOSPHO-L-HOMOSERINE; WATER)	(Pi; THR)	-	-
RXN-7101	Protein-Modification-Reactions	-	-	(BCCP-biotin-L-lysine)	(biotin-L-lysine-in-BCCP-dimers)	-	-
RXN-8363	Composite-Reactions; Small-Molecule-Reactions	-	-	(CPD-8160; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8161; WATER; Oxidized-ferredoxins)	-	-
CHORISMATE-SYNTHASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-6827; ENZRXN3F-6618	(3-ENOLPYRUVYL-SHIKIMATE-5P)	(Pi; CHORISMATE)	-	-
RXN-4729	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-7483	(CPD-12575; CPD-4604)	(PROTON; CPD-4607; UDP)	-	-
RXN-14918	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-7129; ENZRXN3F-3353; ENZRXN3F-3329	(S-ADENOSYLMETHIONINE; CPD-15838)	(ADENOSYL-HOMO-CYS; CPD-15836; PROTON)	-	-
GLUC1PURIDYLTRANS-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-9507; ENZRXN3F-8513; ENZRXN3F-6511; ENZRXN3F-5569; ENZRXN3F-1424	(GLC-1-P; UTP; PROTON)	(CPD-12575; PPI)	-	-
TRIOSEPISOMERIZATION-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-8849; ENZRXN3F-6793; ENZRXN3F-5445; ENZRXN3F-2803; ENZRXN3F-2035	(GAP)	(DIHYDROXY-ACETONE-PHOSPHATE)	-	-
RXN-9721	Chemical-Reactions; Small-Molecule-Reactions	-	-	(D-Galactosyl-12-diacyl-glycerols); CPD-10363)	(CPD-10364; DIACYLGLYCEROL=(CPD-17375))	-	-
RXN-16047	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-17294; Reduced-ferredoxins; OXYGEN-MOLECULE; PROTON)	(CPD-17293; Oxidized-ferredoxins; WATER)	-	-
RXN-1641	Chemical-Reactions; Small-Molecule-Reactions	-	-	(PHOSPHATIDYLCHOLINE); DIACYLGLYCEROL=(CPD-17375))	(Triacylglycerols; 2-Lysophosphatidylcholines)	-	-
RXN-8302	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2188; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8077; WATER; Oxidized-ferredoxins)	-	-
RXN-10708	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-11529; WATER)	(PROTON; CPD-731; CO-A)	-	-
RXN-10701	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-11529; ACETYL-COA)	(CPD-11528; CO-A)	-	-
RXN-10740	Chemical-Reactions; Small-Molecule-Reactions	UDP-4-keto-rhamnose-4-keto-reductase	-	(UDP-L-RHAMNOSE; NADP)	(CPD-11540; NADPH; PROTON)	-	-
THYKI-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-2479; ENZRXN3F-1408; ENZRXN3F-957	(THYMIDINE; ATP)	(PROTON; TMP; ADP)	-	-
RXN-11535	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-717; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CPD-17422; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
1.1.1.8-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-9475; ENZRXN3F-8537; ENZRXN3F-6787; ENZRXN3F-6723; ENZRXN3F-5303	(GLYCEROL-3P; NAD)	(DIHYDROXY-ACETONE-PHOSPHATE; NADH; PROTON)	-	-
RXN-2621	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CAFFEOYLSHIKIMATE; CO-A)	(CAFFEOYL-COA; SHIKIMATE)	-	-
RXN-12102	Chemical-Reactions; Small-Molecule-Reactions	-	-	(EPOXYSQUALENE)	(CPD-13049)	-	-
RXN-9556	Protein-Modification-Reactions	3-oxo-<i>cis</i>-vaccenoyl-[acyl-carrier protein] reductase	-	(R-3-hydroxy-cis-vaccenoyl-ACPs; NADP)	(3-oxo-cis-vaccenoyl-ACPs; NADPH; PROTON)	-	-
RXN-4737	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-12575; CPD-4616)	(PROTON; CPD-4621; UDP)	-	-
PGLUCISOM-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-6399; ENZRXN3F-472; ENZRXN3F-13	(ALPHA-GLC-6-P)	(FRUCTOSE-6P)	-	-
RXN-8326	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8091; OXYGEN-MOLECULE; FERROCYTOCHROME-B5; PROTON)	(CPD-8092; WATER; FERRICYTOCHROME-B5)	-	-
MALIC-NADP-RXN	Composite-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-7531; ENZRXN3F-7025; ENZRXN3F-5707; ENZRXN3F-3537; ENZRXN3F-1529; ENZRXN3F-299	(MAL; NADP)	(PYRUVATE; CARBON-DIOXIDE; NADPH)	-	MALATE-DEHYDROGENASE-NADP+-RXN; OXALODECARB-RXN
RXN-4722	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-7479	(CPD-12575; CPD-4210)	(PROTON; CPD-4613; UDP)	-	-
RXN18C3-29	Chemical-Reactions; Small-Molecule-Reactions	sucrose-4-isovalerate-3-isobutanoyltransferase	ENZRXN18C3-52	(CPD-19018; ISOBUTYRYL-COA)	(CPD-19023; CO-A)	-	-
DEOXYADENYLATE-KINASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(ATP; DAMP)	(ADP; DADP)	-	-
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	-	(VAL; 2-KETOGLUTARATE)	(GLT; 2-KETO-ISOVALERATE)	-	-
PEPCARBOXYKIN-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-6818; ENZRXN3F-6373; ENZRXN3F-5542; ENZRXN3F-194	(OXALACETIC_ACID; ATP)	(CARBON-DIOXIDE; PHOSPHO-ENOL-PYRUVATE; ADP)	-	-
RXN-8327	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-2181; OXYGEN-MOLECULE; FERROCYTOCHROME-B5; PROTON)	(CPD-8091; WATER; FERRICYTOCHROME-B5)	-	-
RXN18C3-49	Chemical-Reactions; Small-Molecule-Reactions	sucrose 3-lauroyl-4-isovaleroyl-3'-isobutyryltransferase	ENZRXN18C3-74	(CPD-19027; ISOBUTYRYL-COA)	(CPD-19131; CO-A)	-	-
SPHINGANINE-KINASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-9287; ENZRXN3F-8330; ENZRXN3F-7806	(CPD-13612; ATP)	(PROTON; CPD-649; ADP)	-	-
RXN-1062	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-17621; NADPH; OXYGEN-MOLECULE; PROTON)	(CPD-17627; NADP; WATER)	-	-
RXN-16416	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-7010; ENZRXN3F-5339; ENZRXN3F-5120	(18-HYDROXYOLEATE; NADP)	(18-OXOOLEATE; NADPH; PROTON)	-	-
RXN-14014	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-9242; ENZRXN3F-7721	(DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE; NAD-P-OR-NOP=(NADP; NAD); WATER)	(CPD-14443; NADH-P-OR-NOP=(NADPH; NADH); PROTON)	-	-
SUCROSE-PHOSPHATE-SYNTHASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-4601; ENZRXN3F-3663; ENZRXN3F-2547; ENZRXN3F-1112	(CPD-12575; FRUCTOSE-6P)	(SUCROSE-6P; UDP; PROTON)	-	-
RXN-7697	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN3F-9099; ENZRXN3F-8645; ENZRXN3F-8116; ENZRXN3F-7995; ENZRXN3F-7836; ENZRXN3F-7611; ENZRXN3F-7505; ENZRXN3F-6268; ENZRXN3F-6065; ENZRXN3F-5975; ENZRXN3F-5228; ENZRXN3F-5227; ENZRXN3F-5225; ENZRXN3F-5035; ENZRXN3F-4511; ENZRXN3F-4509; ENZRXN3F-3509; ENZRXN3F-3507; ENZRXN3F-3313; ENZRXN3F-2770; ENZRXN3F-2769; ENZRXN3F-2647; ENZRXN3F-2543; ENZRXN3F-2317; ENZRXN3F-2158; ENZRXN3F-2151; ENZRXN3F-774; ENZRXN3F-773; ENZRXN3F-631; ENZRXN3F-274; ENZRXN3F-230; ENZRXN3F-198	(MALONYL-COA; Very-long-Chain-234-Saturated-acyl-CoAs=(CPD1G-277; CPD-10280))	(Very-Long-Chain-oxoacyl-CoAs=(CPD-14274; CPD-14273; CPD-10283); CARBON-DIOXIDE; CO-A)	-	-
RXN-8499	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8677)	(CPD-8681; WATER)	-	-
RXN-12278	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-13198; WATER)	(CPD-7043; MALTOSE=(CPD-15717))	-	-
RXN-14353	Chemical-Reactions; Small-Molecule-Reactions	-	-	(Soluble-Heteroglycans; Pi)	(Soluble-Heteroglycans; GLC-1-P)	-	-
RXN-12103	Chemical-Reactions; Small-Molecule-Reactions	-	-	(EPOXYSQUALENE)	(CPD-13050)	-	-
RXN-11852	Chemical-Reactions; Small-Molecule-Reactions	-	-	(ACETYL-COA; CIS-3-HEXENOL)	(CPD-12846; CO-A)	-	-
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	Protein-Modification-Reactions	-	ENZRXN3F-9088	(OH-ACYL-ACP)	(TRANS-D2-ENOYL-ACP; WATER)	-	-
