ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN7A-7533	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN7A-7862	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN7A-5905	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN7A-1996	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN7A-10372	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-10025	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-9902	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-9532	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-4352	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-3707	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-3078	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-2544	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-2540	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-2536	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-2532	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-1195	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-637	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN7A-3682	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN7A-2724	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN7A-7117	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN7A-7116	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN7A-6916	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN7A-6915	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN7A-6914	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN7A-1734	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN7A-1733	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN7A-1732	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN7A-1731	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN7A-1730	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN7A-1729	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN7A-9589	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
ENZRXN7A-9585	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
ENZRXN7A-9581	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
ENZRXN7A-9577	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
ENZRXN7A-9573	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
ENZRXN7A-9569	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
ENZRXN7A-9565	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
ENZRXN7A-9561	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
ENZRXN7A-9553	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
