ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN3M-10927	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN3M-10923	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXN3M-11675	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXN3M-8714	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3M-8713	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3M-3136	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXN3M-14793	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-14308	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-14159	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-13606	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-13602	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-13598	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-13594	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-10356	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-6696	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-6692	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-6519	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-5880	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-4929	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-4142	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-4138	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-4134	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-4130	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-1862	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-200	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3M-189	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN-13464	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN-13462	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN3M-5846	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN3M-5844	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN3M-5842	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN3M-5840	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN3M-5838	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN3M-5836	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN3M-5834	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN3M-5832	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN3M-5830	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN3M-5828	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN3M-4432	Enzymatic-Reactions	&alpha;-linolenate 9<i>S</i>-lipoxygenase	-	-	RXN-8497	-
ENZRXN3M-15016	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-10367	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-10366	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-10365	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-9992	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-9991	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-2546	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-2545	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-2544	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-2543	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-2542	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-2541	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-2540	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-2539	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-2538	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-2537	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-2536	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3M-13702	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
ENZRXN3M-13698	Enzymatic-Reactions	3-oxo-dodecanoate decarboxylase	-	-	3-OXOLAURATE-DECARBOXYLASE-RXN	-
