ID	Reaction_type	Common_name	Enzyme	All_Left_Compounds	All_Right_Compounds	Synonyms	Connected_Reactions
MALATE-DEH-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6V-12497; ENZRXN6V-12356; ENZRXN6V-11217; ENZRXN6V-8496; ENZRXN6V-8367; ENZRXN6V-6098; ENZRXN6V-5904; ENZRXN6V-4175; ENZRXN6V-1706	(MAL; NAD)	(OXALACETIC_ACID; NADH; PROTON)	malate dehydrogenation	-
UDP-GLUCURONATE-4-EPIMERASE-RXN	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6V-11809; ENZRXN6V-11808; ENZRXN6V-10416; ENZRXN6V-9530; ENZRXN6V-8518; ENZRXN6V-6468; ENZRXN6V-6467; ENZRXN6V-6466; ENZRXN6V-5324; ENZRXN6V-3282; ENZRXN6V-3176	(UDP-GLUCURONATE)	(UDP-D-GALACTURONATE)	-	-
RXN-1728	Chemical-Reactions; Small-Molecule-Reactions	-	ENZRXN6V-5449; ENZRXN6V-4835; ENZRXN6V-2070	(CPD-2187; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2188; WATER; Oxidized-ferredoxins)	-	-
RXN-778	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-723; OXYGEN-MOLECULE; Red-NADPH-Hemoprotein-Reductases)	(CPD-724; WATER; Ox-NADPH-Hemoprotein-Reductases)	-	-
RXN-8317	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8086; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8087; WATER; Oxidized-ferredoxins)	-	-
BIOTIN-CARBOXYL-RXN	Protein-Modification-Reactions	-	ENZRXN6V-12559; ENZRXN6V-12557; ENZRXN6V-3101; ENZRXN6V-3099	(biotin-L-lysine-in-BCCP-dimers; HCO3; ATP)	(Pi; carboxybiotin-L-lysine-in-BCCP-dimers; ADP; PROTON)	-	-
RXN-8310	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8082; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8084; WATER; Oxidized-ferredoxins)	-	-
RXN-8308	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8076; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-8078; WATER; Oxidized-ferredoxins)	-	-
RXN4FS-1	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CDP-N-METHYLETHANOLAMIN; DIACYLGLYCEROL=(CPD-17375; CPD-13040))	(CPD-405; CMP; PROTON)	-	-
RXN-8301	Chemical-Reactions; Small-Molecule-Reactions	-	-	(CPD-8080; OXYGEN-MOLECULE; Reduced-ferredoxins; PROTON)	(CPD-2190; WATER; Oxidized-ferredoxins)	-	-
PSII-RXN	Electron-Transfer-Reactions; Small-Molecule-Reactions	-	ENZRXN6V-12516; ENZRXN6V-12515; ENZRXN6V-12514; ENZRXN6V-12304; ENZRXN6V-12303; ENZRXN6V-12302; ENZRXN6V-12259; ENZRXN6V-11313; ENZRXN6V-11029; ENZRXN6V-9027; ENZRXN6V-8491; ENZRXN6V-8211; ENZRXN6V-8210; ENZRXN6V-7368; ENZRXN6V-7367; ENZRXN6V-7366; ENZRXN6V-7365; ENZRXN6V-6827; ENZRXN6V-6025; ENZRXN6V-5003; ENZRXN6V-5002; ENZRXN6V-4671; ENZRXN6V-4198; ENZRXN6V-4197; ENZRXN6V-4160; ENZRXN6V-3396; ENZRXN6V-3025; ENZRXN6V-2442; ENZRXN6V-2210; ENZRXN6V-2209; ENZRXN6V-2208; ENZRXN6V-1276; ENZRXN6V-341	(Plastoquinols=(CPD-12829); PROTON; OXYGEN-MOLECULE)	(Light; PLASTOQUINONE; PROTON; WATER)	-	RXN-15490; RXN-15447; RXN0-5265
3-OXOACYL-ACP-SYNTH-RXN	Protein-Modification-Reactions	-	-	(Saturated-Fatty-Acyl-ACPs; MALONYL-ACP; PROTON)	(B-KETOACYL-ACP; CARBON-DIOXIDE; ACP)	-	-
