ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXN3G-14216	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-14212	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-14208	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-9388	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-9384	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-9380	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-7641	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-7637	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-7633	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-6307	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-6303	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-6299	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-6295	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-6141	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-6137	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-6133	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-4087	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-4083	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-3054	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-3050	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-3046	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-1765	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-1231	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-947	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXN3G-12656	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3G-10009	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3G-8065	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3G-6948	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3G-5582	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3G-5473	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3G-1038	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3G-1033	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3G-612	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3G-588	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3G-349	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXN3G-7028	Enzymatic-Reactions	palmitate &omega;-hydroxylase	-	-	RXN-16398	-
