ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXNF-6493	Enzymatic-Reactions	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	-	-	RXN-1728	-
ENZRXNF-4315	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXNF-3754	Enzymatic-Reactions	sedoheptulose bisphosphatase	-	-	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	-
ENZRXNF-4336	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXNF-3935	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXNF-3922	Enzymatic-Reactions	UDP-glucose:kinetin 7-N-glucosyltransferase	-	-	RXN-4731	-
ENZRXNF-11261	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNF-11257	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNF-10658	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNF-9361	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNF-8095	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNF-4629	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNF-3333	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNF-3247	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNF-1539	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNF-1535	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNF-8598	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXNF-5777	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXNF-5605	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXNF-4488	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXNF-4487	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXNF-3073	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXNF-3071	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXNF-2718	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXNF-821	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXNF-621	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXNF-99	Enzymatic-Reactions	gibberellin C13 oxidase	-	-	RXN1F-143	-
ENZRXNF-7814	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNF-7813	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNF-7812	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNF-7638	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNF-7437	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNF-3650	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNF-3467	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNF-3466	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNF-3465	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNF-3198	Enzymatic-Reactions	midchain alkane hydroxylase	-	-	RXN-1022	-
ENZRXNF-10895	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXNF-9753	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXNF-9738	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXNF-3015	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXNF-2860	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXNF-2467	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXNF-2427	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXNF-1572	Enzymatic-Reactions	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase	-	-	RXN1F-169	-
ENZRXNF-10615	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXNF-7857	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
ENZRXNF-5488	Enzymatic-Reactions	caffeoyl-CoA <em>O</em>-methyltransferase	-	-	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	-
