ID	Types	Enzyme_name	Common_name	Cofactors	Regulated-By	Reaction
ENZRXNDQC-53150	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNDQC-52414	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNDQC-52188	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNDQC-51598	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNDQC-49602	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNDQC-49418	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNDQC-47979	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNDQC-46221	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNDQC-46136	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNDQC-45523	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNDQC-44602	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNDQC-42840	Enzymatic-Reactions	<i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase	-	-	RXN-4313	-
ENZRXNDQC-51183	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNDQC-49685	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNDQC-49564	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNDQC-49525	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNDQC-48577	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNDQC-48556	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNDQC-48455	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
ENZRXNDQC-48428	Enzymatic-Reactions	palmitate-CoA ligase	-	-	RXN-9623	-
